model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,8,chinese:SSB0005,0,0,bdb,0,0,0,10,1.0000,4.4449,0.9947,31.97
timbrewm,8,chinese:SSB0005,1,1,bdb,1,1,1,8,0.8000,4.3751,0.9910,30.69
timbrewm,8,chinese:SSB0005,2,2,bdb,1,1,1,8,0.8000,4.4430,0.9966,32.45
timbrewm,8,chinese:SSB0009,0,3,bdb,1,1,1,8,0.8000,4.5225,0.9984,30.21
timbrewm,8,chinese:SSB0009,1,4,bdb,1,1,1,8,0.8000,4.3623,0.9960,27.53
timbrewm,8,chinese:SSB0009,2,5,bdb,1,1,1,7,0.7000,4.3786,0.9951,26.84
timbrewm,8,chinese:SSB0011,0,6,bdb,1,1,1,7,0.7000,4.3933,0.9934,29.53
timbrewm,8,chinese:SSB0011,1,7,bdb,1,0,0,9,0.9000,4.5986,0.9979,34.58
timbrewm,8,chinese:SSB0011,2,8,bdb,1,0,0,9,0.9000,4.5666,0.9959,31.45
timbrewm,8,chinese:SSB0012,0,9,bdb,1,0,0,9,0.9000,4.5522,0.9968,32.59
timbrewm,8,chinese:SSB0012,1,10,bdb,1,1,1,8,0.8000,4.2249,0.9929,29.13
timbrewm,8,chinese:SSB0012,2,11,bdb,1,1,1,7,0.7000,4.3995,0.9950,30.46
timbrewm,8,chinese:SSB0016,0,12,bdb,1,1,1,8,0.8000,4.5323,0.9933,26.83
timbrewm,8,chinese:SSB0016,1,13,bdb,1,1,1,8,0.8000,4.4385,0.9923,25.11
timbrewm,8,chinese:SSB0016,2,14,bdb,1,1,1,8,0.8000,4.3411,0.9922,25.14
timbrewm,8,chinese:SSB0018,0,15,bdb,1,1,1,8,0.8000,4.5385,0.9984,36.15
timbrewm,8,chinese:SSB0018,1,16,bdb,1,1,1,8,0.8000,4.1644,0.9962,31.30
timbrewm,8,chinese:SSB0018,2,17,bdb,1,0,0,9,0.9000,4.5362,0.9975,33.65
timbrewm,8,chinese:SSB0033,0,18,bdb,1,1,1,8,0.8000,4.5197,0.9972,34.04
timbrewm,8,chinese:SSB0033,1,19,bdb,1,1,1,8,0.8000,4.3929,0.9978,35.84
timbrewm,8,chinese:SSB0033,2,20,bdb,1,1,0,8,0.8000,4.6133,0.9982,38.65
timbrewm,8,chinese:SSB0038,0,21,bdb,1,0,0,9,0.9000,4.5032,0.9951,29.66
timbrewm,8,chinese:SSB0038,1,22,bdb,1,1,1,7,0.7000,4.5301,0.9953,30.15
timbrewm,8,chinese:SSB0038,2,23,bdb,1,1,1,8,0.8000,4.4273,0.9929,28.34
timbrewm,8,chinese:SSB0043,0,24,bdb,1,1,1,8,0.8000,4.3234,0.9943,28.64
timbrewm,8,chinese:SSB0043,1,25,bdb,1,1,0,9,0.9000,4.4389,0.9972,32.88
timbrewm,8,chinese:SSB0043,2,26,bdb,1,0,0,9,0.9000,4.0843,0.9880,26.75
timbrewm,8,chinese:SSB0057,0,27,bdb,1,1,1,8,0.8000,4.2565,0.9916,30.26
timbrewm,8,chinese:SSB0057,1,28,bdb,1,1,1,8,0.8000,4.3327,0.9943,30.89
timbrewm,8,chinese:SSB0057,2,29,bdb,1,1,0,9,0.9000,4.5650,0.9972,33.13
timbrewm,8,chinese:SSB0073,0,30,bdb,1,1,1,8,0.8000,4.5058,0.9992,35.12
timbrewm,8,chinese:SSB0073,1,31,bdb,1,1,1,8,0.8000,4.5063,0.9975,31.44
timbrewm,8,chinese:SSB0073,2,32,bdb,1,0,0,9,0.9000,4.6206,0.9992,36.18
timbrewm,8,chinese:SSB0080,0,33,bdb,1,1,1,9,0.9000,4.3942,0.9901,28.74
timbrewm,8,chinese:SSB0080,1,34,bdb,1,1,1,9,0.9000,4.4695,0.9971,30.80
timbrewm,8,chinese:SSB0080,2,35,bdb,1,0,0,9,0.9000,4.2994,0.9889,26.55
timbrewm,8,chinese:SSB0112,0,36,bdb,1,1,1,8,0.8000,4.4321,0.9929,25.09
timbrewm,8,chinese:SSB0112,1,37,bdb,1,1,1,7,0.7000,4.4678,0.9927,25.06
timbrewm,8,chinese:SSB0112,2,38,bdb,0,0,0,10,1.0000,4.3763,0.9908,24.52
timbrewm,8,chinese:SSB0122,0,39,bdb,1,1,1,9,0.9000,4.4029,0.9947,29.65
timbrewm,8,chinese:SSB0122,1,40,bdb,1,1,1,7,0.7000,4.5189,0.9967,30.67
timbrewm,8,chinese:SSB0122,2,41,bdb,1,1,1,8,0.8000,4.5222,0.9972,30.58
timbrewm,8,chinese:SSB0133,0,42,bdb,1,0,0,9,0.9000,4.2775,0.9943,27.31
timbrewm,8,chinese:SSB0133,1,43,bdb,1,1,1,8,0.8000,4.4633,0.9944,27.67
timbrewm,8,chinese:SSB0133,2,44,bdb,1,0,0,9,0.9000,4.4771,0.9935,27.97
timbrewm,8,chinese:SSB0139,0,45,bdb,1,1,1,9,0.9000,4.5847,0.9992,36.14
timbrewm,8,chinese:SSB0139,1,46,bdb,1,1,1,8,0.8000,4.5175,0.9985,32.61
timbrewm,8,chinese:SSB0139,2,47,bdb,1,1,1,8,0.8000,4.5618,0.9987,35.04
timbrewm,8,chinese:SSB0145,0,48,bdb,1,1,0,8,0.8000,4.5324,0.9967,28.94
timbrewm,8,chinese:SSB0145,1,49,bdb,0,0,0,10,1.0000,4.5569,0.9983,31.45
timbrewm,8,chinese:SSB0145,2,50,bdb,1,1,1,9,0.9000,4.4893,0.9978,30.39
timbrewm,8,chinese:SSB0149,0,51,bdb,1,1,1,7,0.7000,4.4945,0.9966,30.47
timbrewm,8,chinese:SSB0149,1,52,bdb,1,1,1,7,0.7000,4.4564,0.9958,30.66
timbrewm,8,chinese:SSB0149,2,53,bdb,1,1,1,8,0.8000,4.4088,0.9963,29.22
timbrewm,8,chinese:SSB0193,0,54,bdb,1,0,0,9,0.9000,4.5172,0.9946,27.08
timbrewm,8,chinese:SSB0193,1,55,bdb,1,1,1,8,0.8000,4.1983,0.9902,24.97
timbrewm,8,chinese:SSB0193,2,56,bdb,1,1,1,8,0.8000,4.3429,0.9917,25.52
timbrewm,8,chinese:SSB0197,0,57,bdb,0,0,0,10,1.0000,4.0299,0.9825,20.88
timbrewm,8,chinese:SSB0197,1,58,bdb,1,1,1,8,0.8000,4.0161,0.9795,20.10
timbrewm,8,chinese:SSB0197,2,59,bdb,1,0,0,9,0.9000,4.1175,0.9821,20.72
timbrewm,8,chinese:SSB0200,0,60,bdb,1,0,0,9,0.9000,4.5706,0.9981,32.04
timbrewm,8,chinese:SSB0200,1,61,bdb,1,1,1,8,0.8000,4.3896,0.9950,27.87
timbrewm,8,chinese:SSB0200,2,62,bdb,1,0,0,9,0.9000,4.2884,0.9888,24.55
timbrewm,8,chinese:SSB0241,0,63,bdb,1,1,1,7,0.7000,4.5971,0.9991,33.67
