model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,3,chinese:SSB0005,0,0,bdb,1,1,1,11,0.6875,4.4142,0.9770,16.98
voicemark,3,chinese:SSB0005,1,1,bdb,1,1,1,15,0.9375,4.3811,0.9805,18.14
voicemark,3,chinese:SSB0005,2,2,bdb,1,1,1,10,0.6250,4.1060,0.9541,15.73
voicemark,3,chinese:SSB0009,0,3,bdb,1,1,1,14,0.8750,4.4393,0.9902,17.14
voicemark,3,chinese:SSB0009,1,4,bdb,1,1,1,12,0.7500,3.9465,0.9744,14.23
voicemark,3,chinese:SSB0009,2,5,bdb,1,1,1,15,0.9375,4.2445,0.9777,12.84
voicemark,3,chinese:SSB0011,0,6,bdb,1,1,1,13,0.8125,4.3882,0.9789,19.07
voicemark,3,chinese:SSB0011,1,7,bdb,1,1,1,13,0.8125,3.7802,0.9531,14.14
voicemark,3,chinese:SSB0011,2,8,bdb,1,1,1,13,0.8125,4.1333,0.9676,17.64
voicemark,3,chinese:SSB0012,0,9,bdb,1,1,1,13,0.8125,4.0081,0.9592,12.12
voicemark,3,chinese:SSB0012,1,10,bdb,1,1,1,11,0.6875,4.0113,0.9703,15.23
voicemark,3,chinese:SSB0012,2,11,bdb,1,1,1,11,0.6875,4.0699,0.9723,15.42
voicemark,3,chinese:SSB0016,0,12,bdb,1,1,1,14,0.8750,4.0757,0.9649,14.09
voicemark,3,chinese:SSB0016,1,13,bdb,1,1,1,12,0.7500,4.3245,0.9848,17.22
voicemark,3,chinese:SSB0016,2,14,bdb,1,1,1,9,0.5625,4.1189,0.9572,18.33
voicemark,3,chinese:SSB0018,0,15,bdb,1,1,1,11,0.6875,4.3002,0.9789,15.22
voicemark,3,chinese:SSB0018,1,16,bdb,1,1,1,13,0.8125,4.1522,0.9746,14.48
voicemark,3,chinese:SSB0018,2,17,bdb,1,1,1,11,0.6875,4.2282,0.9806,16.22
voicemark,3,chinese:SSB0033,0,18,bdb,1,1,1,12,0.7500,4.1099,0.9748,19.05
voicemark,3,chinese:SSB0033,1,19,bdb,1,1,1,13,0.8125,4.4549,0.9887,20.54
voicemark,3,chinese:SSB0033,2,20,bdb,1,1,1,14,0.8750,4.3858,0.9857,20.96
voicemark,3,chinese:SSB0038,0,21,bdb,1,1,1,14,0.8750,3.9670,0.9786,17.67
voicemark,3,chinese:SSB0038,1,22,bdb,1,1,0,13,0.8125,4.3600,0.9766,17.19
voicemark,3,chinese:SSB0038,2,23,bdb,1,1,1,11,0.6875,4.2908,0.9783,18.88
voicemark,3,chinese:SSB0043,0,24,bdb,1,1,1,11,0.6875,3.8217,0.9728,17.94
voicemark,3,chinese:SSB0043,1,25,bdb,1,0,0,15,0.9375,4.1147,0.9798,17.72
voicemark,3,chinese:SSB0043,2,26,bdb,1,1,1,14,0.8750,3.5658,0.9467,15.32
voicemark,3,chinese:SSB0057,0,27,bdb,1,1,1,10,0.6250,4.1668,0.9658,14.54
voicemark,3,chinese:SSB0057,1,28,bdb,1,1,1,10,0.6250,4.3966,0.9851,16.49
voicemark,3,chinese:SSB0057,2,29,bdb,1,1,1,9,0.5625,4.3657,0.9770,16.79
voicemark,3,chinese:SSB0073,0,30,bdb,0,0,0,16,1.0000,3.7860,0.9629,13.57
voicemark,3,chinese:SSB0073,1,31,bdb,1,1,1,11,0.6875,3.2045,0.9506,11.77
voicemark,3,chinese:SSB0073,2,32,bdb,0,0,0,16,1.0000,3.5096,0.9414,12.13
voicemark,3,chinese:SSB0080,0,33,bdb,1,1,1,9,0.5625,3.4217,0.9447,14.64
voicemark,3,chinese:SSB0080,1,34,bdb,1,1,1,8,0.5000,3.8051,0.9708,16.15
voicemark,3,chinese:SSB0080,2,35,bdb,1,1,1,14,0.8750,3.9555,0.9524,14.59
voicemark,3,chinese:SSB0112,0,36,bdb,1,0,0,15,0.9375,4.4832,0.9873,17.03
voicemark,3,chinese:SSB0112,1,37,bdb,1,1,1,13,0.8125,4.3130,0.9748,16.10
voicemark,3,chinese:SSB0112,2,38,bdb,1,1,1,14,0.8750,4.3058,0.9819,15.02
voicemark,3,chinese:SSB0122,0,39,bdb,1,1,1,8,0.5000,3.8542,0.9757,15.84
voicemark,3,chinese:SSB0122,1,40,bdb,1,0,0,15,0.9375,4.3197,0.9818,15.94
voicemark,3,chinese:SSB0122,2,41,bdb,1,1,1,12,0.7500,4.2371,0.9808,15.15
voicemark,3,chinese:SSB0133,0,42,bdb,1,0,0,14,0.8750,3.8883,0.9706,17.46
voicemark,3,chinese:SSB0133,1,43,bdb,1,1,1,14,0.8750,3.2553,0.9569,13.99
voicemark,3,chinese:SSB0133,2,44,bdb,1,1,1,12,0.7500,3.7977,0.9650,16.14
voicemark,3,chinese:SSB0139,0,45,bdb,1,1,1,10,0.6250,3.9404,0.9759,17.08
voicemark,3,chinese:SSB0139,1,46,bdb,1,1,1,11,0.6875,3.8874,0.9701,14.45
voicemark,3,chinese:SSB0139,2,47,bdb,1,0,0,14,0.8750,3.9855,0.9648,10.85
voicemark,3,chinese:SSB0145,0,48,bdb,1,1,1,11,0.6875,3.8637,0.9603,12.40
voicemark,3,chinese:SSB0145,1,49,bdb,1,1,1,9,0.5625,3.6846,0.9685,15.96
voicemark,3,chinese:SSB0145,2,50,bdb,1,1,1,10,0.6250,3.8328,0.9578,11.24
voicemark,3,chinese:SSB0149,0,51,bdb,1,0,0,13,0.8125,3.9887,0.9826,13.38
