model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,chinese:SSB0005,0,0,bdb,1,1,1,10,0.6250,4.5787,0.9978,44.54
wavmark,3,chinese:SSB0005,1,1,bdb,1,1,1,12,0.7500,4.5043,0.9968,43.95
wavmark,3,chinese:SSB0005,2,2,bdb,1,1,1,14,0.8750,4.5927,0.9979,45.99
wavmark,3,chinese:SSB0009,0,3,bdb,1,1,1,15,0.9375,4.6157,1.0000,46.51
wavmark,3,chinese:SSB0009,1,4,bdb,1,1,1,11,0.6875,4.5914,0.9999,43.17
wavmark,3,chinese:SSB0009,2,5,bdb,1,1,1,9,0.5625,4.5971,0.9999,42.85
wavmark,3,chinese:SSB0011,0,6,bdb,1,1,1,14,0.8750,4.4365,0.9996,44.42
wavmark,3,chinese:SSB0011,1,7,bdb,1,1,1,13,0.8125,4.5000,0.9995,43.49
wavmark,3,chinese:SSB0011,2,8,bdb,1,1,1,11,0.6875,4.5343,0.9996,42.98
wavmark,3,chinese:SSB0012,0,9,bdb,1,1,1,14,0.8750,4.4596,0.9996,40.45
wavmark,3,chinese:SSB0012,1,10,bdb,1,1,1,12,0.7500,4.5621,0.9998,44.16
wavmark,3,chinese:SSB0012,2,11,bdb,1,1,1,11,0.6875,4.5569,0.9998,44.26
wavmark,3,chinese:SSB0016,0,12,bdb,1,1,1,12,0.7500,4.4707,0.9990,40.66
wavmark,3,chinese:SSB0016,1,13,bdb,1,1,1,13,0.8125,4.4851,0.9987,40.15
wavmark,3,chinese:SSB0016,2,14,bdb,1,1,1,14,0.8750,4.4149,0.9982,39.93
wavmark,3,chinese:SSB0018,0,15,bdb,1,1,1,13,0.8125,4.5413,0.9995,44.70
wavmark,3,chinese:SSB0018,1,16,bdb,1,1,1,13,0.8125,4.4802,0.9996,45.00
wavmark,3,chinese:SSB0018,2,17,bdb,1,1,1,12,0.7500,4.5798,0.9995,45.01
wavmark,3,chinese:SSB0033,0,18,bdb,1,1,1,13,0.8125,4.3209,0.9996,44.07
wavmark,3,chinese:SSB0033,1,19,bdb,1,1,1,12,0.7500,4.4141,0.9995,42.39
wavmark,3,chinese:SSB0033,2,20,bdb,1,1,1,14,0.8750,4.5256,0.9998,45.52
wavmark,3,chinese:SSB0038,0,21,bdb,1,1,1,12,0.7500,4.5438,0.9999,44.43
wavmark,3,chinese:SSB0038,1,22,bdb,1,1,1,12,0.7500,4.4520,0.9997,40.74
wavmark,3,chinese:SSB0038,2,23,bdb,1,1,1,14,0.8750,4.5101,0.9999,44.53
wavmark,3,chinese:SSB0043,0,24,bdb,1,1,1,13,0.8125,4.5306,0.9990,42.98
wavmark,3,chinese:SSB0043,1,25,bdb,1,1,1,12,0.7500,4.5040,0.9991,43.93
wavmark,3,chinese:SSB0043,2,26,bdb,1,1,1,13,0.8125,4.4198,0.9977,39.78
wavmark,3,chinese:SSB0057,0,27,bdb,1,1,1,14,0.8750,4.5058,0.9954,43.81
wavmark,3,chinese:SSB0057,1,28,bdb,1,1,1,12,0.7500,4.5548,0.9968,44.11
wavmark,3,chinese:SSB0057,2,29,bdb,1,1,1,13,0.8125,4.4791,0.9961,45.03
wavmark,3,chinese:SSB0073,0,30,bdb,1,1,1,12,0.7500,4.4033,0.9998,44.64
wavmark,3,chinese:SSB0073,1,31,bdb,1,1,1,12,0.7500,4.3768,0.9997,41.53
wavmark,3,chinese:SSB0073,2,32,bdb,1,1,1,13,0.8125,4.4734,0.9998,42.46
wavmark,3,chinese:SSB0080,0,33,bdb,0,0,0,16,1.0000,4.5373,0.9973,44.83
wavmark,3,chinese:SSB0080,1,34,bdb,1,1,1,12,0.7500,4.5630,0.9972,44.47
wavmark,3,chinese:SSB0080,2,35,bdb,1,1,1,12,0.7500,4.5832,0.9970,44.71
wavmark,3,chinese:SSB0112,0,36,bdb,1,1,1,13,0.8125,4.4236,0.9981,36.43
wavmark,3,chinese:SSB0112,1,37,bdb,1,1,1,13,0.8125,4.4991,0.9989,39.63
wavmark,3,chinese:SSB0112,2,38,bdb,1,1,1,12,0.7500,4.3858,0.9988,39.14
wavmark,3,chinese:SSB0122,0,39,bdb,1,1,1,13,0.8125,4.5138,0.9999,43.77
wavmark,3,chinese:SSB0122,1,40,bdb,1,1,1,14,0.8750,4.5307,0.9999,43.77
wavmark,3,chinese:SSB0122,2,41,bdb,1,1,1,12,0.7500,4.5017,0.9998,43.39
wavmark,3,chinese:SSB0133,0,42,bdb,1,1,1,13,0.8125,4.5348,0.9997,42.70
wavmark,3,chinese:SSB0133,1,43,bdb,1,1,1,14,0.8750,4.5470,0.9998,45.04
wavmark,3,chinese:SSB0133,2,44,bdb,1,1,1,11,0.6875,4.5362,0.9997,42.68
wavmark,3,chinese:SSB0139,0,45,bdb,1,1,1,13,0.8125,4.4511,0.9999,42.66
wavmark,3,chinese:SSB0139,1,46,bdb,1,1,1,12,0.7500,4.3022,0.9998,40.63
wavmark,3,chinese:SSB0139,2,47,bdb,1,1,1,12,0.7500,4.4851,0.9999,44.53
wavmark,3,chinese:SSB0145,0,48,bdb,1,1,1,13,0.8125,4.5189,0.9999,39.74
wavmark,3,chinese:SSB0145,1,49,bdb,1,1,1,12,0.7500,4.5693,1.0000,43.36
wavmark,3,chinese:SSB0145,2,50,bdb,1,1,1,11,0.6875,4.5858,0.9999,42.85
wavmark,3,chinese:SSB0149,0,51,bdb,1,1,1,12,0.7500,4.4159,0.9997,45.54
wavmark,3,chinese:SSB0149,1,52,bdb,1,1,1,11,0.6875,4.4137,0.9998,44.79
wavmark,3,chinese:SSB0149,2,53,bdb,1,1,1,12,0.7500,4.4788,0.9998,44.40
wavmark,3,chinese:SSB0193,0,54,bdb,1,1,1,11,0.6875,4.5282,0.9991,41.65
wavmark,3,chinese:SSB0193,1,55,bdb,1,1,1,11,0.6875,4.5360,0.9994,41.12
wavmark,3,chinese:SSB0193,2,56,bdb,1,1,1,14,0.8750,4.4889,0.9985,39.60
wavmark,3,chinese:SSB0197,0,57,bdb,1,1,1,13,0.8125,4.4358,0.9836,34.07
wavmark,3,chinese:SSB0197,1,58,bdb,1,1,1,12,0.7500,4.5394,0.9893,37.20
wavmark,3,chinese:SSB0197,2,59,bdb,1,1,1,12,0.7500,4.5449,0.9921,36.70
wavmark,3,chinese:SSB0200,0,60,bdb,1,1,1,13,0.8125,4.5692,0.9998,42.27
wavmark,3,chinese:SSB0200,1,61,bdb,1,1,1,12,0.7500,4.3407,0.9996,39.46
wavmark,3,chinese:SSB0200,2,62,bdb,1,1,1,12,0.7500,4.5576,0.9997,41.22
wavmark,3,chinese:SSB0241,0,63,bdb,1,1,1,13,0.8125,4.4777,0.9998,42.23
wavmark,3,chinese:SSB0241,1,64,bdb,1,1,1,11,0.6875,4.4118,0.9996,39.74
wavmark,3,chinese:SSB0241,2,65,bdb,1,1,1,13,0.8125,4.5461,0.9999,45.70
wavmark,3,chinese:SSB0246,0,66,bdb,1,1,1,13,0.8125,4.2968,0.9979,38.79
wavmark,3,chinese:SSB0246,1,67,bdb,1,1,1,14,0.8750,4.5786,0.9995,44.10
wavmark,3,chinese:SSB0246,2,68,bdb,1,1,1,15,0.9375,4.5110,0.9989,40.13
wavmark,3,chinese:SSB0261,0,69,bdb,1,1,1,12,0.7500,4.4885,0.9998,43.04
wavmark,3,chinese:SSB0261,1,70,bdb,1,1,1,14,0.8750,4.3950,0.9997,39.18
