model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
timbrewm,5,0,chinese:SSB0005,0,mean,none,none,1,0.30854416,4.5486,0.9972,34.38
timbrewm,5,0,chinese:SSB0005,0,fwp,none,none,1,0.29117250,4.5820,0.9966,35.62
timbrewm,5,0,chinese:SSB0005,0,mean,mp3_128k,MP3 128 kbps,1,0.42625904,4.4578,0.9972,28.74
timbrewm,5,0,chinese:SSB0005,0,fwp,mp3_128k,MP3 128 kbps,1,0.14352036,4.4700,0.9966,29.01
timbrewm,5,0,chinese:SSB0005,0,mean,opus_64k,Opus 64 kbps,1,0.30310297,4.5362,0.9968,30.76
timbrewm,5,0,chinese:SSB0005,0,fwp,opus_64k,Opus 64 kbps,1,0.26501656,4.5576,0.9961,30.86
timbrewm,5,1,chinese:SSB0005,1,mean,none,none,1,0.13919353,4.5415,0.9961,33.24
timbrewm,5,1,chinese:SSB0005,1,fwp,none,none,1,0.27364111,4.5724,0.9968,34.63
timbrewm,5,1,chinese:SSB0005,1,mean,mp3_128k,MP3 128 kbps,1,0.08252382,4.4323,0.9961,28.16
timbrewm,5,1,chinese:SSB0005,1,fwp,mp3_128k,MP3 128 kbps,1,0.40121746,4.4465,0.9968,28.54
timbrewm,5,1,chinese:SSB0005,1,mean,opus_64k,Opus 64 kbps,1,0.13348818,4.5288,0.9958,30.28
timbrewm,5,1,chinese:SSB0005,1,fwp,opus_64k,Opus 64 kbps,1,0.22799778,4.5464,0.9963,30.48
timbrewm,5,2,chinese:SSB0005,2,mean,none,none,1,0.46681261,4.5186,0.9956,34.56
timbrewm,5,2,chinese:SSB0005,2,fwp,none,none,1,0.36964512,4.4908,0.9927,32.09
timbrewm,5,2,chinese:SSB0005,2,mean,mp3_128k,MP3 128 kbps,1,0.52898216,4.4178,0.9956,28.70
timbrewm,5,2,chinese:SSB0005,2,fwp,mp3_128k,MP3 128 kbps,1,0.39866924,4.4050,0.9927,27.91
timbrewm,5,2,chinese:SSB0005,2,mean,opus_64k,Opus 64 kbps,1,0.47160578,4.5082,0.9953,30.87
timbrewm,5,2,chinese:SSB0005,2,fwp,opus_64k,Opus 64 kbps,1,0.33330917,4.4752,0.9922,29.37
timbrewm,5,3,chinese:SSB0009,0,mean,none,none,1,0.47578907,4.5564,0.9979,29.21
timbrewm,5,3,chinese:SSB0009,0,fwp,none,none,1,0.23176289,4.6028,0.9985,31.01
timbrewm,5,3,chinese:SSB0009,0,mean,mp3_128k,MP3 128 kbps,1,0.29953623,4.4426,0.9979,27.40
timbrewm,5,3,chinese:SSB0009,0,fwp,mp3_128k,MP3 128 kbps,1,0.41660643,4.4625,0.9985,28.45
timbrewm,5,3,chinese:SSB0009,0,mean,opus_64k,Opus 64 kbps,1,0.45556593,4.5406,0.9977,27.66
timbrewm,5,3,chinese:SSB0009,0,fwp,opus_64k,Opus 64 kbps,1,0.22637367,4.5721,0.9981,28.34
timbrewm,5,4,chinese:SSB0009,1,mean,none,none,1,0.32869434,4.5789,0.9977,30.18
timbrewm,5,4,chinese:SSB0009,1,fwp,none,none,1,0.02258110,4.5018,0.9970,28.80
timbrewm,5,4,chinese:SSB0009,1,mean,mp3_128k,MP3 128 kbps,1,0.24225378,4.4616,0.9977,28.21
