model,K,trial_id,spk,local_t,method,codec,codec_setting,ASR,attribution_margin,PESQ,STOI,SI_SDR
wmcodec,5,0,chinese:SSB0005,0,mean,none,none,1,27.23983398,4.3676,0.9856,17.41
wmcodec,5,0,chinese:SSB0005,0,fwp,none,none,1,30.88492818,4.1864,0.9787,14.80
wmcodec,5,0,chinese:SSB0005,0,mean,mp3_128k,MP3 128 kbps,1,27.82669051,4.3487,0.9856,17.38
wmcodec,5,0,chinese:SSB0005,0,fwp,mp3_128k,MP3 128 kbps,1,37.70951807,4.1695,0.9787,14.79
wmcodec,5,0,chinese:SSB0005,0,mean,opus_64k,Opus 64 kbps,1,27.01994229,4.3655,0.9855,17.32
wmcodec,5,0,chinese:SSB0005,0,fwp,opus_64k,Opus 64 kbps,1,29.31004433,4.1861,0.9784,14.74
wmcodec,5,1,chinese:SSB0005,1,mean,none,none,1,14.54822427,4.3786,0.9847,17.30
wmcodec,5,1,chinese:SSB0005,1,fwp,none,none,1,16.45881577,4.1877,0.9777,14.80
wmcodec,5,1,chinese:SSB0005,1,mean,mp3_128k,MP3 128 kbps,1,12.21143836,4.3660,0.9847,17.27
wmcodec,5,1,chinese:SSB0005,1,fwp,mp3_128k,MP3 128 kbps,1,12.26876513,4.1811,0.9777,14.78
wmcodec,5,1,chinese:SSB0005,1,mean,opus_64k,Opus 64 kbps,1,13.57765570,4.3708,0.9845,17.23
wmcodec,5,1,chinese:SSB0005,1,fwp,opus_64k,Opus 64 kbps,1,15.35525132,4.1807,0.9774,14.75
wmcodec,5,2,chinese:SSB0005,2,mean,none,none,1,17.69720274,4.4254,0.9849,17.56
wmcodec,5,2,chinese:SSB0005,2,fwp,none,none,1,22.53558842,4.0777,0.9794,14.86
wmcodec,5,2,chinese:SSB0005,2,mean,mp3_128k,MP3 128 kbps,1,13.77505797,4.4064,0.9849,17.53
wmcodec,5,2,chinese:SSB0005,2,fwp,mp3_128k,MP3 128 kbps,1,17.25637883,4.0702,0.9794,14.85
