model,K,spk,local_t,gi,target,tct_hit,tct_margin,oracle_hit,oracle_margin
voicemark,8,chinese:SSB0005,0,0,47706,0,-16.95492266,0,-11.08068037
voicemark,8,chinese:SSB0005,0,0,47963,0,-16.71898887,0,-13.25204381
voicemark,8,chinese:SSB0005,0,0,56146,0,-31.64545941,0,-14.40003845
voicemark,8,chinese:SSB0005,0,0,43566,0,-25.36960947,0,-28.62538457
voicemark,8,chinese:SSB0005,0,0,49050,0,-23.12491637,0,-23.51435737
voicemark,8,chinese:SSB0005,0,0,9062,0,-19.28734603,0,-21.93967746
voicemark,8,chinese:SSB0005,0,0,55618,0,-34.92417634,0,-31.22589622
voicemark,8,chinese:SSB0005,0,0,64677,0,-18.07861754,0,-16.38406725
voicemark,8,chinese:SSB0005,0,0,27813,0,-20.02536351,0,-13.92126060
voicemark,8,chinese:SSB0005,0,0,11054,0,-33.61865568,0,-18.96888488
voicemark,8,chinese:SSB0005,1,1,42843,0,-32.84878655,0,-23.02080179
voicemark,8,chinese:SSB0005,1,1,50517,0,-16.40809255,0,-17.24088285
voicemark,8,chinese:SSB0005,1,1,44890,0,-38.47248648,0,-24.36554542
voicemark,8,chinese:SSB0005,1,1,58759,0,-24.50636735,0,-24.46655885
voicemark,8,chinese:SSB0005,1,1,49031,0,-15.55193532,0,-14.42772114
voicemark,8,chinese:SSB0005,1,1,25863,0,-42.03344565,0,-27.34521958
voicemark,8,chinese:SSB0005,1,1,55109,0,-34.85025812,0,-23.37534346
voicemark,8,chinese:SSB0005,1,1,46503,0,-37.74794255,0,-37.09079359
voicemark,8,chinese:SSB0005,1,1,25795,0,-37.59048737,0,-32.09934231
voicemark,8,chinese:SSB0005,1,1,50508,0,-24.07870414,0,-18.54962340
voicemark,8,chinese:SSB0005,2,2,15904,0,-14.71644811,0,-16.14919776
voicemark,8,chinese:SSB0005,2,2,22032,0,-22.37124597,0,-9.62762125
voicemark,8,chinese:SSB0005,2,2,60922,0,-40.00238314,0,-22.93851192
voicemark,8,chinese:SSB0005,2,2,44006,0,-18.21197101,0,-12.33508653
voicemark,8,chinese:SSB0005,2,2,60947,0,-12.89797485,0,-9.57616776
voicemark,8,chinese:SSB0005,2,2,59896,0,-23.79577195,0,-17.75345204
voicemark,8,chinese:SSB0005,2,2,60948,0,-5.23212986,0,-8.58668161
voicemark,8,chinese:SSB0005,2,2,29718,0,-31.89261579,0,-22.24928525
voicemark,8,chinese:SSB0005,2,2,22064,0,-41.01943185,0,-17.87018938
voicemark,8,chinese:SSB0005,2,2,64726,0,-45.88511205,0,-25.79938019
voicemark,8,chinese:SSB0009,0,3,29961,0,-13.79903579,0,-13.39079595
voicemark,8,chinese:SSB0009,0,3,42935,0,-26.46256480,0,-16.79044424
voicemark,8,chinese:SSB0009,0,3,42084,0,-19.77248132,0,-19.18209409
voicemark,8,chinese:SSB0009,0,3,26559,0,-39.58775099,0,-35.84853467
voicemark,8,chinese:SSB0009,0,3,21142,0,-37.37030278,0,-15.31266079
voicemark,8,chinese:SSB0009,0,3,22016,0,-7.49742532,0,-0.60579407
voicemark,8,chinese:SSB0009,0,3,20498,0,-22.97878134,0,-12.69292164
voicemark,8,chinese:SSB0009,0,3,30152,0,-17.11834824,0,-15.63154048
voicemark,8,chinese:SSB0009,0,3,61719,0,-37.92991371,0,-20.89667086
voicemark,8,chinese:SSB0009,0,3,63383,0,-35.62240456,0,-20.64121045
