model,K,spk,local_t,gi,target,tct_hit,tct_margin,oracle_hit,oracle_margin
wmcodec,8,chinese:SSB0005,0,0,47706,0,-21.91803347,0,-25.46136451
wmcodec,8,chinese:SSB0005,0,0,47963,0,-16.33053943,0,-4.03530785
wmcodec,8,chinese:SSB0005,0,0,56146,0,-19.62906452,0,-9.59889185
wmcodec,8,chinese:SSB0005,0,0,43566,0,-11.74321240,0,-7.21364987
wmcodec,8,chinese:SSB0005,0,0,49050,0,-37.04946082,0,-32.77671050
wmcodec,8,chinese:SSB0005,0,0,9062,0,-19.41234158,0,-12.75236611
wmcodec,8,chinese:SSB0005,0,0,55618,0,-27.63102126,0,-21.20976039
wmcodec,8,chinese:SSB0005,0,0,64677,0,-27.25260212,0,-22.32196489
wmcodec,8,chinese:SSB0005,0,0,27813,0,-15.70797041,0,-5.87646661
wmcodec,8,chinese:SSB0005,0,0,11054,0,-34.89624166,0,-6.93721944
wmcodec,8,chinese:SSB0005,1,1,42843,0,-8.28961706,0,-8.88615084
wmcodec,8,chinese:SSB0005,1,1,50517,1,0.85247225,1,2.96371081
wmcodec,8,chinese:SSB0005,1,1,44890,0,-17.36208263,0,-16.75865955
wmcodec,8,chinese:SSB0005,1,1,58759,0,-9.35119982,0,-2.30168045
wmcodec,8,chinese:SSB0005,1,1,49031,0,-36.60552142,0,-10.59514100
wmcodec,8,chinese:SSB0005,1,1,25863,0,-29.87400145,0,-10.78417824
wmcodec,8,chinese:SSB0005,1,1,55109,0,-24.84319047,0,-20.29394306
wmcodec,8,chinese:SSB0005,1,1,46503,0,-12.05252375,0,-9.29186192
wmcodec,8,chinese:SSB0005,1,1,25795,0,-39.23043085,0,-14.87025451
wmcodec,8,chinese:SSB0005,1,1,50508,0,-20.41138465,0,-9.57234927
wmcodec,8,chinese:SSB0005,2,2,15904,0,-8.36555576,0,-0.19243431
wmcodec,8,chinese:SSB0005,2,2,22032,0,-32.18718709,0,-12.85233474
wmcodec,8,chinese:SSB0005,2,2,60922,0,-9.42381795,1,0.58113146
wmcodec,8,chinese:SSB0005,2,2,44006,0,-37.19373497,0,-23.37641164
wmcodec,8,chinese:SSB0005,2,2,60947,0,-20.40894625,0,-11.43699664
wmcodec,8,chinese:SSB0005,2,2,59896,0,-9.34528631,0,-8.67488307
wmcodec,8,chinese:SSB0005,2,2,60948,0,-5.40509652,0,-4.87755316
wmcodec,8,chinese:SSB0005,2,2,29718,0,-37.50080559,0,-16.05240659
wmcodec,8,chinese:SSB0005,2,2,22064,0,-36.86323358,0,-25.81780141
wmcodec,8,chinese:SSB0005,2,2,64726,0,-47.60531159,0,-24.88819787
wmcodec,8,chinese:SSB0009,0,3,29961,0,-26.70079335,0,-9.40963368
wmcodec,8,chinese:SSB0009,0,3,42935,0,-27.22718236,0,-25.47242031
wmcodec,8,chinese:SSB0009,0,3,42084,0,-24.60803556,0,-12.30773026
wmcodec,8,chinese:SSB0009,0,3,26559,0,-36.62727565,0,-27.71319921
wmcodec,8,chinese:SSB0009,0,3,21142,0,-42.58106259,0,-26.71970195
wmcodec,8,chinese:SSB0009,0,3,22016,0,-24.27976763,0,-14.56001231
wmcodec,8,chinese:SSB0009,0,3,20498,0,-33.87572644,0,-19.97526343
wmcodec,8,chinese:SSB0009,0,3,30152,0,-50.49451907,0,-25.62904260
wmcodec,8,chinese:SSB0009,0,3,61719,0,-53.69289797,0,-26.06821788
wmcodec,8,chinese:SSB0009,0,3,63383,0,-45.92365902,0,-30.83201063
