model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,2,chinese:SSB0005,0,0,dm,1,1,1,12,0.7500,4.6116,0.9996,41.45
audioseal,2,chinese:SSB0005,1,1,dm,1,1,1,14,0.8750,4.6083,0.9995,36.17
audioseal,2,chinese:SSB0005,2,2,dm,1,0,0,15,0.9375,4.6248,0.9998,41.02
audioseal,2,chinese:SSB0009,0,3,dm,1,1,0,15,0.9375,4.6310,0.9999,41.99
audioseal,2,chinese:SSB0009,1,4,dm,1,0,0,15,0.9375,4.6129,0.9998,37.29
audioseal,2,chinese:SSB0009,2,5,dm,1,1,1,14,0.8750,4.5932,0.9998,36.43
audioseal,2,chinese:SSB0011,0,6,dm,1,1,1,12,0.7500,4.5913,0.9993,33.83
audioseal,2,chinese:SSB0011,1,7,dm,1,1,1,12,0.7500,4.5788,0.9993,36.71
audioseal,2,chinese:SSB0011,2,8,dm,1,1,1,10,0.6250,4.5763,0.9991,34.99
audioseal,2,chinese:SSB0012,0,9,dm,1,1,1,12,0.7500,4.5841,0.9995,34.27
audioseal,2,chinese:SSB0012,1,10,dm,1,1,1,12,0.7500,4.6200,0.9997,38.99
audioseal,2,chinese:SSB0012,2,11,dm,1,1,0,15,0.9375,4.6222,0.9999,39.55
audioseal,2,chinese:SSB0016,0,12,dm,1,1,1,14,0.8750,4.6000,0.9991,35.20
audioseal,2,chinese:SSB0016,1,13,dm,1,1,1,13,0.8125,4.5743,0.9990,34.13
audioseal,2,chinese:SSB0016,2,14,dm,0,0,0,16,1.0000,4.5450,0.9993,36.26
audioseal,2,chinese:SSB0018,0,15,dm,1,1,1,13,0.8125,4.6002,0.9997,37.53
audioseal,2,chinese:SSB0018,1,16,dm,1,1,1,14,0.8750,4.6012,0.9998,37.86
audioseal,2,chinese:SSB0018,2,17,dm,1,1,1,14,0.8750,4.5944,0.9998,37.34
audioseal,2,chinese:SSB0033,0,18,dm,1,1,1,12,0.7500,4.6037,0.9996,40.81
audioseal,2,chinese:SSB0033,1,19,dm,1,1,1,13,0.8125,4.5782,0.9996,41.21
audioseal,2,chinese:SSB0033,2,20,dm,1,1,1,14,0.8750,4.6023,0.9997,41.04
audioseal,2,chinese:SSB0038,0,21,dm,1,1,1,10,0.6250,4.6004,0.9993,35.01
audioseal,2,chinese:SSB0038,1,22,dm,1,1,1,10,0.6250,4.5894,0.9994,37.15
audioseal,2,chinese:SSB0038,2,23,dm,1,1,1,13,0.8125,4.6149,0.9995,41.08
audioseal,2,chinese:SSB0043,0,24,dm,1,1,1,13,0.8125,4.6050,0.9994,37.85
audioseal,2,chinese:SSB0043,1,25,dm,1,1,1,12,0.7500,4.5626,0.9995,36.52
audioseal,2,chinese:SSB0043,2,26,dm,1,1,1,11,0.6875,4.5846,0.9992,36.14
audioseal,2,chinese:SSB0057,0,27,dm,1,1,1,13,0.8125,4.5983,0.9993,38.01
audioseal,2,chinese:SSB0057,1,28,dm,1,1,1,14,0.8750,4.6220,0.9995,40.43
audioseal,2,chinese:SSB0057,2,29,dm,0,0,0,16,1.0000,4.6234,0.9995,36.84
audioseal,2,chinese:SSB0073,0,30,dm,1,1,1,14,0.8750,4.6188,0.9998,36.76
audioseal,2,chinese:SSB0073,1,31,dm,1,1,1,14,0.8750,4.6189,0.9999,34.79
audioseal,2,chinese:SSB0073,2,32,dm,1,1,1,14,0.8750,4.6008,0.9998,33.68
audioseal,2,chinese:SSB0080,0,33,dm,1,1,1,13,0.8125,4.6094,0.9994,31.97
audioseal,2,chinese:SSB0080,1,34,dm,1,1,1,12,0.7500,4.6138,0.9992,33.35
audioseal,2,chinese:SSB0080,2,35,dm,1,1,1,13,0.8125,4.6001,0.9990,31.53
audioseal,2,chinese:SSB0112,0,36,dm,1,1,1,13,0.8125,4.5890,0.9995,31.00
audioseal,2,chinese:SSB0112,1,37,dm,1,1,1,13,0.8125,4.5827,0.9993,30.07
audioseal,2,chinese:SSB0112,2,38,dm,1,1,1,14,0.8750,4.5824,0.9993,30.95
audioseal,2,chinese:SSB0122,0,39,dm,1,1,1,13,0.8125,4.6181,0.9999,41.99
audioseal,2,chinese:SSB0122,1,40,dm,1,1,0,14,0.8750,4.6199,0.9998,37.20
audioseal,2,chinese:SSB0122,2,41,dm,1,1,1,11,0.6875,4.5994,0.9997,37.31
audioseal,2,chinese:SSB0133,0,42,dm,1,1,1,12,0.7500,4.6005,0.9994,40.19
audioseal,2,chinese:SSB0133,1,43,dm,1,1,1,13,0.8125,4.6058,0.9994,39.37
audioseal,2,chinese:SSB0133,2,44,dm,1,1,1,12,0.7500,4.5969,0.9993,38.23
audioseal,2,chinese:SSB0139,0,45,dm,1,1,1,12,0.7500,4.6080,0.9999,36.64
audioseal,2,chinese:SSB0139,1,46,dm,1,1,1,12,0.7500,4.6063,0.9999,35.69
audioseal,2,chinese:SSB0139,2,47,dm,1,1,1,14,0.8750,4.6255,0.9999,40.15
audioseal,2,chinese:SSB0145,0,48,dm,1,1,1,13,0.8125,4.6060,0.9995,34.25
audioseal,2,chinese:SSB0145,1,49,dm,1,1,1,13,0.8125,4.6127,0.9997,36.21
audioseal,2,chinese:SSB0145,2,50,dm,1,1,1,13,0.8125,4.5965,0.9996,36.06
audioseal,2,chinese:SSB0149,0,51,dm,1,1,1,14,0.8750,4.6016,0.9998,33.47
audioseal,2,chinese:SSB0149,1,52,dm,1,1,1,12,0.7500,4.5904,0.9998,37.00
audioseal,2,chinese:SSB0149,2,53,dm,1,1,1,14,0.8750,4.6067,0.9999,36.31
audioseal,2,chinese:SSB0193,0,54,dm,1,0,0,15,0.9375,4.5965,0.9997,34.85
audioseal,2,chinese:SSB0193,1,55,dm,1,1,1,10,0.6250,4.5649,0.9994,31.53
audioseal,2,chinese:SSB0193,2,56,dm,1,1,1,11,0.6875,4.5671,0.9995,32.16
audioseal,2,chinese:SSB0197,0,57,dm,1,1,1,12,0.7500,4.5464,0.9941,31.34
audioseal,2,chinese:SSB0197,1,58,dm,1,1,1,14,0.8750,4.5869,0.9919,32.84
audioseal,2,chinese:SSB0197,2,59,dm,1,1,1,11,0.6875,4.5477,0.9916,28.83
audioseal,2,chinese:SSB0200,0,60,dm,1,1,1,13,0.8125,4.5566,0.9994,27.89
audioseal,2,chinese:SSB0200,1,61,dm,1,1,1,14,0.8750,4.6177,0.9997,34.66
