model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,5,chinese:SSB0005,0,0,dm,1,1,1,9,0.5625,3.9360,0.9616,15.40
voicemark,5,chinese:SSB0005,1,1,dm,1,1,1,13,0.8125,4.2591,0.9696,15.50
voicemark,5,chinese:SSB0005,2,2,dm,1,1,1,10,0.6250,4.0746,0.9718,17.90
voicemark,5,chinese:SSB0009,0,3,dm,1,1,1,9,0.5625,3.6295,0.9579,11.59
voicemark,5,chinese:SSB0009,1,4,dm,1,1,0,13,0.8125,4.0611,0.9670,11.70
voicemark,5,chinese:SSB0009,2,5,dm,1,1,1,12,0.7500,4.0357,0.9701,13.93
voicemark,5,chinese:SSB0011,0,6,dm,1,1,1,15,0.9375,4.0675,0.9694,17.35
voicemark,5,chinese:SSB0011,1,7,dm,1,1,1,10,0.6250,3.9069,0.9653,15.41
voicemark,5,chinese:SSB0011,2,8,dm,1,1,1,11,0.6875,4.1056,0.9689,16.44
voicemark,5,chinese:SSB0012,0,9,dm,1,1,1,13,0.8125,3.8912,0.9637,13.77
voicemark,5,chinese:SSB0012,1,10,dm,1,1,1,9,0.5625,3.6678,0.9479,13.11
voicemark,5,chinese:SSB0012,2,11,dm,1,1,1,14,0.8750,4.0452,0.9597,13.71
voicemark,5,chinese:SSB0016,0,12,dm,1,1,1,12,0.7500,3.9752,0.9588,16.57
voicemark,5,chinese:SSB0016,1,13,dm,1,1,1,13,0.8125,4.0871,0.9584,17.27
voicemark,5,chinese:SSB0016,2,14,dm,1,1,1,12,0.7500,4.0079,0.9564,14.37
voicemark,5,chinese:SSB0018,0,15,dm,1,1,1,12,0.7500,3.8703,0.9587,13.63
voicemark,5,chinese:SSB0018,1,16,dm,1,1,1,10,0.6250,4.0233,0.9774,16.39
voicemark,5,chinese:SSB0018,2,17,dm,1,1,1,10,0.6250,4.2200,0.9780,15.69
voicemark,5,chinese:SSB0033,0,18,dm,1,1,1,12,0.7500,4.1214,0.9735,19.41
voicemark,5,chinese:SSB0033,1,19,dm,1,1,1,12,0.7500,4.3942,0.9760,18.97
voicemark,5,chinese:SSB0033,2,20,dm,1,1,1,13,0.8125,4.2019,0.9779,18.84
voicemark,5,chinese:SSB0038,0,21,dm,1,1,1,10,0.6250,4.2584,0.9709,16.35
voicemark,5,chinese:SSB0038,1,22,dm,1,1,1,11,0.6875,4.2490,0.9664,16.20
voicemark,5,chinese:SSB0038,2,23,dm,0,0,0,16,1.0000,3.5292,0.9456,15.23
voicemark,5,chinese:SSB0043,0,24,dm,1,1,1,10,0.6250,4.0183,0.9433,14.99
