model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,chinese:SSB0005,0,0,dm,1,1,1,12,0.7500,4.5856,0.9977,44.53
wavmark,3,chinese:SSB0005,1,1,dm,1,1,1,13,0.8125,4.5259,0.9970,44.11
wavmark,3,chinese:SSB0005,2,2,dm,1,1,1,13,0.8125,4.5903,0.9975,45.78
wavmark,3,chinese:SSB0009,0,3,dm,1,1,1,14,0.8750,4.6105,0.9999,46.26
wavmark,3,chinese:SSB0009,1,4,dm,1,1,1,13,0.8125,4.5915,0.9999,43.03
wavmark,3,chinese:SSB0009,2,5,dm,1,1,1,13,0.8125,4.5855,0.9999,42.21
wavmark,3,chinese:SSB0011,0,6,dm,1,1,1,14,0.8750,4.3994,0.9995,43.43
wavmark,3,chinese:SSB0011,1,7,dm,1,1,1,13,0.8125,4.5000,0.9995,43.49
wavmark,3,chinese:SSB0011,2,8,dm,1,1,1,13,0.8125,4.5131,0.9996,43.35
wavmark,3,chinese:SSB0012,0,9,dm,1,1,1,12,0.7500,4.5291,0.9998,43.51
wavmark,3,chinese:SSB0012,1,10,dm,1,1,1,14,0.8750,4.5420,0.9998,43.23
wavmark,3,chinese:SSB0012,2,11,dm,1,1,1,12,0.7500,4.5434,0.9998,43.49
wavmark,3,chinese:SSB0016,0,12,dm,1,1,1,14,0.8750,4.4516,0.9986,39.68
wavmark,3,chinese:SSB0016,1,13,dm,1,1,1,14,0.8750,4.4227,0.9983,38.90
wavmark,3,chinese:SSB0016,2,14,dm,1,1,1,12,0.7500,4.3943,0.9978,38.96
wavmark,3,chinese:SSB0018,0,15,dm,1,1,1,15,0.9375,4.5387,0.9995,44.65
wavmark,3,chinese:SSB0018,1,16,dm,1,1,1,13,0.8125,4.4639,0.9995,44.09
wavmark,3,chinese:SSB0018,2,17,dm,1,1,1,15,0.9375,4.5614,0.9995,43.96
wavmark,3,chinese:SSB0033,0,18,dm,1,1,1,13,0.8125,4.3222,0.9996,43.71
wavmark,3,chinese:SSB0033,1,19,dm,1,1,1,14,0.8750,4.4919,0.9997,45.12
wavmark,3,chinese:SSB0033,2,20,dm,1,1,1,12,0.7500,4.5315,0.9998,44.60
wavmark,3,chinese:SSB0038,0,21,dm,1,1,1,13,0.8125,4.5498,0.9998,43.41
wavmark,3,chinese:SSB0038,1,22,dm,1,1,1,13,0.8125,4.5465,0.9998,43.59
wavmark,3,chinese:SSB0038,2,23,dm,1,1,1,12,0.7500,4.4911,0.9998,43.84
wavmark,3,chinese:SSB0043,0,24,dm,1,0,0,15,0.9375,4.4984,0.9986,41.75
wavmark,3,chinese:SSB0043,1,25,dm,1,1,1,13,0.8125,4.5017,0.9989,43.16
wavmark,3,chinese:SSB0043,2,26,dm,1,1,1,13,0.8125,4.5341,0.9990,43.30
wavmark,3,chinese:SSB0057,0,27,dm,1,1,1,11,0.6875,4.5177,0.9946,43.40
wavmark,3,chinese:SSB0057,1,28,dm,1,1,1,14,0.8750,4.5385,0.9963,43.75
wavmark,3,chinese:SSB0057,2,29,dm,1,1,1,13,0.8125,4.4887,0.9961,44.25
wavmark,3,chinese:SSB0073,0,30,dm,1,1,1,14,0.8750,4.4238,0.9998,44.23
wavmark,3,chinese:SSB0073,1,31,dm,1,1,1,13,0.8125,4.4702,0.9998,44.59
wavmark,3,chinese:SSB0073,2,32,dm,1,1,1,14,0.8750,4.5509,0.9999,46.09
wavmark,3,chinese:SSB0080,0,33,dm,1,1,1,14,0.8750,4.5451,0.9968,44.24
wavmark,3,chinese:SSB0080,1,34,dm,1,1,1,13,0.8125,4.5582,0.9962,43.85
wavmark,3,chinese:SSB0080,2,35,dm,1,1,1,14,0.8750,4.5615,0.9969,43.92
wavmark,3,chinese:SSB0112,0,36,dm,1,1,1,13,0.8125,4.5275,0.9991,39.95
wavmark,3,chinese:SSB0112,1,37,dm,1,1,1,14,0.8750,4.4939,0.9987,38.63
wavmark,3,chinese:SSB0112,2,38,dm,1,1,1,13,0.8125,4.3750,0.9987,38.18
wavmark,3,chinese:SSB0122,0,39,dm,1,1,1,15,0.9375,4.5179,0.9999,43.49
wavmark,3,chinese:SSB0122,1,40,dm,1,1,1,12,0.7500,4.4998,0.9998,43.08
wavmark,3,chinese:SSB0122,2,41,dm,1,1,1,13,0.8125,4.4510,0.9998,42.77
wavmark,3,chinese:SSB0133,0,42,dm,1,1,1,13,0.8125,4.5200,0.9997,42.22
wavmark,3,chinese:SSB0133,1,43,dm,1,1,1,14,0.8750,4.5351,0.9997,43.94
wavmark,3,chinese:SSB0133,2,44,dm,1,1,1,12,0.7500,4.5369,0.9996,41.79
wavmark,3,chinese:SSB0139,0,45,dm,1,1,1,14,0.8750,4.5028,0.9999,44.39
wavmark,3,chinese:SSB0139,1,46,dm,1,1,1,13,0.8125,4.4546,0.9999,43.90
wavmark,3,chinese:SSB0139,2,47,dm,1,1,1,12,0.7500,4.4701,0.9999,44.05
wavmark,3,chinese:SSB0145,0,48,dm,1,1,1,13,0.8125,4.5700,0.9999,42.91
wavmark,3,chinese:SSB0145,1,49,dm,1,1,1,14,0.8750,4.5583,1.0000,43.13
wavmark,3,chinese:SSB0145,2,50,dm,1,1,1,13,0.8125,4.5618,0.9999,42.00
wavmark,3,chinese:SSB0149,0,51,dm,1,1,1,13,0.8125,4.4165,0.9997,45.11
wavmark,3,chinese:SSB0149,1,52,dm,1,1,1,13,0.8125,4.3580,0.9997,44.21
wavmark,3,chinese:SSB0149,2,53,dm,1,1,1,13,0.8125,4.4622,0.9998,44.16
wavmark,3,chinese:SSB0193,0,54,dm,1,1,1,12,0.7500,4.4802,0.9990,40.74
wavmark,3,chinese:SSB0193,1,55,dm,1,1,1,11,0.6875,4.5360,0.9994,41.12
wavmark,3,chinese:SSB0193,2,56,dm,1,1,1,14,0.8750,4.5627,0.9994,43.12
wavmark,3,chinese:SSB0197,0,57,dm,1,1,1,14,0.8750,4.5425,0.9934,37.59
wavmark,3,chinese:SSB0197,1,58,dm,1,1,1,14,0.8750,4.5301,0.9893,36.81
wavmark,3,chinese:SSB0197,2,59,dm,1,1,1,14,0.8750,4.5097,0.9890,35.19
wavmark,3,chinese:SSB0200,0,60,dm,1,1,1,14,0.8750,4.5706,0.9998,41.64
wavmark,3,chinese:SSB0200,1,61,dm,1,1,1,15,0.9375,4.4990,0.9998,42.98
wavmark,3,chinese:SSB0200,2,62,dm,1,1,1,12,0.7500,4.5576,0.9997,41.22
wavmark,3,chinese:SSB0241,0,63,dm,1,1,1,13,0.8125,4.5124,0.9999,43.76
wavmark,3,chinese:SSB0241,1,64,dm,1,1,1,12,0.7500,4.5151,0.9998,43.07
wavmark,3,chinese:SSB0241,2,65,dm,1,1,1,14,0.8750,4.5294,0.9999,44.95
