model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,3,chinese:SSB0005,0,0,dm,1,1,1,10,0.6250,4.4166,0.9881,18.70
wmcodec,3,chinese:SSB0005,1,1,dm,1,1,1,12,0.7500,4.4121,0.9895,18.14
wmcodec,3,chinese:SSB0005,2,2,dm,1,1,1,12,0.7500,4.1662,0.9873,17.98
wmcodec,3,chinese:SSB0009,0,3,dm,1,1,1,12,0.7500,4.3706,0.9872,15.01
wmcodec,3,chinese:SSB0009,1,4,dm,1,1,1,10,0.6250,4.3014,0.9878,14.41
wmcodec,3,chinese:SSB0009,2,5,dm,1,1,1,11,0.6875,4.4225,0.9878,14.90
wmcodec,3,chinese:SSB0011,0,6,dm,1,1,1,10,0.6250,4.3763,0.9880,18.71
wmcodec,3,chinese:SSB0011,1,7,dm,1,1,1,14,0.8750,3.9509,0.9877,17.35
wmcodec,3,chinese:SSB0011,2,8,dm,1,1,1,10,0.6250,4.3720,0.9878,17.76
wmcodec,3,chinese:SSB0012,0,9,dm,1,1,1,12,0.7500,4.4551,0.9858,14.56
wmcodec,3,chinese:SSB0012,1,10,dm,1,1,1,14,0.8750,4.3850,0.9855,14.75
wmcodec,3,chinese:SSB0012,2,11,dm,1,1,1,13,0.8125,4.3190,0.9869,15.14
wmcodec,3,chinese:SSB0016,0,12,dm,1,1,1,10,0.6250,4.3532,0.9887,16.70
wmcodec,3,chinese:SSB0016,1,13,dm,1,1,1,12,0.7500,4.3934,0.9876,16.99
wmcodec,3,chinese:SSB0016,2,14,dm,1,1,1,12,0.7500,4.2959,0.9871,16.87
wmcodec,3,chinese:SSB0018,0,15,dm,1,1,1,13,0.8125,4.4372,0.9878,15.12
wmcodec,3,chinese:SSB0018,1,16,dm,1,1,1,13,0.8125,4.4180,0.9883,16.26
wmcodec,3,chinese:SSB0018,2,17,dm,1,1,1,12,0.7500,4.3778,0.9879,15.88
wmcodec,3,chinese:SSB0033,0,18,dm,1,1,1,9,0.5625,4.3706,0.9889,20.74
wmcodec,3,chinese:SSB0033,1,19,dm,1,1,1,12,0.7500,4.3719,0.9880,20.65
