model,K,spk,local_t,gi,restart,start_id,objective,weights
audioseal,8,chinese:SSB0005,0,0,0,0,0.0000020129,0.08529149;0.30588342;0.00000000;0.00000000;0.19063397;0.00000000;0.22102023;0.19717089
audioseal,8,chinese:SSB0005,0,0,0,1,0.0000020126,0.08853315;0.29779033;0.00000000;0.00000000;0.18500118;0.00000000;0.22613749;0.20253785
audioseal,8,chinese:SSB0005,0,0,0,2,0.0000020128,0.08641459;0.30317154;0.00000000;0.00000000;0.19022247;0.00206811;0.21829717;0.19982611
audioseal,8,chinese:SSB0005,0,0,0,3,0.0000020130,0.08668018;0.30512963;0.00000000;0.00000000;0.19041159;0.00000000;0.21854696;0.19923165
audioseal,8,chinese:SSB0005,0,0,0,4,0.0000020122,0.07409345;0.30790480;0.00000000;0.00000000;0.18534873;0.00000000;0.23218419;0.20046884
audioseal,8,chinese:SSB0005,0,0,0,5,0.0000020130,0.08853200;0.30493369;0.00000000;0.00000000;0.18948441;0.00000000;0.21823181;0.19881810
audioseal,8,chinese:SSB0005,0,0,0,6,0.0000020129,0.08608278;0.30511199;0.00000000;0.00000000;0.19315275;0.00000000;0.21668885;0.19896362
audioseal,8,chinese:SSB0005,0,0,1,0,0.0000020129,0.08529149;0.30588342;0.00000000;0.00000000;0.19063397;0.00000000;0.22102023;0.19717089
audioseal,8,chinese:SSB0005,0,0,1,1,0.0000020126,0.08853315;0.29779033;0.00000000;0.00000000;0.18500118;0.00000000;0.22613749;0.20253785
audioseal,8,chinese:SSB0005,0,0,1,2,0.0000020128,0.08641459;0.30317154;0.00000000;0.00000000;0.19022247;0.00206811;0.21829717;0.19982611
audioseal,8,chinese:SSB0005,0,0,1,3,0.0000020129,0.08350909;0.30528523;0.00000000;0.00000000;0.19237631;0.00000000;0.21910247;0.19972690
audioseal,8,chinese:SSB0005,0,0,1,4,0.0000020129,0.09017925;0.30536801;0.00000000;0.00000000;0.18857274;0.00000000;0.21692884;0.19895115
audioseal,8,chinese:SSB0005,0,0,1,5,0.0000020128,0.08392698;0.30454134;0.00000000;0.00000000;0.18426064;0.00000000;0.22491263;0.20235841
audioseal,8,chinese:SSB0005,0,0,1,6,0.0000020130,0.08569981;0.30533793;0.00000000;0.00000000;0.19052088;0.00000000;0.21931924;0.19912214
audioseal,8,chinese:SSB0005,0,0,2,0,0.0000020129,0.08529149;0.30588342;0.00000000;0.00000000;0.19063397;0.00000000;0.22102023;0.19717089
