model,K,spk,local_t,gi,restart,start_id,objective,weights
timbrewm,8,chinese:SSB0005,0,0,0,0,0.0000032343,0.16098664;0.10407643;0.00000000;0.20241874;0.08995773;0.09736441;0.34519606;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,1,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,2,0.0000032344,0.16034349;0.10822136;0.00000000;0.20495277;0.08431332;0.09845508;0.34371397;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,3,0.0000032344,0.15894214;0.10678763;0.00000000;0.21744512;0.08754602;0.08471999;0.34455910;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,4,0.0000032337,0.16625897;0.09913744;0.00000000;0.19573801;0.09109791;0.10039382;0.34737385;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,5,0.0000032344,0.15705112;0.10476789;0.00000000;0.20865999;0.08806087;0.09521123;0.34624890;0.00000000
timbrewm,8,chinese:SSB0005,0,0,0,6,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,0,0.0000032343,0.16098664;0.10407643;0.00000000;0.20241874;0.08995773;0.09736441;0.34519606;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,1,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,2,0.0000032344,0.16034349;0.10822136;0.00000000;0.20495277;0.08431332;0.09845508;0.34371397;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,3,0.0000032344,0.15588347;0.10535729;0.00000000;0.20966961;0.08892668;0.09464300;0.34551995;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,4,0.0000032345,0.15805011;0.11080092;0.00000000;0.21166204;0.08404432;0.09309842;0.34234419;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,5,0.0000032345,0.15934944;0.10660231;0.00000000;0.20942584;0.08786938;0.09250019;0.34425285;0.00000000
timbrewm,8,chinese:SSB0005,0,0,1,6,0.0000032333,0.16720432;0.11139653;0.00000000;0.18627482;0.08003854;0.11465276;0.34043302;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,0,0.0000032343,0.16098664;0.10407643;0.00000000;0.20241874;0.08995773;0.09736441;0.34519606;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,1,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,2,0.0000032333,0.16720432;0.11139653;0.00000000;0.18627482;0.08003854;0.11465276;0.34043302;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,3,0.0000032345,0.15805011;0.11080092;0.00000000;0.21166204;0.08404432;0.09309842;0.34234419;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,4,0.0000032344,0.15665878;0.10726019;0.00000000;0.21945583;0.08742047;0.08478162;0.34442310;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,5,0.0000032344,0.15588347;0.10535729;0.00000000;0.20966961;0.08892668;0.09464300;0.34551995;0.00000000
timbrewm,8,chinese:SSB0005,0,0,2,6,0.0000032331,0.16626184;0.10591083;0.00000000;0.18781139;0.07755726;0.11669750;0.34576118;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,0,0.0000032343,0.16098664;0.10407643;0.00000000;0.20241874;0.08995773;0.09736441;0.34519606;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,1,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,2,0.0000032344,0.16034349;0.10822136;0.00000000;0.20495277;0.08431332;0.09845508;0.34371397;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,3,0.0000032337,0.16625897;0.09913744;0.00000000;0.19573801;0.09109791;0.10039382;0.34737385;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,4,0.0000032335,0.16154384;0.10251446;0.00000000;0.22829356;0.09203317;0.06889220;0.34672278;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,5,0.0000032344,0.16414351;0.10472997;0.00000000;0.21116789;0.08388389;0.09011959;0.34595515;0.00000000
timbrewm,8,chinese:SSB0005,0,0,3,6,0.0000032345,0.15805011;0.11080092;0.00000000;0.21166204;0.08404432;0.09309842;0.34234419;0.00000000
timbrewm,8,chinese:SSB0009,0,1,0,0,0.0000046232,0.32433584;0.22683118;0.09688302;0.08603260;0.00000000;0.07508401;0.10300199;0.08783136
timbrewm,8,chinese:SSB0009,0,1,0,1,0.0000046230,0.32654650;0.22917002;0.09896612;0.07064924;0.00000000;0.07113669;0.08779240;0.11573904
timbrewm,8,chinese:SSB0009,0,1,0,2,0.0000046235,0.32411837;0.22352646;0.09698461;0.08365717;0.00000000;0.07590581;0.10502709;0.09078047
timbrewm,8,chinese:SSB0009,0,1,0,3,0.0000046238,0.32518165;0.22636304;0.09788762;0.07760430;0.00000000;0.07250646;0.09867798;0.10177896
timbrewm,8,chinese:SSB0009,0,1,0,4,0.0000046238,0.32706425;0.22917223;0.09265872;0.07892859;0.00000000;0.07551189;0.09530868;0.10135563
timbrewm,8,chinese:SSB0009,0,1,0,5,0.0000046234,0.32576485;0.22795671;0.09189737;0.07845201;0.00000000;0.08207140;0.10317261;0.09068505
timbrewm,8,chinese:SSB0009,0,1,0,6,0.0000046238,0.32565593;0.22882238;0.09602220;0.07568687;0.00000000;0.07272616;0.09707874;0.10400771
timbrewm,8,chinese:SSB0009,0,1,1,0,0.0000046232,0.32433584;0.22683118;0.09688302;0.08603260;0.00000000;0.07508401;0.10300199;0.08783136
timbrewm,8,chinese:SSB0009,0,1,1,1,0.0000046230,0.32654650;0.22917002;0.09896612;0.07064924;0.00000000;0.07113669;0.08779240;0.11573904
timbrewm,8,chinese:SSB0009,0,1,1,2,0.0000046238,0.32474839;0.22373245;0.09887286;0.07838482;0.00000000;0.07594270;0.10001425;0.09830451
timbrewm,8,chinese:SSB0009,0,1,1,3,0.0000046236,0.32758304;0.22665358;0.09165644;0.08406154;0.00000000;0.07803885;0.09514323;0.09686333
timbrewm,8,chinese:SSB0009,0,1,1,4,0.0000046238,0.32616171;0.22792168;0.09400381;0.07726807;0.00000000;0.07730607;0.09805418;0.09928447
timbrewm,8,chinese:SSB0009,0,1,1,5,0.0000046237,0.32410264;0.22895716;0.09348630;0.08038008;0.00000000;0.07288140;0.10160255;0.09858986
timbrewm,8,chinese:SSB0009,0,1,1,6,0.0000046237,0.32410264;0.22895716;0.09348630;0.08038008;0.00000000;0.07288140;0.10160255;0.09858986
timbrewm,8,chinese:SSB0009,0,1,2,0,0.0000046232,0.32433584;0.22683118;0.09688302;0.08603260;0.00000000;0.07508401;0.10300199;0.08783136
timbrewm,8,chinese:SSB0009,0,1,2,1,0.0000046230,0.32654650;0.22917002;0.09896612;0.07064924;0.00000000;0.07113669;0.08779240;0.11573904
timbrewm,8,chinese:SSB0009,0,1,2,2,0.0000046234,0.32294197;0.22695134;0.09793808;0.08382028;0.00000000;0.06865850;0.10473537;0.09495446
timbrewm,8,chinese:SSB0009,0,1,2,3,0.0000046238,0.32655528;0.22723457;0.09376785;0.08013306;0.00000000;0.07678761;0.09809477;0.09742685
timbrewm,8,chinese:SSB0009,0,1,2,4,0.0000046237,0.32682814;0.23116758;0.09303799;0.07533175;0.00000000;0.07259190;0.09458749;0.10645514
timbrewm,8,chinese:SSB0009,0,1,2,5,0.0000046238,0.32474839;0.22373245;0.09887286;0.07838482;0.00000000;0.07594270;0.10001425;0.09830451
timbrewm,8,chinese:SSB0009,0,1,2,6,0.0000046238,0.32655528;0.22723457;0.09376785;0.08013306;0.00000000;0.07678761;0.09809477;0.09742685
timbrewm,8,chinese:SSB0009,0,1,3,0,0.0000046232,0.32433584;0.22683118;0.09688302;0.08603260;0.00000000;0.07508401;0.10300199;0.08783136
timbrewm,8,chinese:SSB0009,0,1,3,1,0.0000046230,0.32654650;0.22917002;0.09896612;0.07064924;0.00000000;0.07113669;0.08779240;0.11573904
timbrewm,8,chinese:SSB0009,0,1,3,2,0.0000046237,0.32365680;0.22526303;0.09889685;0.07776639;0.00000000;0.07479064;0.10299649;0.09662980
timbrewm,8,chinese:SSB0009,0,1,3,3,0.0000046238,0.32504149;0.22618161;0.09620774;0.07841868;0.00000000;0.07665214;0.10178884;0.09570950
timbrewm,8,chinese:SSB0009,0,1,3,4,0.0000046234,0.32294197;0.22695134;0.09793808;0.08382028;0.00000000;0.06865850;0.10473537;0.09495446
timbrewm,8,chinese:SSB0009,0,1,3,5,0.0000046238,0.32616171;0.22792168;0.09400381;0.07726807;0.00000000;0.07730607;0.09805418;0.09928447
timbrewm,8,chinese:SSB0009,0,1,3,6,0.0000046230,0.32654650;0.22917002;0.09896612;0.07064924;0.00000000;0.07113669;0.08779240;0.11573904
timbrewm,8,chinese:SSB0011,0,2,0,0,0.0000011234,0.12745718;0.13147316;0.17990237;0.16895332;0.00000000;0.26296786;0.00000000;0.12924611
