model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,8,chinese:SSB0005,0,0,0,0,0.0003038161,0.18631620;0.26570153;0.09322448;0.00000000;0.00000000;0.17273577;0.24325584;0.03876618
voicemark,8,chinese:SSB0005,0,0,0,1,0.0003038161,0.18631591;0.26570114;0.09322145;0.00000000;0.00000000;0.17273480;0.24325716;0.03876955
voicemark,8,chinese:SSB0005,0,0,0,2,0.0003038161,0.18631592;0.26570114;0.09322143;0.00000000;0.00000000;0.17273479;0.24325716;0.03876957
voicemark,8,chinese:SSB0005,0,0,0,3,0.0003038161,0.18631592;0.26570114;0.09322142;0.00000000;0.00000000;0.17273478;0.24325716;0.03876958
voicemark,8,chinese:SSB0005,0,0,0,4,0.0003038161,0.18631591;0.26570115;0.09322143;0.00000000;0.00000000;0.17273479;0.24325716;0.03876957
voicemark,8,chinese:SSB0005,0,0,0,5,0.0003038161,0.18631604;0.26570106;0.09322153;0.00000000;0.00000000;0.17273490;0.24325706;0.03876942
voicemark,8,chinese:SSB0005,0,0,0,6,0.0003038161,0.18631583;0.26570152;0.09322113;0.00000000;0.00000000;0.17273447;0.24325767;0.03876938
voicemark,8,chinese:SSB0005,0,0,1,0,0.0003038161,0.18631620;0.26570153;0.09322448;0.00000000;0.00000000;0.17273577;0.24325584;0.03876618
voicemark,8,chinese:SSB0005,0,0,1,1,0.0003038161,0.18631591;0.26570114;0.09322145;0.00000000;0.00000000;0.17273480;0.24325716;0.03876955
voicemark,8,chinese:SSB0005,0,0,1,2,0.0003038161,0.18631592;0.26570114;0.09322143;0.00000000;0.00000000;0.17273479;0.24325716;0.03876957
voicemark,8,chinese:SSB0005,0,0,1,3,0.0003038161,0.18631591;0.26570115;0.09322143;0.00000000;0.00000000;0.17273478;0.24325717;0.03876958
voicemark,8,chinese:SSB0005,0,0,1,4,0.0003038161,0.18631591;0.26570115;0.09322143;0.00000000;0.00000000;0.17273480;0.24325715;0.03876956
voicemark,8,chinese:SSB0005,0,0,1,5,0.0003038161,0.18631634;0.26570088;0.09322221;0.00000000;0.00000000;0.17273263;0.24325864;0.03876929
voicemark,8,chinese:SSB0005,0,0,1,6,0.0003038161,0.18631592;0.26570115;0.09322141;0.00000000;0.00000000;0.17273479;0.24325716;0.03876957
voicemark,8,chinese:SSB0005,0,0,2,0,0.0003038161,0.18631620;0.26570153;0.09322448;0.00000000;0.00000000;0.17273577;0.24325584;0.03876618
voicemark,8,chinese:SSB0005,0,0,2,1,0.0003038161,0.18631591;0.26570114;0.09322145;0.00000000;0.00000000;0.17273480;0.24325716;0.03876955
voicemark,8,chinese:SSB0005,0,0,2,2,0.0003038161,0.18631592;0.26570115;0.09322141;0.00000000;0.00000000;0.17273479;0.24325716;0.03876957
voicemark,8,chinese:SSB0005,0,0,2,3,0.0003038161,0.18631591;0.26570115;0.09322143;0.00000000;0.00000000;0.17273480;0.24325715;0.03876956
voicemark,8,chinese:SSB0005,0,0,2,4,0.0003038161,0.18631614;0.26570040;0.09322032;0.00000000;0.00000000;0.17273418;0.24325751;0.03877145
voicemark,8,chinese:SSB0005,0,0,2,5,0.0003038161,0.18631591;0.26570115;0.09322143;0.00000000;0.00000000;0.17273478;0.24325717;0.03876958
voicemark,8,chinese:SSB0005,0,0,2,6,0.0003038161,0.18631592;0.26570113;0.09322144;0.00000000;0.00000000;0.17273478;0.24325715;0.03876957
voicemark,8,chinese:SSB0005,0,0,3,0,0.0003038161,0.18631620;0.26570153;0.09322448;0.00000000;0.00000000;0.17273577;0.24325584;0.03876618
voicemark,8,chinese:SSB0005,0,0,3,1,0.0003038161,0.18631591;0.26570114;0.09322145;0.00000000;0.00000000;0.17273480;0.24325716;0.03876955
