model,K,spk,local_t,gi,restart,start_id,objective,weights
wavmark,8,chinese:SSB0005,0,0,0,0,0.0000003326,0.14103125;0.19587938;0.08556010;0.07485227;0.10286365;0.00797905;0.10058611;0.29124819
wavmark,8,chinese:SSB0005,0,0,0,1,0.0000003328,0.14473541;0.24352060;0.12371201;0.02820297;0.11344944;0.01588144;0.08697698;0.24352115
wavmark,8,chinese:SSB0005,0,0,0,2,0.0000003265,0.23762214;0.19699982;0.23762207;0.00000001;0.00000013;0.00000000;0.00000001;0.32775582
wavmark,8,chinese:SSB0005,0,0,0,3,0.0000003330,0.15003920;0.24143679;0.07129796;0.05011780;0.11570468;0.00000000;0.11248046;0.25892311
wavmark,8,chinese:SSB0005,0,0,0,4,0.0000003342,0.19469309;0.22950138;0.12333578;0.02638482;0.10374028;0.00000000;0.06147793;0.26086672
wavmark,8,chinese:SSB0005,0,0,0,5,0.0000003325,0.19478416;0.21652562;0.05506901;0.00000001;0.12212287;0.00000000;0.12206029;0.28943804
wavmark,8,chinese:SSB0005,0,0,0,6,0.0000003330,0.13969229;0.22907078;0.09622771;0.02548467;0.15928909;0.00000000;0.09933099;0.25090447
wavmark,8,chinese:SSB0005,0,0,1,0,0.0000003326,0.14103125;0.19587938;0.08556010;0.07485227;0.10286365;0.00797905;0.10058611;0.29124819
wavmark,8,chinese:SSB0005,0,0,1,1,0.0000003328,0.14473541;0.24352060;0.12371201;0.02820297;0.11344944;0.01588144;0.08697698;0.24352115
wavmark,8,chinese:SSB0005,0,0,1,2,0.0000003265,0.23762214;0.19699982;0.23762207;0.00000001;0.00000013;0.00000000;0.00000001;0.32775582
wavmark,8,chinese:SSB0005,0,0,1,3,0.0000003320,0.18187954;0.16128192;0.09622261;0.02509680;0.13167649;0.02420659;0.12098768;0.25864836
wavmark,8,chinese:SSB0005,0,0,1,4,0.0000003321,0.18002129;0.22383689;0.06855216;0.00000001;0.09607408;0.02927866;0.12936669;0.27287022
wavmark,8,chinese:SSB0005,0,0,1,5,0.0000003299,0.23967439;0.17664079;0.14892181;0.00000000;0.07869131;0.04903082;0.06736574;0.23967514
wavmark,8,chinese:SSB0005,0,0,1,6,0.0000003336,0.14797843;0.19711696;0.09475861;0.03060626;0.13510983;0.00000000;0.12557759;0.26885231
