model,K,spk,local_t,gi,restart,start_id,objective,weights
wmcodec,5,chinese:SSB0005,0,0,0,0,0.0001395779,0.18201004;0.21810202;0.18568899;0.17764874;0.23655021
wmcodec,5,chinese:SSB0005,0,0,0,1,0.0001395779,0.18191816;0.21817439;0.18578315;0.17764853;0.23647577
wmcodec,5,chinese:SSB0005,0,0,0,2,0.0001395779,0.18197371;0.21810517;0.18571685;0.17765724;0.23654704
wmcodec,5,chinese:SSB0005,0,0,0,3,0.0001395779,0.18201754;0.21812264;0.18567514;0.17762935;0.23655531
wmcodec,5,chinese:SSB0005,0,0,0,4,0.0001395779,0.18192325;0.21800941;0.18580495;0.17782238;0.23644001
wmcodec,5,chinese:SSB0005,0,0,0,5,0.0001395779,0.18197372;0.21810517;0.18571683;0.17765723;0.23654705
wmcodec,5,chinese:SSB0005,0,0,0,6,0.0001395779,0.18197372;0.21810517;0.18571683;0.17765723;0.23654705
wmcodec,5,chinese:SSB0005,0,0,1,0,0.0001395779,0.18201004;0.21810202;0.18568899;0.17764874;0.23655021
wmcodec,5,chinese:SSB0005,0,0,1,1,0.0001395779,0.18191816;0.21817439;0.18578315;0.17764853;0.23647577
wmcodec,5,chinese:SSB0005,0,0,1,2,0.0001395779,0.18197371;0.21810514;0.18571685;0.17765725;0.23654705
wmcodec,5,chinese:SSB0005,0,0,1,3,0.0001395779,0.18201754;0.21812264;0.18567514;0.17762935;0.23655531
wmcodec,5,chinese:SSB0005,0,0,1,4,0.0001395779,0.18197371;0.21810515;0.18571685;0.17765724;0.23654705
wmcodec,5,chinese:SSB0005,0,0,1,5,0.0001395779,0.18201754;0.21812264;0.18567514;0.17762935;0.23655531
wmcodec,5,chinese:SSB0005,0,0,1,6,0.0001395779,0.18193338;0.21810553;0.18575438;0.17764198;0.23656473
wmcodec,5,chinese:SSB0005,0,0,2,0,0.0001395779,0.18201004;0.21810202;0.18568899;0.17764874;0.23655021
wmcodec,5,chinese:SSB0005,0,0,2,1,0.0001395779,0.18191816;0.21817439;0.18578315;0.17764853;0.23647577
wmcodec,5,chinese:SSB0005,0,0,2,2,0.0001395779,0.18197295;0.21810535;0.18571734;0.17765641;0.23654794
wmcodec,5,chinese:SSB0005,0,0,2,3,0.0001395779,0.18197295;0.21810535;0.18571734;0.17765641;0.23654794
wmcodec,5,chinese:SSB0005,0,0,2,4,0.0001395779,0.18197372;0.21810517;0.18571683;0.17765723;0.23654705
wmcodec,5,chinese:SSB0005,0,0,2,5,0.0001395779,0.18193338;0.21810553;0.18575438;0.17764198;0.23656473
wmcodec,5,chinese:SSB0005,0,0,2,6,0.0001395779,0.18197372;0.21810517;0.18571683;0.17765723;0.23654705
