model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,9,0.8182,4.5866,0.9992,35.22
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,9,0.8182,4.5682,0.9988,33.50
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,0,0,8,0.7273,4.6045,0.9995,34.51
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,9,0.8182,4.6054,0.9995,35.95
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,4.6103,0.9995,36.41
audioseal,8,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,8,0.7273,4.5880,0.9993,34.48
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,0,9,0.8182,4.5831,0.9996,34.66
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,8,0.7273,4.5683,0.9995,33.08
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,10,0.9091,4.5987,0.9998,35.48
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,9,0.8182,4.5608,0.9995,32.80
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.5861,0.9996,34.39
audioseal,8,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,7,0.6364,4.5941,0.9997,34.59
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,9,0.8182,4.5685,0.9991,34.85
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,0,0,0,11,1.0000,4.5523,0.9984,31.51
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,8,0.7273,4.5638,0.9990,34.61
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,8,0.7273,4.5054,0.9981,31.70
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,9,0.8182,4.5418,0.9988,32.99
audioseal,8,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,8,0.7273,4.4936,0.9980,30.28
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,10,0.9091,4.5932,0.9994,31.83
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.6120,0.9995,33.58
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,1,8,0.7273,4.5851,0.9995,34.54
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,8,0.7273,4.5862,0.9995,34.87
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,0,8,0.7273,4.5858,0.9994,34.76
audioseal,8,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,7,0.6364,4.5443,0.9989,31.94
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,9,0.8182,4.5423,0.9986,32.70
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,9,0.8182,4.5132,0.9982,32.09
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,9,0.8182,4.5349,0.9982,32.26
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,1,10,0.9091,4.5248,0.9975,30.33
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,8,0.7273,4.5282,0.9985,33.38
audioseal,8,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,7,0.6364,4.4179,0.9964,30.30
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,8,0.7273,4.5690,0.9995,32.84
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,1,1,8,0.7273,4.5929,0.9997,34.50
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,1,1,1,8,0.7273,4.5678,0.9996,33.89
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,8,0.7273,4.5962,0.9998,35.47
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,1,1,1,9,0.8182,4.5891,0.9997,34.22
audioseal,8,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,1,1,9,0.8182,4.5732,0.9996,32.36
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,1,1,1,9,0.8182,4.5851,0.9995,39.40
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,1,1,1,9,0.8182,4.5975,0.9995,39.81
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,1,1,1,10,0.9091,4.5873,0.9996,40.66
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,1,1,8,0.7273,4.5717,0.9994,38.62
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,1,1,1,9,0.8182,4.5778,0.9995,38.34
audioseal,8,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,8,0.7273,4.5839,0.9995,39.31
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,7,0.6364,4.5956,0.9991,34.18
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,0,0,8,0.7273,4.5880,0.9990,32.52
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,1,1,1,7,0.6364,4.5656,0.9989,34.61
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,1,1,1,8,0.7273,4.5586,0.9987,34.01
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,8,0.7273,4.5809,0.9989,35.55
audioseal,8,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,0,0,9,0.8182,4.5346,0.9976,32.08
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,1,1,8,0.7273,4.5319,0.9986,32.79
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,1,1,8,0.7273,4.5116,0.9981,30.89
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,9,0.8182,4.5326,0.9988,32.34
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,1,1,7,0.6364,4.5830,0.9991,34.07
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,1,8,0.7273,4.5774,0.9992,35.69
audioseal,8,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,1,1,1,9,0.8182,4.5561,0.9985,32.66
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,10,0.9091,4.5972,0.9992,39.95
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,1,1,1,9,0.8182,4.5880,0.9988,37.89
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,0,0,9,0.8182,4.6066,0.9991,39.37
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,0,0,8,0.7273,4.6037,0.9989,38.02
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,0,0,0,11,1.0000,4.6018,0.9990,35.62
audioseal,8,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,1,1,1,8,0.7273,4.5843,0.9984,34.60
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,1,1,8,0.7273,4.5886,0.9997,32.39
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,0,30,fwp,1,1,1,7,0.6364,4.5785,0.9996,30.25
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,1,31,mean,1,1,1,9,0.8182,4.6116,0.9998,34.65
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,1,31,fwp,1,1,1,9,0.8182,4.6113,0.9998,33.40
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,2,32,mean,1,0,0,10,0.9091,4.5821,0.9997,32.57
audioseal,8,ecc1,16,11,2048,chinese:SSB0073,2,32,fwp,1,0,0,10,0.9091,4.5590,0.9995,30.60
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,0,33,mean,1,1,1,9,0.8182,4.5615,0.9988,29.79
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,0,33,fwp,1,1,1,8,0.7273,4.5629,0.9992,28.53
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,1,34,mean,1,1,1,8,0.7273,4.5779,0.9989,30.45
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,1,34,fwp,1,1,1,7,0.6364,4.5627,0.9981,27.04
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,2,35,mean,1,1,1,9,0.8182,4.5850,0.9986,29.35
audioseal,8,ecc1,16,11,2048,chinese:SSB0080,2,35,fwp,1,1,1,8,0.7273,4.5905,0.9991,30.43
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,0,36,mean,0,0,0,11,1.0000,4.5412,0.9988,29.15
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,0,36,fwp,1,1,1,9,0.8182,4.4772,0.9978,25.37
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,1,37,mean,1,1,1,8,0.7273,4.5496,0.9990,26.97
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,1,37,fwp,1,1,1,9,0.8182,4.5477,0.9990,27.70
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,2,38,mean,1,1,1,8,0.7273,4.5292,0.9991,29.53
audioseal,8,ecc1,16,11,2048,chinese:SSB0112,2,38,fwp,1,1,1,6,0.5455,4.4986,0.9984,27.13
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,0,39,mean,1,1,1,9,0.8182,4.5787,0.9995,33.99
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,0,39,fwp,1,1,1,9,0.8182,4.5669,0.9993,32.60
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,1,40,mean,1,1,1,8,0.7273,4.5803,0.9994,33.71
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,1,40,fwp,1,1,1,9,0.8182,4.6019,0.9996,34.98
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,2,41,mean,1,1,1,8,0.7273,4.5895,0.9995,35.63
audioseal,8,ecc1,16,11,2048,chinese:SSB0122,2,41,fwp,1,1,1,8,0.7273,4.5532,0.9992,32.23
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,0,42,mean,1,1,1,9,0.8182,4.5442,0.9985,35.72
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,0,42,fwp,1,1,1,8,0.7273,4.5129,0.9976,33.94
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,1,43,mean,1,1,0,8,0.7273,4.5532,0.9989,38.03
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,1,43,fwp,1,1,1,9,0.8182,4.5474,0.9987,37.18
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,2,44,mean,1,0,0,10,0.9091,4.5881,0.9992,39.01
audioseal,8,ecc1,16,11,2048,chinese:SSB0133,2,44,fwp,1,1,1,8,0.7273,4.5471,0.9986,36.88
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,0,45,mean,1,1,1,8,0.7273,4.5860,0.9998,33.90
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,0,45,fwp,1,1,1,8,0.7273,4.5764,0.9997,32.46
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,1,46,mean,1,1,1,8,0.7273,4.5895,0.9998,33.11
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,1,46,fwp,1,1,1,8,0.7273,4.5772,0.9997,30.28
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,2,47,mean,1,0,0,9,0.8182,4.5910,0.9998,33.55
audioseal,8,ecc1,16,11,2048,chinese:SSB0139,2,47,fwp,1,1,1,8,0.7273,4.5875,0.9998,35.25
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,0,48,mean,1,0,0,9,0.8182,4.6049,0.9996,34.78
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,0,48,fwp,1,1,1,8,0.7273,4.5975,0.9994,32.96
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,1,49,mean,1,1,1,10,0.9091,4.5525,0.9987,30.39
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,1,49,fwp,1,1,1,8,0.7273,4.5725,0.9993,32.87
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,2,50,mean,1,0,0,10,0.9091,4.5928,0.9993,33.92
audioseal,8,ecc1,16,11,2048,chinese:SSB0145,2,50,fwp,1,0,0,9,0.8182,4.5662,0.9991,32.61
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,0,51,mean,0,0,0,11,1.0000,4.5925,0.9997,33.07
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,0,51,fwp,1,1,1,9,0.8182,4.5953,0.9997,34.40
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,1,52,mean,1,1,1,9,0.8182,4.5911,0.9998,34.38
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,1,52,fwp,1,1,1,10,0.9091,4.5829,0.9997,34.00
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,2,53,mean,1,0,0,9,0.8182,4.5910,0.9997,34.68
audioseal,8,ecc1,16,11,2048,chinese:SSB0149,2,53,fwp,1,1,1,8,0.7273,4.5797,0.9996,32.05
audioseal,8,ecc1,16,11,2048,chinese:SSB0193,0,54,mean,1,1,1,9,0.8182,4.5637,0.9996,33.20
