model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,0,0,mean,0,0,0,6,1.0000,4.5890,0.9958,34.13
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,0,0,fwp,1,0,0,5,0.8333,4.6070,0.9972,35.56
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,1,1,mean,0,0,0,6,1.0000,4.5810,0.9968,36.58
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,1,1,fwp,0,0,0,6,1.0000,4.5097,0.9929,33.06
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,2,2,mean,1,1,0,5,0.8333,4.5697,0.9971,35.39
timbrewm,3,ecc1,10,6,64,chinese:SSB0005,2,2,fwp,1,1,1,5,0.8333,4.5483,0.9975,36.10
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,0,3,mean,0,0,0,6,1.0000,4.5138,0.9985,30.76
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,0,3,fwp,0,0,0,6,1.0000,4.5689,0.9990,32.23
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,1,4,mean,0,0,0,5,0.8333,4.4988,0.9976,28.66
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,1,4,fwp,0,0,0,4,0.6667,4.5011,0.9984,30.26
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,2,5,mean,0,0,0,6,1.0000,4.4555,0.9978,30.66
timbrewm,3,ecc1,10,6,64,chinese:SSB0009,2,5,fwp,0,0,0,5,0.8333,4.4692,0.9984,32.15
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,0,6,mean,0,0,0,6,1.0000,4.5830,0.9973,32.93
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,0,6,fwp,0,0,0,6,1.0000,4.4427,0.9941,29.40
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,1,7,mean,0,0,0,6,1.0000,4.5917,0.9976,33.33
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,1,7,fwp,1,1,0,4,0.6667,4.5020,0.9946,29.81
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,2,8,mean,0,0,0,6,1.0000,4.5397,0.9955,30.82
timbrewm,3,ecc1,10,6,64,chinese:SSB0011,2,8,fwp,1,0,0,4,0.6667,4.5155,0.9960,31.15
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,0,9,mean,1,0,0,5,0.8333,4.5568,0.9966,32.98
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,0,9,fwp,0,0,0,5,0.8333,4.3868,0.9930,29.45
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,1,10,mean,0,0,0,6,1.0000,4.5299,0.9979,33.13
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,1,10,fwp,0,0,0,6,1.0000,4.5496,0.9981,33.68
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,2,11,mean,1,0,0,5,0.8333,4.5162,0.9977,33.70
timbrewm,3,ecc1,10,6,64,chinese:SSB0012,2,11,fwp,0,0,0,5,0.8333,4.5599,0.9978,33.89
timbrewm,3,ecc1,10,6,64,chinese:SSB0016,0,12,mean,0,0,0,6,1.0000,4.5055,0.9951,27.95
timbrewm,3,ecc1,10,6,64,chinese:SSB0016,0,12,fwp,0,0,0,6,1.0000,4.5228,0.9970,29.65
timbrewm,3,ecc1,10,6,64,chinese:SSB0016,1,13,mean,1,0,0,5,0.8333,4.5576,0.9970,30.53
timbrewm,3,ecc1,10,6,64,chinese:SSB0016,1,13,fwp,0,0,0,4,0.6667,4.4523,0.9932,27.00
