model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,7,0.6364,4.1293,0.9622,17.56
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,8,0.7273,4.0838,0.9799,17.77
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,8,0.7273,4.2000,0.9810,17.30
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,0,0,7,0.6364,4.3480,0.9827,18.65
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,4.2555,0.9694,17.30
voicemark,3,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,5,0.4545,4.3269,0.9821,18.24
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,7,0.6364,4.2513,0.9793,14.48
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,8,0.7273,4.0642,0.9759,13.55
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,0,0,0,11,1.0000,4.0799,0.9705,12.07
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,9,0.8182,4.1614,0.9765,13.76
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,7,0.6364,4.1458,0.9743,12.20
voicemark,3,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,0,0,0,8,0.7273,4.2982,0.9782,13.56
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,8,0.7273,4.2362,0.9717,16.75
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,4,0.3636,4.2107,0.9750,18.06
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,9,0.8182,3.9887,0.9601,16.82
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,7,0.6364,4.1855,0.9657,17.59
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,8,0.7273,4.0305,0.9616,16.06
voicemark,3,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,7,0.6364,4.2270,0.9763,17.87
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,0,8,0.7273,4.3906,0.9759,14.70
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.3566,0.9790,14.70
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,0,0,0,8,0.7273,4.0269,0.9653,14.43
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,0,0,0,8,0.7273,4.1262,0.9666,14.65
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,7,0.6364,4.3400,0.9674,14.29
voicemark,3,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,0,0,0,11,1.0000,4.4252,0.9837,15.04
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,0,0,10,0.9091,4.4500,0.9855,19.81
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,9,0.8182,4.3807,0.9813,19.47
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,9,0.8182,4.3259,0.9733,18.31
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,0,0,10,0.9091,4.2830,0.9735,18.95
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,8,0.7273,4.2903,0.9686,18.18
voicemark,3,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,11,1.0000,4.1623,0.9654,18.81
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,0,0,9,0.8182,4.3010,0.9759,16.49
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,0,0,9,0.8182,4.0232,0.9620,13.03
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,0,0,0,9,0.8182,4.2752,0.9770,16.00
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,7,0.6364,4.2587,0.9781,17.38
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,1,1,1,6,0.5455,4.3533,0.9765,17.43
voicemark,3,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,1,0,8,0.7273,3.9923,0.9581,13.89
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,1,1,0,9,0.8182,4.2532,0.9681,19.35
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,0,0,0,7,0.6364,4.3052,0.9707,20.49
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,1,1,0,10,0.9091,4.4034,0.9822,20.89
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,0,0,8,0.7273,4.4177,0.9869,21.40
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,0,0,0,9,0.8182,4.1942,0.9713,19.82
voicemark,3,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,9,0.8182,4.2448,0.9793,21.57
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,7,0.6364,4.2666,0.9767,17.16
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,9,0.8182,4.3549,0.9832,18.56
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,0,0,0,8,0.7273,4.4098,0.9835,18.33
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,0,0,0,10,0.9091,4.1034,0.9665,14.70
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,8,0.7273,4.3465,0.9796,19.99
voicemark,3,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,6,0.5455,4.0102,0.9642,16.12
