model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,7,0.6364,4.4832,0.9902,19.08
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,7,0.6364,4.4832,0.9902,19.08
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,0,0,0,9,0.8182,4.4568,0.9900,19.18
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,0,0,0,9,0.8182,4.4568,0.9900,19.18
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,4.4934,0.9907,19.07
wmcodec,2,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,8,0.7273,4.4934,0.9907,19.07
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,6,0.5455,4.3880,0.9890,15.45
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,6,0.5455,4.3880,0.9890,15.45
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,5,0.4545,4.3459,0.9890,15.59
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,5,0.4545,4.3459,0.9890,15.59
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.3671,0.9890,15.81
wmcodec,2,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,9,0.8182,4.3671,0.9890,15.81
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,8,0.7273,3.6530,0.9883,18.96
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,8,0.7273,3.6530,0.9883,18.96
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,7,0.6364,4.3105,0.9863,18.18
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,7,0.6364,4.3105,0.9863,18.18
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,0,0,0,8,0.7273,4.2423,0.9900,19.61
wmcodec,2,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,0,0,0,8,0.7273,4.2423,0.9900,19.61
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,8,0.7273,4.3680,0.9870,15.40
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.3680,0.9870,15.40
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,0,0,7,0.6364,4.3795,0.9884,16.37
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,0,0,7,0.6364,4.3795,0.9884,16.37
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,0,8,0.7273,4.4485,0.9884,15.72
wmcodec,2,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,0,8,0.7273,4.4485,0.9884,15.72
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,8,0.7273,4.3638,0.9885,17.44
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,8,0.7273,4.3638,0.9885,17.44
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,0,6,0.5455,4.3653,0.9891,18.10
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,0,6,0.5455,4.3653,0.9891,18.10
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,7,0.6364,4.3733,0.9880,17.37
wmcodec,2,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,7,0.6364,4.3733,0.9880,17.37
wmcodec,2,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,0,0,8,0.7273,4.4559,0.9913,17.30
wmcodec,2,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,0,0,8,0.7273,4.4559,0.9913,17.30
