model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0005,0,0,eep,1,1,1,14,0.8750,0.500000,4.6114,0.9995,38.52
audioseal,5,chinese:SSB0005,1,1,eep,1,1,1,14,0.8750,0.375000,4.5711,0.9987,32.73
audioseal,5,chinese:SSB0005,2,2,eep,1,1,1,13,0.8125,0.500000,4.6160,0.9996,35.11
audioseal,5,chinese:SSB0009,0,3,eep,1,1,1,13,0.8125,0.562500,4.6029,0.9998,35.01
audioseal,5,chinese:SSB0009,1,4,eep,1,1,1,14,0.8750,0.500000,4.6094,0.9998,36.97
audioseal,5,chinese:SSB0009,2,5,eep,1,1,1,12,0.7500,0.437500,4.6044,0.9998,36.62
audioseal,5,chinese:SSB0011,0,6,eep,1,1,1,13,0.8125,0.562500,4.4959,0.9975,29.82
audioseal,5,chinese:SSB0011,1,7,eep,1,1,1,12,0.7500,0.437500,4.4582,0.9973,29.06
audioseal,5,chinese:SSB0011,2,8,eep,1,1,1,13,0.8125,0.500000,4.5768,0.9992,35.63
audioseal,5,chinese:SSB0012,0,9,eep,1,1,1,13,0.8125,0.625000,4.5798,0.9993,34.28
audioseal,5,chinese:SSB0012,1,10,eep,1,1,1,14,0.8750,0.625000,4.6278,0.9997,36.56
audioseal,5,chinese:SSB0012,2,11,eep,1,1,1,11,0.6875,0.500000,4.6002,0.9996,35.04
audioseal,5,chinese:SSB0016,0,12,eep,0,0,0,16,1.0000,0.625000,4.5205,0.9978,30.06
audioseal,5,chinese:SSB0016,1,13,eep,1,1,1,13,0.8125,0.437500,4.4143,0.9969,28.25
audioseal,5,chinese:SSB0016,2,14,eep,1,1,1,14,0.8750,0.625000,4.4880,0.9962,28.62
audioseal,5,chinese:SSB0018,0,15,eep,1,1,1,14,0.8750,0.500000,4.6089,0.9997,35.56
audioseal,5,chinese:SSB0018,1,16,eep,1,1,1,13,0.8125,0.562500,4.6086,0.9998,38.25
audioseal,5,chinese:SSB0018,2,17,eep,1,1,1,13,0.8125,0.437500,4.5660,0.9994,33.37
audioseal,5,chinese:SSB0033,0,18,eep,1,1,1,13,0.8125,0.500000,4.5915,0.9997,41.09
audioseal,5,chinese:SSB0033,1,19,eep,1,1,1,14,0.8750,0.375000,4.5624,0.9993,38.20
audioseal,5,chinese:SSB0033,2,20,eep,1,1,1,14,0.8750,0.375000,4.5889,0.9997,41.13
audioseal,5,chinese:SSB0038,0,21,eep,1,1,1,14,0.8750,0.625000,4.6081,0.9995,36.90
audioseal,5,chinese:SSB0038,1,22,eep,1,1,1,12,0.7500,0.375000,4.5575,0.9982,30.84
audioseal,5,chinese:SSB0038,2,23,eep,0,0,0,16,1.0000,0.625000,4.5727,0.9983,31.20
audioseal,5,chinese:SSB0043,0,24,eep,1,1,1,13,0.8125,0.375000,4.5604,0.9990,33.42
audioseal,5,chinese:SSB0043,1,25,eep,1,1,1,14,0.8750,0.500000,4.5224,0.9987,33.17
audioseal,5,chinese:SSB0043,2,26,eep,1,1,1,13,0.8125,0.437500,4.5828,0.9992,36.22
audioseal,5,chinese:SSB0057,0,27,eep,1,1,1,14,0.8750,0.687500,4.5670,0.9979,34.51
audioseal,5,chinese:SSB0057,1,28,eep,1,1,1,15,0.9375,0.562500,4.6198,0.9995,40.70
audioseal,5,chinese:SSB0057,2,29,eep,1,1,1,12,0.7500,0.500000,4.5743,0.9980,36.84
audioseal,5,chinese:SSB0073,0,30,eep,1,1,1,13,0.8125,0.625000,4.6145,0.9998,33.81
audioseal,5,chinese:SSB0073,1,31,eep,1,1,1,12,0.7500,0.375000,4.6017,0.9998,33.71
audioseal,5,chinese:SSB0073,2,32,eep,1,0,0,15,0.9375,0.562500,4.5642,0.9996,29.17
audioseal,5,chinese:SSB0080,0,33,eep,1,0,0,15,0.9375,0.437500,4.5948,0.9992,32.04
audioseal,5,chinese:SSB0080,1,34,eep,1,1,1,13,0.8125,0.500000,4.5491,0.9979,28.26
audioseal,5,chinese:SSB0080,2,35,eep,1,1,1,12,0.7500,0.375000,4.5618,0.9988,30.86
audioseal,5,chinese:SSB0112,0,36,eep,1,1,1,14,0.8750,0.437500,4.5099,0.9982,25.84
audioseal,5,chinese:SSB0112,1,37,eep,1,1,1,12,0.7500,0.437500,4.4909,0.9980,24.86
audioseal,5,chinese:SSB0112,2,38,eep,1,1,1,13,0.8125,0.562500,4.5978,0.9995,32.60
audioseal,5,chinese:SSB0122,0,39,eep,1,1,1,14,0.8750,0.625000,4.5675,0.9991,33.98
audioseal,5,chinese:SSB0122,1,40,eep,1,1,1,12,0.7500,0.312500,4.5924,0.9995,33.42
audioseal,5,chinese:SSB0122,2,41,eep,1,1,1,11,0.6875,0.312500,4.5950,0.9995,34.38
audioseal,5,chinese:SSB0133,0,42,eep,1,0,0,15,0.9375,0.687500,4.5983,0.9995,40.31
audioseal,5,chinese:SSB0133,1,43,eep,1,1,1,13,0.8125,0.375000,4.5369,0.9984,33.38
audioseal,5,chinese:SSB0133,2,44,eep,1,1,1,11,0.6875,0.312500,4.5045,0.9979,33.43
audioseal,5,chinese:SSB0139,0,45,eep,1,1,1,13,0.8125,0.500000,4.5563,0.9996,30.64
audioseal,5,chinese:SSB0139,1,46,eep,1,1,1,14,0.8750,0.562500,4.5821,0.9998,34.97
audioseal,5,chinese:SSB0139,2,47,eep,1,1,1,13,0.8125,0.625000,4.5650,0.9997,32.32
audioseal,5,chinese:SSB0145,0,48,eep,1,1,1,12,0.7500,0.437500,4.6080,0.9996,36.15
audioseal,5,chinese:SSB0145,1,49,eep,1,1,1,11,0.6875,0.187500,4.5796,0.9993,33.07
audioseal,5,chinese:SSB0145,2,50,eep,1,1,1,13,0.8125,0.375000,4.5595,0.9988,30.60
audioseal,5,chinese:SSB0149,0,51,eep,1,1,0,14,0.8750,0.562500,4.5425,0.9992,30.57
