model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,8,chinese:SSB0005,0,0,eep,1,1,1,12,0.7500,0.312500,3.6929,0.9435,12.96
voicemark,8,chinese:SSB0005,1,1,eep,1,1,1,12,0.7500,0.500000,3.9748,0.9569,14.27
voicemark,8,chinese:SSB0005,2,2,eep,1,1,1,11,0.6875,0.500000,4.1935,0.9755,15.48
voicemark,8,chinese:SSB0009,0,3,eep,1,1,1,12,0.7500,0.687500,3.6312,0.9501,9.47
voicemark,8,chinese:SSB0009,1,4,eep,1,1,1,13,0.8125,0.562500,3.6572,0.9499,10.63
voicemark,8,chinese:SSB0009,2,5,eep,1,1,1,13,0.8125,0.562500,3.6582,0.9441,8.52
voicemark,8,chinese:SSB0011,0,6,eep,0,0,0,16,1.0000,0.562500,3.9053,0.9690,18.82
voicemark,8,chinese:SSB0011,1,7,eep,1,1,1,14,0.8750,0.500000,3.5439,0.9528,13.18
voicemark,8,chinese:SSB0011,2,8,eep,1,1,1,12,0.7500,0.562500,3.4933,0.9322,11.97
voicemark,8,chinese:SSB0012,0,9,eep,1,0,0,15,0.9375,0.687500,4.4955,0.9854,18.04
voicemark,8,chinese:SSB0012,1,10,eep,1,1,1,12,0.7500,0.250000,3.9071,0.9549,14.78
voicemark,8,chinese:SSB0012,2,11,eep,1,1,1,11,0.6875,0.375000,3.2779,0.9390,10.03
voicemark,8,chinese:SSB0016,0,12,eep,1,1,1,14,0.8750,0.375000,3.6900,0.9391,17.11
voicemark,8,chinese:SSB0016,1,13,eep,1,1,1,12,0.7500,0.437500,3.5096,0.9418,13.65
voicemark,8,chinese:SSB0016,2,14,eep,1,1,0,14,0.8750,0.625000,3.9296,0.9395,11.29
voicemark,8,chinese:SSB0018,0,15,eep,1,1,1,14,0.8750,0.312500,4.0370,0.9671,16.18
voicemark,8,chinese:SSB0018,1,16,eep,1,1,1,13,0.8125,0.625000,3.3669,0.9576,12.70
voicemark,8,chinese:SSB0018,2,17,eep,1,0,0,14,0.8750,0.250000,3.9637,0.9620,14.78
voicemark,8,chinese:SSB0033,0,18,eep,1,1,1,12,0.7500,0.625000,3.8261,0.9541,16.12
voicemark,8,chinese:SSB0033,1,19,eep,1,1,1,12,0.7500,0.562500,3.5666,0.9703,19.23
voicemark,8,chinese:SSB0033,2,20,eep,1,1,1,12,0.7500,0.687500,4.0108,0.9551,16.08
voicemark,8,chinese:SSB0038,0,21,eep,1,1,1,12,0.7500,0.437500,4.2169,0.9724,16.45
voicemark,8,chinese:SSB0038,1,22,eep,1,1,1,11,0.6875,0.500000,4.3433,0.9828,18.52
voicemark,8,chinese:SSB0038,2,23,eep,1,1,1,11,0.6875,0.312500,3.8398,0.9539,15.06
voicemark,8,chinese:SSB0043,0,24,eep,1,1,1,14,0.8750,0.250000,3.5531,0.9496,14.94
voicemark,8,chinese:SSB0043,1,25,eep,1,1,1,14,0.8750,0.500000,4.1248,0.9527,16.93
voicemark,8,chinese:SSB0043,2,26,eep,1,1,1,11,0.6875,0.375000,3.4315,0.9498,17.76
voicemark,8,chinese:SSB0057,0,27,eep,1,1,1,13,0.8125,0.312500,3.4858,0.9506,10.80
voicemark,8,chinese:SSB0057,1,28,eep,1,1,1,11,0.6875,0.375000,3.7607,0.9656,13.47
voicemark,8,chinese:SSB0057,2,29,eep,1,1,1,12,0.7500,0.500000,3.2165,0.9396,10.59
voicemark,8,chinese:SSB0073,0,30,eep,1,1,1,12,0.7500,0.625000,3.8575,0.9616,10.89
voicemark,8,chinese:SSB0073,1,31,eep,1,1,1,13,0.8125,0.562500,3.4861,0.9490,10.09
voicemark,8,chinese:SSB0073,2,32,eep,1,1,1,12,0.7500,0.562500,3.7128,0.9534,10.67
voicemark,8,chinese:SSB0080,0,33,eep,1,1,1,11,0.6875,0.500000,4.3016,0.9798,16.56
voicemark,8,chinese:SSB0080,1,34,eep,1,1,1,14,0.8750,0.500000,3.5087,0.9474,14.59
voicemark,8,chinese:SSB0080,2,35,eep,1,1,1,12,0.7500,0.437500,3.8117,0.9447,13.61
voicemark,8,chinese:SSB0112,0,36,eep,1,1,1,13,0.8125,0.437500,4.4216,0.9858,18.25
voicemark,8,chinese:SSB0112,1,37,eep,1,1,1,11,0.6875,0.437500,4.1669,0.9735,13.66
voicemark,8,chinese:SSB0112,2,38,eep,1,1,0,14,0.8750,0.500000,3.6553,0.9611,12.19
voicemark,8,chinese:SSB0122,0,39,eep,1,1,1,12,0.7500,0.375000,3.8470,0.9532,10.33
voicemark,8,chinese:SSB0122,1,40,eep,1,1,1,12,0.7500,0.500000,3.9341,0.9638,11.06
voicemark,8,chinese:SSB0122,2,41,eep,1,1,0,14,0.8750,0.437500,4.0324,0.9796,16.70
voicemark,8,chinese:SSB0133,0,42,eep,1,0,0,14,0.8750,0.500000,3.5789,0.9430,13.30
voicemark,8,chinese:SSB0133,1,43,eep,1,1,1,14,0.8750,0.500000,3.3223,0.9681,17.94
voicemark,8,chinese:SSB0133,2,44,eep,1,1,1,14,0.8750,0.500000,2.7474,0.9363,13.19
voicemark,8,chinese:SSB0139,0,45,eep,1,1,1,14,0.8750,0.500000,3.9848,0.9753,14.09
voicemark,8,chinese:SSB0139,1,46,eep,1,1,1,12,0.7500,0.437500,3.9592,0.9693,12.61
voicemark,8,chinese:SSB0139,2,47,eep,1,1,1,13,0.8125,0.750000,3.0018,0.9588,10.87
voicemark,8,chinese:SSB0145,0,48,eep,1,1,1,12,0.7500,0.687500,4.4765,0.9925,17.59
voicemark,8,chinese:SSB0145,1,49,eep,0,0,0,16,1.0000,0.437500,3.9526,0.9644,13.23
voicemark,8,chinese:SSB0145,2,50,eep,1,1,1,11,0.6875,0.312500,3.8148,0.9648,12.42
voicemark,8,chinese:SSB0149,0,51,eep,1,1,1,13,0.8125,0.437500,3.6758,0.9640,7.92
voicemark,8,chinese:SSB0149,1,52,eep,1,1,1,11,0.6875,0.500000,3.7472,0.9655,14.19
voicemark,8,chinese:SSB0149,2,53,eep,1,1,1,12,0.7500,0.500000,4.0984,0.9765,14.46
voicemark,8,chinese:SSB0193,0,54,eep,1,1,1,14,0.8750,0.375000,3.8712,0.9564,10.44
voicemark,8,chinese:SSB0193,1,55,eep,1,1,1,14,0.8750,0.687500,3.6151,0.9533,9.98
voicemark,8,chinese:SSB0193,2,56,eep,1,0,0,12,0.7500,0.250000,4.0006,0.9733,14.76
voicemark,8,chinese:SSB0197,0,57,eep,1,1,1,11,0.6875,0.500000,3.7060,0.9528,16.46
voicemark,8,chinese:SSB0197,1,58,eep,1,1,1,12,0.7500,0.437500,3.0038,0.9389,15.06
voicemark,8,chinese:SSB0197,2,59,eep,1,1,1,13,0.8125,0.562500,3.6591,0.9558,15.44
voicemark,8,chinese:SSB0200,0,60,eep,1,1,1,11,0.6875,0.375000,4.0181,0.9620,14.63
voicemark,8,chinese:SSB0200,1,61,eep,1,1,1,10,0.6250,0.562500,4.0598,0.9627,12.95
voicemark,8,chinese:SSB0200,2,62,eep,1,1,1,11,0.6875,0.500000,3.8373,0.9487,9.18
voicemark,8,chinese:SSB0241,0,63,eep,1,1,1,12,0.7500,0.437500,3.5877,0.9628,13.99
voicemark,8,chinese:SSB0241,1,64,eep,1,1,1,13,0.8125,0.437500,3.1898,0.9395,10.04
