model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,8,chinese:SSB0005,0,0,eep,1,1,1,13,0.8125,0.312500,4.5059,0.9957,40.65
wavmark,8,chinese:SSB0005,1,1,eep,1,1,1,15,0.9375,0.500000,4.5094,0.9965,42.15
wavmark,8,chinese:SSB0005,2,2,eep,1,1,1,12,0.7500,0.250000,4.5585,0.9981,44.78
wavmark,8,chinese:SSB0009,0,3,eep,1,1,1,12,0.7500,0.250000,4.5523,0.9999,39.82
wavmark,8,chinese:SSB0009,1,4,eep,1,1,1,12,0.7500,0.437500,4.4731,0.9998,40.05
wavmark,8,chinese:SSB0009,2,5,eep,1,1,1,13,0.8125,0.375000,4.4426,0.9998,39.91
wavmark,8,chinese:SSB0011,0,6,eep,1,1,1,13,0.8125,0.437500,4.3655,0.9992,40.51
wavmark,8,chinese:SSB0011,1,7,eep,1,1,1,13,0.8125,0.562500,4.3555,0.9988,38.92
wavmark,8,chinese:SSB0011,2,8,eep,1,1,1,12,0.7500,0.500000,4.3086,0.9992,40.30
wavmark,8,chinese:SSB0012,0,9,eep,1,1,1,11,0.6875,0.312500,4.3828,0.9995,39.29
wavmark,8,chinese:SSB0012,1,10,eep,1,1,1,12,0.7500,0.250000,4.4274,0.9997,40.93
wavmark,8,chinese:SSB0012,2,11,eep,1,1,1,13,0.8125,0.312500,4.3710,0.9995,39.58
wavmark,8,chinese:SSB0016,0,12,eep,1,1,1,13,0.8125,0.375000,4.2214,0.9973,36.71
wavmark,8,chinese:SSB0016,1,13,eep,0,0,0,16,1.0000,0.500000,3.9960,0.9960,34.40
wavmark,8,chinese:SSB0016,2,14,eep,1,1,1,14,0.8750,0.500000,4.3726,0.9985,39.74
wavmark,8,chinese:SSB0018,0,15,eep,1,1,1,12,0.7500,0.375000,4.3974,0.9990,40.67
wavmark,8,chinese:SSB0018,1,16,eep,1,1,1,13,0.8125,0.375000,4.4487,0.9989,40.95
wavmark,8,chinese:SSB0018,2,17,eep,1,1,1,12,0.7500,0.312500,4.4787,0.9995,44.44
wavmark,8,chinese:SSB0033,0,18,eep,1,1,1,13,0.8125,0.562500,4.2112,0.9991,39.79
wavmark,8,chinese:SSB0033,1,19,eep,1,1,1,12,0.7500,0.437500,4.3199,0.9994,41.74
wavmark,8,chinese:SSB0033,2,20,eep,1,1,1,14,0.8750,0.375000,4.4776,0.9997,44.58
wavmark,8,chinese:SSB0038,0,21,eep,1,1,1,14,0.8750,0.437500,4.4220,0.9996,39.72
wavmark,8,chinese:SSB0038,1,22,eep,1,1,1,14,0.8750,0.687500,4.5128,0.9997,40.89
wavmark,8,chinese:SSB0038,2,23,eep,1,1,1,12,0.7500,0.437500,4.5368,0.9999,44.77
wavmark,8,chinese:SSB0043,0,24,eep,1,1,1,12,0.7500,0.375000,4.4644,0.9980,40.41
wavmark,8,chinese:SSB0043,1,25,eep,1,1,1,13,0.8125,0.500000,4.3541,0.9965,38.12
wavmark,8,chinese:SSB0043,2,26,eep,1,1,1,14,0.8750,0.437500,4.3744,0.9973,38.76
wavmark,8,chinese:SSB0057,0,27,eep,1,1,1,12,0.7500,0.375000,4.4700,0.9927,41.14
wavmark,8,chinese:SSB0057,1,28,eep,1,1,1,13,0.8125,0.437500,4.3897,0.9869,39.53
wavmark,8,chinese:SSB0057,2,29,eep,1,1,1,14,0.8750,0.500000,4.4068,0.9882,40.66
wavmark,8,chinese:SSB0073,0,30,eep,1,1,1,14,0.8750,0.500000,4.3553,0.9997,41.52
wavmark,8,chinese:SSB0073,1,31,eep,1,1,1,13,0.8125,0.312500,4.2626,0.9995,40.47
wavmark,8,chinese:SSB0073,2,32,eep,1,1,1,13,0.8125,0.500000,4.4700,0.9999,45.70
wavmark,8,chinese:SSB0080,0,33,eep,1,1,1,11,0.6875,0.312500,4.5740,0.9976,44.38
wavmark,8,chinese:SSB0080,1,34,eep,1,1,1,14,0.8750,0.562500,4.5081,0.9951,40.60
wavmark,8,chinese:SSB0080,2,35,eep,1,1,1,14,0.8750,0.562500,4.5131,0.9948,40.24
wavmark,8,chinese:SSB0112,0,36,eep,1,1,1,14,0.8750,0.625000,4.5169,0.9993,41.54
wavmark,8,chinese:SSB0112,1,37,eep,1,1,1,13,0.8125,0.312500,4.3214,0.9980,35.85
wavmark,8,chinese:SSB0112,2,38,eep,1,1,1,13,0.8125,0.375000,4.4857,0.9987,37.80
wavmark,8,chinese:SSB0122,0,39,eep,1,1,1,12,0.7500,0.312500,4.4096,0.9998,43.08
wavmark,8,chinese:SSB0122,1,40,eep,0,0,0,16,1.0000,0.750000,4.5174,0.9999,46.33
wavmark,8,chinese:SSB0122,2,41,eep,1,1,1,12,0.7500,0.500000,4.2071,0.9995,38.93
wavmark,8,chinese:SSB0133,0,42,eep,1,1,1,13,0.8125,0.500000,4.3866,0.9995,40.83
wavmark,8,chinese:SSB0133,1,43,eep,1,1,1,13,0.8125,0.500000,4.5726,0.9997,43.38
wavmark,8,chinese:SSB0133,2,44,eep,1,1,1,14,0.8750,0.437500,4.3300,0.9991,38.61
wavmark,8,chinese:SSB0139,0,45,eep,1,1,1,11,0.6875,0.250000,4.4329,0.9999,44.05
wavmark,8,chinese:SSB0139,1,46,eep,1,1,1,12,0.7500,0.250000,4.4986,0.9999,44.46
wavmark,8,chinese:SSB0139,2,47,eep,1,1,1,14,0.8750,0.687500,4.3144,0.9997,39.19
wavmark,8,chinese:SSB0145,0,48,eep,1,1,1,12,0.7500,0.437500,4.5810,0.9999,42.79
wavmark,8,chinese:SSB0145,1,49,eep,1,1,1,12,0.7500,0.500000,4.4505,0.9998,37.28
wavmark,8,chinese:SSB0145,2,50,eep,1,1,1,13,0.8125,0.437500,4.4458,0.9999,40.07
wavmark,8,chinese:SSB0149,0,51,eep,1,1,1,13,0.8125,0.562500,4.2043,0.9995,40.66
wavmark,8,chinese:SSB0149,1,52,eep,1,1,1,13,0.8125,0.437500,4.1043,0.9993,40.36
wavmark,8,chinese:SSB0149,2,53,eep,1,1,1,13,0.8125,0.500000,4.4159,0.9998,45.21
wavmark,8,chinese:SSB0193,0,54,eep,1,1,1,12,0.7500,0.375000,4.3272,0.9981,39.25
wavmark,8,chinese:SSB0193,1,55,eep,1,1,1,13,0.8125,0.312500,4.2900,0.9982,37.22
wavmark,8,chinese:SSB0193,2,56,eep,1,1,1,14,0.8750,0.687500,4.3599,0.9980,37.23
wavmark,8,chinese:SSB0197,0,57,eep,1,1,1,13,0.8125,0.375000,4.3723,0.9795,33.31
wavmark,8,chinese:SSB0197,1,58,eep,1,1,1,14,0.8750,0.250000,4.2906,0.9756,32.86
wavmark,8,chinese:SSB0197,2,59,eep,1,1,1,12,0.7500,0.437500,4.4790,0.9890,36.85
wavmark,8,chinese:SSB0200,0,60,eep,1,1,1,13,0.8125,0.437500,4.2826,0.9991,36.37
wavmark,8,chinese:SSB0200,1,61,eep,1,1,1,14,0.8750,0.500000,4.4639,0.9996,41.52
wavmark,8,chinese:SSB0200,2,62,eep,1,1,1,14,0.8750,0.500000,4.3438,0.9990,36.26
wavmark,8,chinese:SSB0241,0,63,eep,1,1,1,13,0.8125,0.437500,4.5027,0.9999,44.13
wavmark,8,chinese:SSB0241,1,64,eep,1,1,1,12,0.7500,0.375000,4.2973,0.9996,39.20
wavmark,8,chinese:SSB0241,2,65,eep,1,1,1,12,0.7500,0.312500,4.4544,0.9998,41.12
wavmark,8,chinese:SSB0246,0,66,eep,1,1,1,15,0.9375,0.437500,4.5089,0.9992,41.26
wavmark,8,chinese:SSB0246,1,67,eep,1,1,1,12,0.7500,0.437500,4.4200,0.9983,38.24
