model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,8,chinese:SSB0005,0,0,eep,1,1,1,13,0.8125,0.312500,4.1922,0.9814,14.72
wmcodec,8,chinese:SSB0005,1,1,eep,1,1,1,11,0.6875,0.500000,4.1496,0.9783,14.04
wmcodec,8,chinese:SSB0005,2,2,eep,1,1,1,10,0.6250,0.500000,4.1101,0.9817,15.22
wmcodec,8,chinese:SSB0009,0,3,eep,1,1,1,10,0.6250,0.375000,4.3973,0.9904,15.95
wmcodec,8,chinese:SSB0009,1,4,eep,1,1,1,11,0.6875,0.562500,4.1632,0.9786,10.45
wmcodec,8,chinese:SSB0009,2,5,eep,1,1,1,12,0.7500,0.562500,3.7629,0.9759,9.94
wmcodec,8,chinese:SSB0011,0,6,eep,1,1,1,12,0.7500,0.437500,4.2153,0.9877,18.02
wmcodec,8,chinese:SSB0011,1,7,eep,1,1,1,11,0.6875,0.500000,3.7465,0.9712,13.50
wmcodec,8,chinese:SSB0011,2,8,eep,1,1,1,10,0.6250,0.437500,4.3860,0.9905,18.89
wmcodec,8,chinese:SSB0012,0,9,eep,1,1,1,11,0.6875,0.375000,4.4480,0.9888,16.32
wmcodec,8,chinese:SSB0012,1,10,eep,1,1,1,11,0.6875,0.562500,3.9152,0.9731,10.21
wmcodec,8,chinese:SSB0012,2,11,eep,1,1,1,12,0.7500,0.625000,4.1313,0.9774,11.19
wmcodec,8,chinese:SSB0016,0,12,eep,1,1,1,10,0.6250,0.500000,3.8341,0.9745,12.87
wmcodec,8,chinese:SSB0016,1,13,eep,1,1,1,11,0.6875,0.562500,3.9124,0.9751,13.22
wmcodec,8,chinese:SSB0016,2,14,eep,1,1,1,11,0.6875,0.562500,4.1046,0.9760,12.87
wmcodec,8,chinese:SSB0018,0,15,eep,1,1,1,11,0.6875,0.500000,4.1125,0.9806,12.24
wmcodec,8,chinese:SSB0018,1,16,eep,1,1,1,13,0.8125,0.500000,4.4377,0.9893,17.03
wmcodec,8,chinese:SSB0018,2,17,eep,1,1,1,12,0.7500,0.437500,4.1298,0.9759,9.65
wmcodec,8,chinese:SSB0033,0,18,eep,1,1,1,11,0.6875,0.625000,4.3973,0.9913,21.43
wmcodec,8,chinese:SSB0033,1,19,eep,1,1,1,11,0.6875,0.687500,4.1302,0.9813,17.37
wmcodec,8,chinese:SSB0033,2,20,eep,1,1,1,12,0.7500,0.437500,4.2256,0.9833,17.44
wmcodec,8,chinese:SSB0038,0,21,eep,1,1,1,10,0.6250,0.500000,4.1757,0.9826,14.01
wmcodec,8,chinese:SSB0038,1,22,eep,1,1,1,8,0.5000,0.500000,4.4420,0.9909,18.38
wmcodec,8,chinese:SSB0038,2,23,eep,1,1,1,12,0.7500,0.562500,4.2601,0.9819,14.10
wmcodec,8,chinese:SSB0043,0,24,eep,1,1,1,11,0.6875,0.437500,3.7011,0.9664,14.07
wmcodec,8,chinese:SSB0043,1,25,eep,1,1,1,12,0.7500,0.375000,3.9417,0.9676,13.20
wmcodec,8,chinese:SSB0043,2,26,eep,1,1,1,12,0.7500,0.562500,3.5712,0.9593,12.85
wmcodec,8,chinese:SSB0057,0,27,eep,1,1,1,10,0.6250,0.375000,4.4349,0.9908,18.54
wmcodec,8,chinese:SSB0057,1,28,eep,1,1,1,14,0.8750,0.437500,4.0845,0.9808,12.89
wmcodec,8,chinese:SSB0057,2,29,eep,1,1,1,12,0.7500,0.500000,4.1697,0.9799,13.13
wmcodec,8,chinese:SSB0073,0,30,eep,1,1,1,11,0.6875,0.562500,4.0048,0.9786,13.07
wmcodec,8,chinese:SSB0073,1,31,eep,1,1,1,10,0.6250,0.562500,4.0841,0.9761,12.41
wmcodec,8,chinese:SSB0073,2,32,eep,1,1,1,12,0.7500,0.375000,4.3471,0.9889,16.84
wmcodec,8,chinese:SSB0080,0,33,eep,1,1,1,13,0.8125,0.250000,4.1524,0.9751,13.36
wmcodec,8,chinese:SSB0080,1,34,eep,1,1,1,12,0.7500,0.625000,4.1766,0.9731,13.27
wmcodec,8,chinese:SSB0080,2,35,eep,1,1,0,13,0.8125,0.625000,4.4745,0.9883,18.47
wmcodec,8,chinese:SSB0112,0,36,eep,1,1,1,10,0.6250,0.500000,4.4548,0.9917,17.16
wmcodec,8,chinese:SSB0112,1,37,eep,1,1,1,12,0.7500,0.437500,4.4570,0.9925,17.18
wmcodec,8,chinese:SSB0112,2,38,eep,1,1,1,12,0.7500,0.437500,4.2845,0.9811,12.99
wmcodec,8,chinese:SSB0122,0,39,eep,1,1,1,11,0.6875,0.625000,4.1809,0.9856,13.38
wmcodec,8,chinese:SSB0122,1,40,eep,1,1,1,12,0.7500,0.625000,4.3491,0.9847,13.81
wmcodec,8,chinese:SSB0122,2,41,eep,1,1,1,11,0.6875,0.437500,4.4070,0.9929,18.35
wmcodec,8,chinese:SSB0133,0,42,eep,1,1,1,10,0.6250,0.312500,4.1529,0.9797,13.47
wmcodec,8,chinese:SSB0133,1,43,eep,1,1,1,14,0.8750,0.750000,4.4220,0.9903,18.18
wmcodec,8,chinese:SSB0133,2,44,eep,1,1,1,11,0.6875,0.562500,4.3385,0.9888,17.67
