model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
audioseal,2,chinese:SSB0005,0,0,single_copy,0,1.0000,-4.1016,0.8635,4.6439,1.0000,147.63,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,mean,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,rp,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,random_dirichlet,0,1.0000,-5.1043,0.1670,4.5901,0.9993,38.72,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,eep,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,fwp,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,dm,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,tct,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-7.8470,-2.0620,4.6116,0.9996,41.45,nan,nan,-2.0620,-2.0620
audioseal,2,chinese:SSB0009,0,1,single_copy,0,1.0000,-4.4946,0.8322,4.6439,1.0000,145.15,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,mean,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,rp,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,random_dirichlet,0,1.0000,-4.6792,0.6866,4.6424,1.0000,48.53,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,eep,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,fwp,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,dm,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,tct,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0009,0,1,payload_farthest,1,1.0000,-5.6756,-0.9212,4.6310,0.9999,41.99,nan,nan,-0.9212,-0.9212
audioseal,2,chinese:SSB0011,0,2,single_copy,0,1.0000,-4.1920,0.9097,4.6439,1.0000,140.65,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,mean,1,1.0000,-8.2707,-2.8977,4.5913,0.9993,33.83,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,rp,1,1.0000,-8.2707,-2.8977,4.5913,0.9993,33.83,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,random_dirichlet,1,1.0000,-6.0879,-0.3397,4.6136,0.9995,35.83,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,eep,1,1.0000,-8.2707,-2.8977,4.5913,0.9993,33.83,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,fwp,1,1.0000,-8.2707,-2.8977,4.5913,0.9993,33.83,nan,nan,-2.8977,-2.8977
audioseal,2,chinese:SSB0011,0,2,dm,1,1.0000,-8.2707,-2.8977,4.5913,0.9993,33.83,nan,nan,-2.8977,-2.8977
