model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
voicemark,5,chinese:SSB0005,0,0,single_copy,0,0.7163,-0.0004,8.7277,4.6439,1.0000,149.47,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,mean,1,0.7015,-20.6596,-19.5717,4.1517,0.9694,16.66,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,rp,1,0.7138,-38.2728,-38.1679,3.7191,0.9573,13.96,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,random_dirichlet,1,0.7123,-31.6029,-31.6027,3.6288,0.9562,14.79,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,eep,1,0.7190,-12.0074,-11.6427,4.4040,0.9773,18.13,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,fwp,1,0.7138,-38.2728,-38.1679,3.7191,0.9573,13.96,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,dm,1,0.7114,-43.6589,-43.3422,3.9360,0.9616,15.40,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,tct,1,0.7145,-26.9744,-26.5855,3.6021,0.9494,13.88,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,0,0,payload_farthest,1,0.7185,-25.5115,-25.1095,3.5739,0.9466,13.51,0.0274,-0.6485,-26.5855,-26.5855
voicemark,5,chinese:SSB0005,1,1,single_copy,0,0.7548,-0.0034,5.7080,4.6439,1.0000,150.00,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,mean,1,0.7064,-24.2618,-23.3782,4.4014,0.9799,17.17,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,rp,1,0.7010,-15.3670,-15.1963,4.1946,0.9663,15.08,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,random_dirichlet,1,0.7107,-32.2347,-32.1201,4.3813,0.9782,16.70,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,eep,1,0.7078,-4.3195,-4.2019,4.1485,0.9644,14.63,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,fwp,1,0.7274,-11.9661,-11.8324,4.2412,0.9700,15.63,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,dm,1,0.7147,-26.2664,-25.7721,4.2591,0.9696,15.50,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,tct,1,0.7192,-20.9285,-20.5168,4.3204,0.9710,15.50,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,1,1,payload_farthest,1,0.7238,-12.7572,-11.7293,4.4247,0.9832,18.35,0.2393,0.8709,-20.5168,-20.5125
voicemark,5,chinese:SSB0005,2,2,single_copy,0,0.7520,-0.0008,7.6794,4.6439,1.0000,150.55,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,mean,1,0.6948,-36.3185,-36.3173,4.1846,0.9714,18.07,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,rp,1,0.7338,-14.7972,-14.7696,4.3496,0.9884,20.07,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,random_dirichlet,0,0.7268,-0.0004,8.9371,3.8681,0.9612,15.08,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,eep,1,0.7231,-9.4288,-9.2799,4.1359,0.9750,18.67,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,fwp,1,0.6697,-11.8284,-10.9533,3.6799,0.9608,15.26,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,dm,1,0.6863,-14.0786,-13.7978,4.0746,0.9718,17.90,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,tct,1,0.7194,-27.3399,-26.2324,4.2982,0.9765,19.98,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0005,2,2,payload_farthest,1,0.7542,-28.0467,-27.9898,4.4168,0.9800,21.83,-0.5547,0.6128,-26.2324,-26.2324
voicemark,5,chinese:SSB0009,0,3,single_copy,0,0.7697,-0.0603,3.0176,4.6439,1.0000,147.47,-0.0985,-0.8979,-6.9058,-6.9058
voicemark,5,chinese:SSB0009,0,3,mean,1,0.6484,-25.7389,-25.0162,3.9566,0.9673,13.37,-0.0985,-0.8979,-6.9058,-6.9058
voicemark,5,chinese:SSB0009,0,3,rp,1,0.6994,-5.4050,-4.9881,3.9090,0.9639,11.10,-0.0985,-0.8979,-6.9058,-6.9058
voicemark,5,chinese:SSB0009,0,3,random_dirichlet,1,0.6193,-15.5870,-15.3577,3.7243,0.9619,11.29,-0.0985,-0.8979,-6.9058,-6.9058
voicemark,5,chinese:SSB0009,0,3,eep,1,0.7479,-18.4482,-17.9962,3.2937,0.9471,9.86,-0.0985,-0.8979,-6.9058,-6.9058
