model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wavmark,2,chinese:SSB0005,0,0,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,mean,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,rp,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5345,0.9959,43.07,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,eep,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,fwp,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,dm,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,tct,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-2.0000,-2.0000,4.5812,0.9978,45.79,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,1,1,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,mean,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,rp,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5180,0.9966,41.95,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,eep,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,fwp,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,dm,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,tct,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,1,1,payload_farthest,1,1.0000,-4.0000,-4.0000,4.5708,0.9985,45.40,nan,nan,-4.0000,-4.0000
wavmark,2,chinese:SSB0005,2,2,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,2,2,mean,1,1.0000,-2.0000,-2.0000,4.6118,0.9990,48.15,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,2,2,rp,1,1.0000,-2.0000,-2.0000,4.6118,0.9990,48.15,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,2,2,random_dirichlet,1,1.0000,-1.0000,-1.0000,4.6164,0.9992,48.87,nan,nan,-2.0000,-2.0000
wavmark,2,chinese:SSB0005,2,2,eep,1,1.0000,-2.0000,-2.0000,4.6118,0.9990,48.15,nan,nan,-2.0000,-2.0000
