model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,8,chinese:SSB0005,0,0,single_copy,1,,-6.7895,-6.7763,4.6439,1.0000,147.76,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,mean,1,,-12.5134,-10.7753,4.3862,0.9852,17.71,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,rp,1,,-26.8083,-26.3033,4.2477,0.9809,14.74,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,random_dirichlet,1,,-7.3219,-6.2719,4.2877,0.9819,16.15,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,eep,1,,-15.4673,-15.0044,4.1922,0.9814,14.72,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,fwp,1,,-21.1742,-21.0752,4.1722,0.9789,14.77,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,dm,1,,-21.4178,-20.5144,4.3536,0.9833,16.82,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,tct,1,,-24.8256,-24.4700,4.3965,0.9864,17.01,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,0,0,payload_farthest,1,,-15.5012,-13.8543,4.4596,0.9910,19.49,-0.0142,0.4685,-24.4700,-24.4700
wmcodec,8,chinese:SSB0005,1,1,single_copy,0,,-0.0287,4.1440,4.6439,1.0000,147.64,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,mean,1,,-16.9728,-15.4958,4.3716,0.9847,16.55,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,rp,1,,-13.5614,-12.4667,4.1880,0.9792,13.40,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,random_dirichlet,1,,-7.6136,-7.2991,4.2601,0.9831,14.98,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,eep,1,,-12.1874,-12.1565,4.1496,0.9783,14.04,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,fwp,1,,-13.9405,-12.4577,4.3996,0.9895,18.32,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,dm,1,,-17.2317,-15.6296,4.3781,0.9851,16.61,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,tct,1,,-4.8904,-4.5989,4.2574,0.9816,14.26,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,1,1,payload_farthest,1,,-13.8975,-13.8708,4.1234,0.9781,14.07,0.1083,-0.2887,-4.5989,-4.5986
wmcodec,8,chinese:SSB0005,2,2,single_copy,1,,-1.4035,-1.1087,4.6439,1.0000,147.58,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,mean,1,,-20.3307,-19.3195,4.4453,0.9863,17.48,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,rp,1,,-21.1166,-20.4170,4.1349,0.9800,15.30,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,random_dirichlet,1,,-17.7150,-17.1535,4.4947,0.9891,18.84,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,eep,1,,-32.5998,-32.0376,4.1101,0.9817,15.22,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,fwp,1,,-23.2888,-22.3842,4.0969,0.9794,14.89,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,dm,1,,-21.2693,-19.9049,4.2216,0.9841,16.64,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,tct,1,,-22.0363,-21.8061,4.3581,0.9838,16.66,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0005,2,2,payload_farthest,1,,-14.2648,-14.1865,4.4870,0.9915,19.73,-0.0499,0.3331,-21.8061,-21.8048
wmcodec,8,chinese:SSB0009,0,3,single_copy,0,,-0.0006,8.0645,4.6439,1.0000,145.39,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,mean,1,,-17.4403,-16.8234,4.2447,0.9846,13.98,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,rp,1,,-7.0190,-6.0965,3.9062,0.9768,10.91,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,random_dirichlet,1,,-12.1582,-11.8613,4.1035,0.9818,12.70,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,eep,1,,-20.6256,-19.9995,4.3973,0.9904,15.95,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,fwp,1,,-20.5798,-20.1146,3.9610,0.9772,11.43,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,dm,1,,-23.3312,-23.2862,4.1714,0.9824,13.27,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,tct,1,,-14.2496,-13.5368,4.2387,0.9856,13.88,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,0,3,payload_farthest,1,,-11.3115,-10.9248,3.9282,0.9784,10.72,-0.3506,0.4556,-13.5368,-13.5356
wmcodec,8,chinese:SSB0009,1,4,single_copy,1,,-2.6625,-2.5746,4.6439,1.0000,145.33,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,mean,1,,-18.5339,-17.1828,4.3477,0.9858,13.17,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,rp,1,,-17.0777,-16.9425,4.3739,0.9893,15.87,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,random_dirichlet,1,,-29.5220,-29.1154,4.3674,0.9869,13.52,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,eep,1,,-33.7705,-33.1619,4.1632,0.9786,10.45,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,fwp,1,,-33.3352,-33.1811,4.4439,0.9898,14.96,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,dm,1,,-19.4523,-18.9480,4.3425,0.9858,13.02,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,tct,1,,-23.8224,-23.7405,4.4467,0.9901,15.23,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,1,4,payload_farthest,1,,-13.3482,-12.5549,4.3932,0.9900,15.20,0.4559,-0.0104,-23.7405,-23.7403
wmcodec,8,chinese:SSB0009,2,5,single_copy,1,,-3.5807,-3.1057,4.6439,1.0000,145.19,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,mean,1,,-18.3397,-17.5615,4.1231,0.9831,13.15,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,rp,1,,-15.6186,-15.0515,3.8999,0.9775,10.75,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,random_dirichlet,1,,-9.0419,-8.3020,4.0469,0.9810,11.79,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,eep,1,,-13.6773,-13.3811,3.7629,0.9759,9.94,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,fwp,1,,-28.0042,-27.2205,3.7229,0.9751,10.78,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,dm,1,,-15.9313,-15.5261,4.0910,0.9821,12.97,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,tct,1,,-16.3829,-16.3485,3.9867,0.9791,11.15,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0009,2,5,payload_farthest,1,,-15.6186,-15.0515,3.8999,0.9775,10.75,0.5861,-0.4148,-16.3485,-16.3482
wmcodec,8,chinese:SSB0011,0,6,single_copy,1,,-3.9141,-3.8931,4.6439,1.0000,140.36,-0.2778,-0.8567,-4.9593,-4.9593
wmcodec,8,chinese:SSB0011,0,6,mean,1,,-17.5463,-15.5513,3.9813,0.9804,15.30,-0.2778,-0.8567,-4.9593,-4.9593
wmcodec,8,chinese:SSB0011,0,6,rp,1,,-12.1148,-11.2998,3.7809,0.9731,13.52,-0.2778,-0.8567,-4.9593,-4.9593
wmcodec,8,chinese:SSB0011,0,6,random_dirichlet,1,,-18.0968,-17.2148,3.8892,0.9777,14.29,-0.2778,-0.8567,-4.9593,-4.9593
