model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
audioseal,5,chinese:SSB0005,0,0,63605,mean,0.859727,0,-3.311918
audioseal,5,chinese:SSB0005,0,0,63605,tct,0.859727,0,-0.405722
audioseal,5,chinese:SSB0005,0,0,38789,mean,0.912871,0,-4.402207
audioseal,5,chinese:SSB0005,0,0,38789,tct,0.912871,0,-1.258398
audioseal,5,chinese:SSB0005,0,0,47819,mean,0.919866,0,-5.125211
audioseal,5,chinese:SSB0005,0,0,47819,tct,0.919866,0,-2.657733
audioseal,5,chinese:SSB0005,0,0,38885,mean,0.925820,0,-4.767037
audioseal,5,chinese:SSB0005,0,0,38885,tct,0.925820,0,-1.559033
audioseal,5,chinese:SSB0005,0,0,38727,mean,1.154701,0,-3.973258
audioseal,5,chinese:SSB0005,0,0,38727,tct,1.154701,0,-1.922789
audioseal,5,chinese:SSB0005,0,0,62325,mean,1.176697,0,-2.095603
audioseal,5,chinese:SSB0005,0,0,62325,tct,1.176697,0,-1.560994
audioseal,5,chinese:SSB0005,0,0,38629,mean,1.195229,0,-5.513637
audioseal,5,chinese:SSB0005,0,0,38629,tct,1.195229,0,-1.145377
audioseal,5,chinese:SSB0005,0,0,33735,mean,1.206864,0,-4.276896
audioseal,5,chinese:SSB0005,0,0,33735,tct,1.206864,0,-3.335022
audioseal,5,chinese:SSB0005,0,0,63607,mean,1.214496,0,-4.229705
audioseal,5,chinese:SSB0005,0,0,63607,tct,1.214496,0,-1.692654
audioseal,5,chinese:SSB0005,0,0,38599,mean,1.219500,0,-5.038566
audioseal,5,chinese:SSB0005,0,0,38599,tct,1.219500,0,-2.183298
audioseal,5,chinese:SSB0005,1,1,27987,mean,0.881917,0,-3.401017
audioseal,5,chinese:SSB0005,1,1,27987,tct,0.881917,1,0.281320
audioseal,5,chinese:SSB0005,1,1,14993,mean,0.939336,0,-6.113053
audioseal,5,chinese:SSB0005,1,1,14993,tct,0.939336,0,-2.696224
audioseal,5,chinese:SSB0005,1,1,47760,mean,0.945905,0,-6.613734
audioseal,5,chinese:SSB0005,1,1,47760,tct,0.945905,0,-3.265045
audioseal,5,chinese:SSB0005,1,1,32114,mean,1.118034,0,-5.436971
audioseal,5,chinese:SSB0005,1,1,32114,tct,1.118034,0,-1.118888
audioseal,5,chinese:SSB0005,1,1,23930,mean,1.118034,0,-7.249507
audioseal,5,chinese:SSB0005,1,1,23930,tct,1.118034,0,-2.061934
audioseal,5,chinese:SSB0005,1,1,17746,mean,1.145644,0,-6.892070
audioseal,5,chinese:SSB0005,1,1,17746,tct,1.145644,0,-4.371071
