model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
voicemark,8,chinese:SSB0005,0,0,47706,mean,0.812047,0,-50.502358
voicemark,8,chinese:SSB0005,0,0,47706,tct,0.812047,0,-16.954923
voicemark,8,chinese:SSB0005,0,0,47963,mean,0.812926,0,-39.388333
voicemark,8,chinese:SSB0005,0,0,47963,tct,0.812926,0,-16.718989
voicemark,8,chinese:SSB0005,0,0,56146,mean,0.837931,0,-33.245025
voicemark,8,chinese:SSB0005,0,0,56146,tct,0.837931,0,-31.645459
voicemark,8,chinese:SSB0005,0,0,43566,mean,0.845154,0,-49.552650
voicemark,8,chinese:SSB0005,0,0,43566,tct,0.845154,0,-25.369609
voicemark,8,chinese:SSB0005,0,0,49050,mean,0.872070,0,-48.450762
voicemark,8,chinese:SSB0005,0,0,49050,tct,0.872070,0,-23.124916
voicemark,8,chinese:SSB0005,0,0,9062,mean,0.920187,0,-51.469488
voicemark,8,chinese:SSB0005,0,0,9062,tct,0.920187,0,-19.287346
voicemark,8,chinese:SSB0005,0,0,55618,mean,0.920447,0,-50.439130
voicemark,8,chinese:SSB0005,0,0,55618,tct,0.920447,0,-34.924176
voicemark,8,chinese:SSB0005,0,0,64677,mean,0.937691,0,-42.684793
voicemark,8,chinese:SSB0005,0,0,64677,tct,0.937691,0,-18.078618
voicemark,8,chinese:SSB0005,0,0,27813,mean,0.939336,0,-44.225042
voicemark,8,chinese:SSB0005,0,0,27813,tct,0.939336,0,-20.025364
voicemark,8,chinese:SSB0005,0,0,11054,mean,1.085620,0,-31.465062
voicemark,8,chinese:SSB0005,0,0,11054,tct,1.085620,0,-33.618656
voicemark,8,chinese:SSB0005,1,1,42843,mean,0.892759,0,-47.777335
voicemark,8,chinese:SSB0005,1,1,42843,tct,0.892759,0,-32.848787
voicemark,8,chinese:SSB0005,1,1,50517,mean,0.912871,0,-56.439807
voicemark,8,chinese:SSB0005,1,1,50517,tct,0.912871,0,-16.408093
voicemark,8,chinese:SSB0005,1,1,44890,mean,0.933700,0,-48.865782
voicemark,8,chinese:SSB0005,1,1,44890,tct,0.933700,0,-38.472486
voicemark,8,chinese:SSB0005,1,1,58759,mean,1.033679,0,-36.866192
voicemark,8,chinese:SSB0005,1,1,58759,tct,1.033679,0,-24.506367
voicemark,8,chinese:SSB0005,1,1,49031,mean,1.047270,0,-34.011857
voicemark,8,chinese:SSB0005,1,1,49031,tct,1.047270,0,-15.551935
voicemark,8,chinese:SSB0005,1,1,25863,mean,1.084652,0,-38.564418
voicemark,8,chinese:SSB0005,1,1,25863,tct,1.084652,0,-42.033446
voicemark,8,chinese:SSB0005,1,1,55109,mean,1.106648,0,-40.077804
voicemark,8,chinese:SSB0005,1,1,55109,tct,1.106648,0,-34.850258
voicemark,8,chinese:SSB0005,1,1,46503,mean,1.110875,0,-49.584645
voicemark,8,chinese:SSB0005,1,1,46503,tct,1.110875,0,-37.747943
voicemark,8,chinese:SSB0005,1,1,25795,mean,1.127312,0,-56.598452
voicemark,8,chinese:SSB0005,1,1,25795,tct,1.127312,0,-37.590487
voicemark,8,chinese:SSB0005,1,1,50508,mean,1.128152,0,-51.445926
voicemark,8,chinese:SSB0005,1,1,50508,tct,1.128152,0,-24.078704
voicemark,8,chinese:SSB0005,2,2,15904,mean,0.881225,0,-37.620661
voicemark,8,chinese:SSB0005,2,2,15904,tct,0.881225,0,-14.716448
voicemark,8,chinese:SSB0005,2,2,22032,mean,0.894427,0,-20.515829
voicemark,8,chinese:SSB0005,2,2,22032,tct,0.894427,0,-22.371246
voicemark,8,chinese:SSB0005,2,2,60922,mean,0.896378,0,-39.405618
voicemark,8,chinese:SSB0005,2,2,60922,tct,0.896378,0,-40.002383
voicemark,8,chinese:SSB0005,2,2,44006,mean,0.896421,0,-31.036187
voicemark,8,chinese:SSB0005,2,2,44006,tct,0.896421,0,-18.211971
voicemark,8,chinese:SSB0005,2,2,60947,mean,0.904534,0,-29.690000
voicemark,8,chinese:SSB0005,2,2,60947,tct,0.904534,0,-12.897975
voicemark,8,chinese:SSB0005,2,2,59896,mean,0.912871,0,-34.974780
voicemark,8,chinese:SSB0005,2,2,59896,tct,0.912871,0,-23.795772
voicemark,8,chinese:SSB0005,2,2,60948,mean,1.057394,0,-35.920766
voicemark,8,chinese:SSB0005,2,2,60948,tct,1.057394,0,-5.232130
voicemark,8,chinese:SSB0005,2,2,29718,mean,1.091089,0,-29.622342
voicemark,8,chinese:SSB0005,2,2,29718,tct,1.091089,0,-31.892616
voicemark,8,chinese:SSB0005,2,2,22064,mean,1.095445,0,-27.074298
voicemark,8,chinese:SSB0005,2,2,22064,tct,1.095445,0,-41.019432
voicemark,8,chinese:SSB0005,2,2,64726,mean,1.104315,0,-35.832885
voicemark,8,chinese:SSB0005,2,2,64726,tct,1.104315,0,-45.885112
voicemark,8,chinese:SSB0009,0,3,29961,mean,0.903211,0,-44.494022
voicemark,8,chinese:SSB0009,0,3,29961,tct,0.903211,0,-13.799036
voicemark,8,chinese:SSB0009,0,3,42935,mean,0.935414,0,-32.604647
voicemark,8,chinese:SSB0009,0,3,42935,tct,0.935414,0,-26.462565
voicemark,8,chinese:SSB0009,0,3,42084,mean,0.942809,0,-40.536036
voicemark,8,chinese:SSB0009,0,3,42084,tct,0.942809,0,-19.772481
voicemark,8,chinese:SSB0009,0,3,26559,mean,1.000000,0,-47.771996
voicemark,8,chinese:SSB0009,0,3,26559,tct,1.000000,0,-39.587751
voicemark,8,chinese:SSB0009,0,3,21142,mean,1.066353,0,-40.859948
voicemark,8,chinese:SSB0009,0,3,21142,tct,1.066353,0,-37.370303
voicemark,8,chinese:SSB0009,0,3,22016,mean,1.089725,0,-43.387055
voicemark,8,chinese:SSB0009,0,3,22016,tct,1.089725,0,-7.497425
voicemark,8,chinese:SSB0009,0,3,20498,mean,1.095445,0,-27.396007
voicemark,8,chinese:SSB0009,0,3,20498,tct,1.095445,0,-22.978781
voicemark,8,chinese:SSB0009,0,3,30152,mean,1.102582,0,-48.609637
voicemark,8,chinese:SSB0009,0,3,30152,tct,1.102582,0,-17.118348
voicemark,8,chinese:SSB0009,0,3,61719,mean,1.119262,0,-36.005803
voicemark,8,chinese:SSB0009,0,3,61719,tct,1.119262,0,-37.929914
voicemark,8,chinese:SSB0009,0,3,63383,mean,1.141364,0,-37.098210
voicemark,8,chinese:SSB0009,0,3,63383,tct,1.141364,0,-35.622405
voicemark,8,chinese:SSB0009,1,4,43368,mean,0.856013,0,-35.852556
voicemark,8,chinese:SSB0009,1,4,43368,tct,0.856013,0,-20.744137
voicemark,8,chinese:SSB0009,1,4,55209,mean,0.910373,0,-36.279195
voicemark,8,chinese:SSB0009,1,4,55209,tct,0.910373,0,-20.441968
voicemark,8,chinese:SSB0009,1,4,63393,mean,0.913047,0,-39.624818
voicemark,8,chinese:SSB0009,1,4,63393,tct,0.913047,0,-21.017506
voicemark,8,chinese:SSB0009,1,4,46299,mean,0.925820,0,-28.557758
voicemark,8,chinese:SSB0009,1,4,46299,tct,0.925820,0,-12.587386
voicemark,8,chinese:SSB0009,1,4,44203,mean,0.971825,0,-31.158476
voicemark,8,chinese:SSB0009,1,4,44203,tct,0.971825,0,-32.170072
voicemark,8,chinese:SSB0009,1,4,2376,mean,1.050451,0,-31.323058
voicemark,8,chinese:SSB0009,1,4,2376,tct,1.050451,0,-27.195027
voicemark,8,chinese:SSB0009,1,4,46475,mean,1.081367,0,-30.923012
voicemark,8,chinese:SSB0009,1,4,46475,tct,1.081367,0,-15.275337
voicemark,8,chinese:SSB0009,1,4,2370,mean,1.086042,0,-28.408561
voicemark,8,chinese:SSB0009,1,4,2370,tct,1.086042,0,-29.419804
voicemark,8,chinese:SSB0009,1,4,2362,mean,1.092141,0,-31.875493
voicemark,8,chinese:SSB0009,1,4,2362,tct,1.092141,0,-24.875994
voicemark,8,chinese:SSB0009,1,4,42208,mean,1.121458,0,-29.155271
voicemark,8,chinese:SSB0009,1,4,42208,tct,1.121458,0,-34.530742
voicemark,8,chinese:SSB0009,2,5,19556,mean,0.864472,0,-58.975927
voicemark,8,chinese:SSB0009,2,5,19556,tct,0.864472,0,-22.202795
voicemark,8,chinese:SSB0009,2,5,52825,mean,0.890526,0,-60.062864
voicemark,8,chinese:SSB0009,2,5,52825,tct,0.890526,0,-14.814636
voicemark,8,chinese:SSB0009,2,5,115,mean,0.894140,0,-32.442353
voicemark,8,chinese:SSB0009,2,5,115,tct,0.894140,0,-27.994458
voicemark,8,chinese:SSB0009,2,5,24982,mean,0.925585,0,-63.412378
voicemark,8,chinese:SSB0009,2,5,24982,tct,0.925585,0,-38.526630
voicemark,8,chinese:SSB0009,2,5,17504,mean,1.109587,0,-58.943924
