model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
wmcodec,3,chinese:SSB0005,0,0,40222,mean,0.948683,0,-47.707269
wmcodec,3,chinese:SSB0005,0,0,40222,tct,0.948683,0,-31.035770
wmcodec,3,chinese:SSB0005,0,0,59921,mean,0.960769,0,-34.115781
wmcodec,3,chinese:SSB0005,0,0,59921,tct,0.960769,0,-21.811230
wmcodec,3,chinese:SSB0005,0,0,38764,mean,1.195229,0,-37.463303
wmcodec,3,chinese:SSB0005,0,0,38764,tct,1.195229,0,-33.649849
wmcodec,3,chinese:SSB0005,0,0,21884,mean,1.195229,0,-44.832282
wmcodec,3,chinese:SSB0005,0,0,21884,tct,1.195229,0,-38.516131
wmcodec,3,chinese:SSB0005,0,0,21870,mean,1.195229,0,-30.652770
wmcodec,3,chinese:SSB0005,0,0,21870,tct,1.195229,0,-32.962710
wmcodec,3,chinese:SSB0005,0,0,59991,mean,1.255292,0,-50.997708
wmcodec,3,chinese:SSB0005,0,0,59991,tct,1.255292,0,-36.584614
wmcodec,3,chinese:SSB0005,0,0,44382,mean,1.264911,0,-64.577215
wmcodec,3,chinese:SSB0005,0,0,44382,tct,1.264911,0,-27.944967
wmcodec,3,chinese:SSB0005,0,0,27153,mean,1.300887,0,-45.843119
wmcodec,3,chinese:SSB0005,0,0,27153,tct,1.300887,0,-43.390469
wmcodec,3,chinese:SSB0005,0,0,18280,mean,1.300887,0,-25.289390
wmcodec,3,chinese:SSB0005,0,0,18280,tct,1.300887,0,-21.971367
wmcodec,3,chinese:SSB0005,0,0,8014,mean,1.308480,0,-59.666587
wmcodec,3,chinese:SSB0005,0,0,8014,tct,1.308480,0,-46.454650
wmcodec,3,chinese:SSB0005,1,1,3138,mean,1.242118,0,-31.530696
wmcodec,3,chinese:SSB0005,1,1,3138,tct,1.242118,0,-24.006893
wmcodec,3,chinese:SSB0005,1,1,9443,mean,1.247219,0,-57.803835
wmcodec,3,chinese:SSB0005,1,1,9443,tct,1.247219,0,-45.672593
wmcodec,3,chinese:SSB0005,1,1,11427,mean,1.247219,0,-36.039767
wmcodec,3,chinese:SSB0005,1,1,11427,tct,1.247219,0,-31.144888
wmcodec,3,chinese:SSB0005,1,1,30053,mean,1.279204,0,-26.104005
wmcodec,3,chinese:SSB0005,1,1,30053,tct,1.279204,0,-18.639423
wmcodec,3,chinese:SSB0005,1,1,28963,mean,1.279204,0,-38.666300
wmcodec,3,chinese:SSB0005,1,1,28963,tct,1.279204,0,-39.893333
