model,K,method,entropy_mean,entropy_uniform_logK,max_weight_mean,max_weight_uniform_1overK,l2_mean,l2_uniform_1over_sqrtK,n_trials
audioseal,2,mean,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
audioseal,2,bdb,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
audioseal,2,tct,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
audioseal,3,mean,1.0986,1.0986,0.3333,0.3333,0.5774,0.5774,5
audioseal,3,bdb,1.0580,1.0986,0.4073,0.3333,0.5982,0.5774,5
audioseal,3,tct,0.8751,1.0986,0.5000,0.3333,0.6601,0.5774,5
audioseal,5,mean,1.6094,1.6094,0.2000,0.2000,0.4472,0.4472,5
audioseal,5,bdb,1.3266,1.6094,0.3255,0.2000,0.5274,0.4472,5
audioseal,5,tct,1.2341,1.6094,0.4423,0.2000,0.5684,0.4472,5
audioseal,8,mean,2.0794,2.0794,0.1250,0.1250,0.3536,0.3536,5
audioseal,8,bdb,1.6370,2.0794,0.2832,0.1250,0.4601,0.3536,5
audioseal,8,tct,1.3307,2.0794,0.4275,0.1250,0.5478,0.3536,5
timbrewm,2,mean,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
timbrewm,2,bdb,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
timbrewm,2,tct,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
timbrewm,3,mean,1.0986,1.0986,0.3333,0.3333,0.5774,0.5774,5
timbrewm,3,bdb,0.9958,1.0986,0.4272,0.3333,0.6147,0.5774,5
timbrewm,3,tct,0.8911,1.0986,0.4800,0.3333,0.6528,0.5774,5
timbrewm,5,mean,1.6094,1.6094,0.2000,0.2000,0.4472,0.4472,5
timbrewm,5,bdb,1.2122,1.6094,0.3798,0.2000,0.5612,0.4472,5
timbrewm,5,tct,1.0852,1.6094,0.4500,0.2000,0.6094,0.4472,5
timbrewm,8,mean,2.0794,2.0794,0.1250,0.1250,0.3536,0.3536,5
timbrewm,8,bdb,1.4721,2.0794,0.3362,0.1250,0.4982,0.3536,5
timbrewm,8,tct,1.0868,2.0794,0.4612,0.1250,0.5985,0.3536,5
voicemark,2,mean,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
voicemark,2,bdb,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
voicemark,2,tct,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
voicemark,3,mean,1.0986,1.0986,0.3333,0.3333,0.5774,0.5774,5
voicemark,3,bdb,1.0580,1.0986,0.4073,0.3333,0.5982,0.5774,5
voicemark,3,tct,0.8751,1.0986,0.5000,0.3333,0.6601,0.5774,5
voicemark,5,mean,1.6094,1.6094,0.2000,0.2000,0.4472,0.4472,5
voicemark,5,bdb,1.3266,1.6094,0.3255,0.2000,0.5274,0.4472,5
voicemark,5,tct,1.2341,1.6094,0.4423,0.2000,0.5684,0.4472,5
voicemark,8,mean,2.0794,2.0794,0.1250,0.1250,0.3536,0.3536,5
voicemark,8,bdb,1.6370,2.0794,0.2832,0.1250,0.4601,0.3536,5
voicemark,8,tct,1.3307,2.0794,0.4275,0.1250,0.5478,0.3536,5
wavmark,2,mean,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wavmark,2,bdb,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wavmark,2,tct,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wavmark,3,mean,1.0986,1.0986,0.3333,0.3333,0.5774,0.5774,5
wavmark,3,bdb,1.0580,1.0986,0.4073,0.3333,0.5982,0.5774,5
wavmark,3,tct,0.8751,1.0986,0.5000,0.3333,0.6601,0.5774,5
wavmark,5,mean,1.6094,1.6094,0.2000,0.2000,0.4472,0.4472,5
wavmark,5,bdb,1.3266,1.6094,0.3255,0.2000,0.5274,0.4472,5
wavmark,5,tct,1.2341,1.6094,0.4423,0.2000,0.5684,0.4472,5
wavmark,8,mean,2.0794,2.0794,0.1250,0.1250,0.3536,0.3536,5
wavmark,8,bdb,1.6370,2.0794,0.2832,0.1250,0.4601,0.3536,5
wavmark,8,tct,1.3307,2.0794,0.4275,0.1250,0.5478,0.3536,5
wmcodec,2,mean,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wmcodec,2,bdb,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wmcodec,2,tct,0.6931,0.6931,0.5000,0.5000,0.7071,0.7071,5
wmcodec,3,mean,1.0986,1.0986,0.3333,0.3333,0.5774,0.5774,5
wmcodec,3,bdb,1.0580,1.0986,0.4073,0.3333,0.5982,0.5774,5
wmcodec,3,tct,0.8751,1.0986,0.5000,0.3333,0.6601,0.5774,5
wmcodec,5,mean,1.6094,1.6094,0.2000,0.2000,0.4472,0.4472,5
wmcodec,5,bdb,1.3266,1.6094,0.3255,0.2000,0.5274,0.4472,5
wmcodec,5,tct,1.2341,1.6094,0.4423,0.2000,0.5684,0.4472,5
wmcodec,8,mean,2.0794,2.0794,0.1250,0.1250,0.3536,0.3536,5
wmcodec,8,bdb,1.6370,2.0794,0.2832,0.1250,0.4601,0.3536,5
wmcodec,8,tct,1.3307,2.0794,0.4275,0.1250,0.5478,0.3536,5
