model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0005,0,0,pgr,1,1,1,12,0.7500,0.139770,4.6046,0.9996,38.61
audioseal,3,chinese:SSB0005,1,1,pgr,1,1,1,13,0.8125,0.297277,4.6086,0.9995,37.53
audioseal,3,chinese:SSB0005,2,2,pgr,1,1,1,12,0.7500,0.384735,4.6027,0.9994,38.31
audioseal,3,chinese:SSB0009,0,3,pgr,1,1,1,14,0.8750,0.661033,4.6289,0.9999,39.85
audioseal,3,chinese:SSB0009,1,4,pgr,1,1,1,11,0.6875,0.240025,4.5971,0.9997,33.97
audioseal,3,chinese:SSB0009,2,5,pgr,1,1,1,9,0.5625,0.081414,4.6013,0.9997,34.75
audioseal,3,chinese:SSB0011,0,6,pgr,1,1,1,14,0.8750,0.436002,4.5776,0.9992,35.38
audioseal,3,chinese:SSB0011,1,7,pgr,1,1,1,14,0.8750,0.312500,4.5530,0.9988,32.57
audioseal,3,chinese:SSB0011,2,8,pgr,1,1,1,11,0.6875,0.130178,4.5440,0.9984,33.20
audioseal,3,chinese:SSB0012,0,9,pgr,1,1,1,11,0.6875,0.387574,4.5889,0.9994,32.75
audioseal,3,chinese:SSB0012,1,10,pgr,1,1,1,11,0.6875,0.319153,4.6043,0.9994,34.12
audioseal,3,chinese:SSB0012,2,11,pgr,1,1,1,13,0.8125,0.260889,4.6047,0.9996,33.75
audioseal,3,chinese:SSB0016,0,12,pgr,1,1,1,14,0.8750,0.438142,4.5839,0.9990,33.09
audioseal,3,chinese:SSB0016,1,13,pgr,1,1,1,13,0.8125,0.379124,4.5691,0.9990,34.19
audioseal,3,chinese:SSB0016,2,14,pgr,1,1,1,12,0.7500,0.333333,4.5763,0.9981,32.37
audioseal,3,chinese:SSB0018,0,15,pgr,1,1,1,11,0.6875,0.301474,4.5892,0.9998,38.93
audioseal,3,chinese:SSB0018,1,16,pgr,1,1,1,13,0.8125,0.329933,4.5993,0.9996,34.83
audioseal,3,chinese:SSB0018,2,17,pgr,1,1,1,11,0.6875,0.362531,4.5957,0.9997,35.68
audioseal,3,chinese:SSB0033,0,18,pgr,1,1,1,12,0.7500,0.197566,4.5849,0.9995,41.23
audioseal,3,chinese:SSB0033,1,19,pgr,1,1,1,13,0.8125,0.438142,4.5731,0.9996,39.24
audioseal,3,chinese:SSB0033,2,20,pgr,1,1,1,12,0.7500,0.384735,4.5955,0.9997,42.33
audioseal,3,chinese:SSB0038,0,21,pgr,1,1,1,11,0.6875,0.272962,4.5997,0.9991,36.84
audioseal,3,chinese:SSB0038,1,22,pgr,1,1,1,10,0.6250,0.139770,4.5755,0.9990,31.60
audioseal,3,chinese:SSB0038,2,23,pgr,1,1,1,12,0.7500,0.276810,4.5894,0.9990,34.90
audioseal,3,chinese:SSB0043,0,24,pgr,1,1,1,14,0.8750,0.300220,4.5554,0.9992,34.18
audioseal,3,chinese:SSB0043,1,25,pgr,1,1,1,13,0.8125,0.379124,4.5726,0.9991,34.57
audioseal,3,chinese:SSB0043,2,26,pgr,1,1,1,12,0.7500,0.271043,4.5626,0.9991,34.70
audioseal,3,chinese:SSB0057,0,27,pgr,1,1,1,11,0.6875,0.155319,4.5955,0.9988,38.23
audioseal,3,chinese:SSB0057,1,28,pgr,1,1,1,12,0.7500,0.258568,4.6036,0.9992,38.76
audioseal,3,chinese:SSB0057,2,29,pgr,1,1,1,12,0.7500,0.329933,4.6142,0.9991,34.19
audioseal,3,chinese:SSB0073,0,30,pgr,1,1,1,14,0.8750,0.319153,4.5949,0.9998,34.60
audioseal,3,chinese:SSB0073,1,31,pgr,1,1,1,11,0.6875,0.214606,4.5922,0.9998,33.29
audioseal,3,chinese:SSB0073,2,32,pgr,1,1,1,13,0.8125,0.436002,4.6015,0.9998,31.69
audioseal,3,chinese:SSB0080,0,33,pgr,1,1,1,14,0.8750,0.438142,4.5978,0.9994,32.98
audioseal,3,chinese:SSB0080,1,34,pgr,1,1,1,12,0.7500,0.271043,4.5957,0.9992,30.50
audioseal,3,chinese:SSB0080,2,35,pgr,1,1,1,13,0.8125,0.320532,4.5979,0.9989,32.54
