model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,3,chinese:SSB0005,0,0,pgr,1,1,1,12,0.7500,0.139770,4.5806,0.9976,44.25
wavmark,3,chinese:SSB0005,1,1,pgr,1,1,1,12,0.7500,0.297277,4.5109,0.9968,43.97
wavmark,3,chinese:SSB0005,2,2,pgr,1,1,1,12,0.7500,0.384735,4.5784,0.9971,45.05
wavmark,3,chinese:SSB0009,0,3,pgr,1,1,1,15,0.9375,0.661033,4.6085,0.9999,45.82
wavmark,3,chinese:SSB0009,1,4,pgr,1,1,1,11,0.6875,0.240025,4.5920,0.9999,43.16
wavmark,3,chinese:SSB0009,2,5,pgr,1,1,1,10,0.6250,0.081414,4.5929,0.9999,42.57
wavmark,3,chinese:SSB0011,0,6,pgr,1,1,1,13,0.8125,0.436002,4.3591,0.9994,42.53
wavmark,3,chinese:SSB0011,1,7,pgr,1,1,1,13,0.8125,0.312500,4.5000,0.9995,43.49
wavmark,3,chinese:SSB0011,2,8,pgr,1,1,1,12,0.7500,0.130178,4.5027,0.9995,42.39
wavmark,3,chinese:SSB0012,0,9,pgr,1,1,1,12,0.7500,0.387574,4.5281,0.9998,43.45
wavmark,3,chinese:SSB0012,1,10,pgr,1,1,1,12,0.7500,0.319153,4.5565,0.9998,43.88
wavmark,3,chinese:SSB0012,2,11,pgr,1,1,1,13,0.8125,0.260889,4.5518,0.9998,43.92
wavmark,3,chinese:SSB0016,0,12,pgr,1,1,1,14,0.8750,0.438142,4.4692,0.9988,40.18
wavmark,3,chinese:SSB0016,1,13,pgr,1,1,1,14,0.8750,0.379124,4.4656,0.9986,39.74
wavmark,3,chinese:SSB0016,2,14,pgr,1,1,1,12,0.7500,0.333333,4.3943,0.9978,38.96
wavmark,3,chinese:SSB0018,0,15,pgr,1,1,1,13,0.8125,0.301474,4.5428,0.9995,44.73
wavmark,3,chinese:SSB0018,1,16,pgr,1,1,1,12,0.7500,0.329933,4.4564,0.9995,43.89
wavmark,3,chinese:SSB0018,2,17,pgr,1,1,1,12,0.7500,0.362531,4.5815,0.9995,45.03
wavmark,3,chinese:SSB0033,0,18,pgr,1,1,1,11,0.6875,0.197566,4.3287,0.9996,43.95
wavmark,3,chinese:SSB0033,1,19,pgr,1,1,1,14,0.8750,0.438142,4.4798,0.9997,44.60
wavmark,3,chinese:SSB0033,2,20,pgr,1,1,1,12,0.7500,0.384735,4.5376,0.9998,44.95
wavmark,3,chinese:SSB0038,0,21,pgr,1,1,1,13,0.8125,0.272962,4.5475,0.9998,43.58
wavmark,3,chinese:SSB0038,1,22,pgr,1,1,1,12,0.7500,0.139770,4.5094,0.9998,42.22
wavmark,3,chinese:SSB0038,2,23,pgr,1,1,1,12,0.7500,0.276810,4.4816,0.9998,43.48
wavmark,3,chinese:SSB0043,0,24,pgr,1,1,1,12,0.7500,0.300220,4.5316,0.9990,43.01
wavmark,3,chinese:SSB0043,1,25,pgr,1,1,1,13,0.8125,0.379124,4.5029,0.9990,43.44
wavmark,3,chinese:SSB0043,2,26,pgr,1,1,1,12,0.7500,0.271043,4.5093,0.9987,42.40
wavmark,3,chinese:SSB0057,0,27,pgr,1,1,1,11,0.6875,0.155319,4.5229,0.9949,43.64
wavmark,3,chinese:SSB0057,1,28,pgr,1,1,1,12,0.7500,0.258568,4.5400,0.9963,43.70
wavmark,3,chinese:SSB0057,2,29,pgr,1,1,1,13,0.8125,0.329933,4.4953,0.9964,44.56
wavmark,3,chinese:SSB0073,0,30,pgr,1,1,1,14,0.8750,0.319153,4.3996,0.9998,44.07
wavmark,3,chinese:SSB0073,1,31,pgr,1,1,1,13,0.8125,0.214606,4.4632,0.9998,44.01
wavmark,3,chinese:SSB0073,2,32,pgr,1,1,1,14,0.8750,0.436002,4.5449,0.9999,45.78
wavmark,3,chinese:SSB0080,0,33,pgr,1,1,1,14,0.8750,0.438142,4.5446,0.9971,44.59
wavmark,3,chinese:SSB0080,1,34,pgr,1,1,1,12,0.7500,0.271043,4.5542,0.9961,43.69
wavmark,3,chinese:SSB0080,2,35,pgr,1,1,1,14,0.8750,0.320532,4.5724,0.9971,44.48
wavmark,3,chinese:SSB0112,0,36,pgr,1,1,1,13,0.8125,0.329933,4.5095,0.9989,39.20
wavmark,3,chinese:SSB0112,1,37,pgr,1,1,1,14,0.8750,0.260889,4.5058,0.9989,39.43
wavmark,3,chinese:SSB0112,2,38,pgr,1,1,1,12,0.7500,0.272962,4.3859,0.9987,38.51
wavmark,3,chinese:SSB0122,0,39,pgr,1,1,1,13,0.8125,0.415643,4.5203,0.9999,43.92
wavmark,3,chinese:SSB0122,1,40,pgr,1,1,1,12,0.7500,0.325172,4.4999,0.9998,43.08
wavmark,3,chinese:SSB0122,2,41,pgr,1,1,1,12,0.7500,0.272962,4.4544,0.9998,42.83
wavmark,3,chinese:SSB0133,0,42,pgr,1,1,1,12,0.7500,0.319153,4.5343,0.9997,42.57
wavmark,3,chinese:SSB0133,1,43,pgr,1,1,1,14,0.8750,0.609505,4.5248,0.9997,43.54
wavmark,3,chinese:SSB0133,2,44,pgr,1,1,1,12,0.7500,0.218815,4.5386,0.9996,41.85
wavmark,3,chinese:SSB0139,0,45,pgr,1,1,1,14,0.8750,0.422946,4.4726,0.9999,43.35
wavmark,3,chinese:SSB0139,1,46,pgr,1,1,1,12,0.7500,0.272962,4.4337,0.9999,43.24
wavmark,3,chinese:SSB0139,2,47,pgr,1,1,1,12,0.7500,0.320532,4.4722,0.9999,44.11
wavmark,3,chinese:SSB0145,0,48,pgr,1,1,1,13,0.8125,0.387574,4.5680,0.9999,42.74
wavmark,3,chinese:SSB0145,1,49,pgr,1,1,1,12,0.7500,0.422946,4.5674,1.0000,43.32
wavmark,3,chinese:SSB0145,2,50,pgr,1,1,1,13,0.8125,0.272962,4.5669,0.9999,42.18
wavmark,3,chinese:SSB0149,0,51,pgr,1,1,1,14,0.8750,0.379124,4.4166,0.9997,45.21
wavmark,3,chinese:SSB0149,1,52,pgr,1,1,1,12,0.7500,0.320532,4.3752,0.9998,44.42
wavmark,3,chinese:SSB0149,2,53,pgr,1,1,1,11,0.6875,0.235261,4.4800,0.9998,44.48
wavmark,3,chinese:SSB0193,0,54,pgr,1,1,1,12,0.7500,0.221187,4.4880,0.9991,40.90
wavmark,3,chinese:SSB0193,1,55,pgr,1,1,1,11,0.6875,0.235261,4.5343,0.9994,40.97
wavmark,3,chinese:SSB0193,2,56,pgr,1,1,1,13,0.8125,0.436002,4.5389,0.9991,41.82
wavmark,3,chinese:SSB0197,0,57,pgr,1,1,1,13,0.8125,0.314674,4.5017,0.9900,35.99
wavmark,3,chinese:SSB0197,1,58,pgr,1,1,1,14,0.8750,0.436002,4.5269,0.9885,36.55
wavmark,3,chinese:SSB0197,2,59,pgr,1,1,1,13,0.8125,0.314674,4.5472,0.9922,36.61
wavmark,3,chinese:SSB0200,0,60,pgr,1,1,1,13,0.8125,0.495587,4.5697,0.9998,41.65
wavmark,3,chinese:SSB0200,1,61,pgr,1,1,1,12,0.7500,0.362531,4.3726,0.9996,40.03
wavmark,3,chinese:SSB0200,2,62,pgr,1,1,1,12,0.7500,0.437500,4.5576,0.9997,41.22
wavmark,3,chinese:SSB0241,0,63,pgr,1,1,1,13,0.8125,0.415643,4.5030,0.9998,43.18
wavmark,3,chinese:SSB0241,1,64,pgr,1,1,1,12,0.7500,0.221187,4.5106,0.9998,42.88
wavmark,3,chinese:SSB0241,2,65,pgr,1,1,1,14,0.8750,0.495587,4.5324,0.9999,45.08
wavmark,3,chinese:SSB0246,0,66,pgr,1,1,1,12,0.7500,0.221187,4.4384,0.9989,41.93
wavmark,3,chinese:SSB0246,1,67,pgr,1,1,1,12,0.7500,0.495587,4.5538,0.9995,43.70
wavmark,3,chinese:SSB0246,2,68,pgr,1,1,1,14,0.8750,0.443232,4.5776,0.9994,43.36
wavmark,3,chinese:SSB0261,0,69,pgr,1,1,1,12,0.7500,0.214606,4.5038,0.9998,42.63
