model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
audioseal,5,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.6016,0.9993,35.93,1,1.0000,1
audioseal,5,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.6101,0.9994,38.13,1,1.0000,1
audioseal,5,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.6010,0.9993,35.22,1,1.0000,1
audioseal,5,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.6091,0.9994,37.28,1,1.0000,1
audioseal,5,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.6015,0.9994,34.70,1,1.0000,1
audioseal,5,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.6160,0.9996,35.11,1,1.0000,1
audioseal,5,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.5714,0.9995,32.93,1,1.0000,1
audioseal,5,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.5897,0.9996,34.36,1,1.0000,1
audioseal,5,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.5906,0.9996,33.86,1,1.0000,1
audioseal,5,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.6036,0.9998,36.09,1,1.0000,1
audioseal,5,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.5939,0.9997,33.48,1,1.0000,1
audioseal,5,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.6098,0.9997,34.71,1,1.0000,1
audioseal,5,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.5479,0.9987,32.85,1,1.0000,1
audioseal,5,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.5628,0.9990,33.56,1,1.0000,1
audioseal,5,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.5260,0.9985,32.09,1,1.0000,1
audioseal,5,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.5666,0.9990,33.30,1,1.0000,1
audioseal,5,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.5559,0.9989,33.40,1,1.0000,1
audioseal,5,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.5755,0.9991,34.46,1,1.0000,1
audioseal,5,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.6052,0.9995,35.68,1,1.0000,1
audioseal,5,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.6075,0.9997,34.70,1,1.0000,1
audioseal,5,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.5900,0.9995,34.98,1,1.0000,1
audioseal,5,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.5963,0.9995,34.40,1,1.0000,1
audioseal,5,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.5804,0.9993,32.81,1,1.0000,1
audioseal,5,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.6002,0.9996,35.04,1,1.0000,1
audioseal,5,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.5392,0.9984,31.77,1,1.0000,1
audioseal,5,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.5565,0.9987,32.70,1,1.0000,1
audioseal,5,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.5081,0.9984,31.50,1,1.0000,1
audioseal,5,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.5322,0.9987,31.90,1,1.0000,1
audioseal,5,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.5358,0.9978,32.32,1,1.0000,1
audioseal,5,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.4886,0.9966,29.87,1,1.0000,1
audioseal,5,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.5608,0.9996,33.78,1,1.0000,1
audioseal,5,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.6089,0.9997,35.56,1,1.0000,1
