model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
voicemark,2,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.4320,0.9879,19.42,1,0.7204,1
voicemark,2,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.4320,0.9879,19.42,1,0.7204,1
voicemark,2,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.4143,0.9719,18.22,1,0.7233,1
voicemark,2,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.4143,0.9719,18.22,1,0.7233,1
voicemark,2,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.1638,0.9861,19.28,1,0.7403,1
voicemark,2,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.1638,0.9861,19.28,1,0.7403,1
voicemark,2,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.0285,0.9755,14.85,1,0.7409,1
voicemark,2,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.0285,0.9755,14.85,1,0.7409,1
voicemark,2,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.4188,0.9849,14.61,1,0.7777,1
voicemark,2,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.4188,0.9849,14.61,1,0.7777,1
voicemark,2,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,3.9101,0.9717,13.18,1,0.7901,1
voicemark,2,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,3.9101,0.9717,13.18,1,0.7901,1
voicemark,2,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,3.9627,0.9715,18.84,1,0.6704,1
voicemark,2,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,3.9627,0.9715,18.84,1,0.6704,1
voicemark,2,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.0422,0.9788,17.29,1,0.6527,1
voicemark,2,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.0422,0.9788,17.29,1,0.6527,1
voicemark,2,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.2112,0.9727,18.25,1,0.6537,1
voicemark,2,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.2112,0.9727,18.25,1,0.6537,1
voicemark,2,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.3382,0.9807,17.24,1,0.6976,1
voicemark,2,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.3382,0.9807,17.24,1,0.6976,1
voicemark,2,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,3.7477,0.9765,15.97,1,0.7628,1
voicemark,2,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,3.7477,0.9765,15.97,1,0.7628,1
voicemark,2,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,3.8751,0.9759,17.78,1,0.6556,1
voicemark,2,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,3.8751,0.9759,17.78,1,0.6556,1
voicemark,2,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.3973,0.9694,21.85,1,0.3732,0
voicemark,2,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.3973,0.9694,21.85,1,0.3732,0
voicemark,2,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,3.9265,0.9720,17.47,1,0.3309,0
voicemark,2,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,3.9265,0.9720,17.47,1,0.3309,0
voicemark,2,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.4682,0.9865,20.61,1,0.3823,0
voicemark,2,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.4682,0.9865,20.61,1,0.3823,0
voicemark,2,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.2943,0.9831,15.16,1,0.7109,1
voicemark,2,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.2943,0.9831,15.16,1,0.7109,1
voicemark,2,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.4500,0.9871,18.77,1,0.6682,1
voicemark,2,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,4.4500,0.9871,18.77,1,0.6682,1
voicemark,2,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.4264,0.9858,21.22,1,0.5426,1
voicemark,2,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.4264,0.9858,21.22,1,0.5426,1
voicemark,2,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.0539,0.9752,21.26,1,0.6916,1
voicemark,2,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,4.0539,0.9752,21.26,1,0.6916,1
voicemark,2,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.4256,0.9861,20.83,1,0.6581,1
voicemark,2,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.4256,0.9861,20.83,1,0.6581,1
voicemark,2,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.3361,0.9809,20.49,1,0.6854,1
voicemark,2,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.3361,0.9809,20.49,1,0.6854,1
voicemark,2,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.3715,0.9796,17.30,1,0.6736,1
voicemark,2,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.3715,0.9796,17.30,1,0.6736,1
voicemark,2,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.4216,0.9818,18.37,1,0.6702,1
voicemark,2,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.4216,0.9818,18.37,1,0.6702,1
voicemark,2,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.1191,0.9727,18.63,1,0.7020,1
voicemark,2,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.1191,0.9727,18.63,1,0.7020,1
voicemark,2,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.0981,0.9553,15.95,1,0.6529,1
voicemark,2,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.0981,0.9553,15.95,1,0.6529,1
voicemark,2,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.3277,0.9775,19.63,1,0.5869,1
voicemark,2,25,chinese:SSB0043,1,fwp,first_legitimate_watermarked_coalition_copy,4.3277,0.9775,19.63,1,0.5869,1
voicemark,2,26,chinese:SSB0043,2,mean,first_legitimate_watermarked_coalition_copy,4.0135,0.9528,16.45,1,0.6668,1
voicemark,2,26,chinese:SSB0043,2,fwp,first_legitimate_watermarked_coalition_copy,4.0135,0.9528,16.45,1,0.6668,1
voicemark,2,27,chinese:SSB0057,0,mean,first_legitimate_watermarked_coalition_copy,4.3537,0.9833,16.58,1,0.6577,1
voicemark,2,27,chinese:SSB0057,0,fwp,first_legitimate_watermarked_coalition_copy,4.3537,0.9833,16.58,1,0.6577,1
voicemark,2,28,chinese:SSB0057,1,mean,first_legitimate_watermarked_coalition_copy,4.0192,0.9727,15.77,1,0.6554,1
voicemark,2,28,chinese:SSB0057,1,fwp,first_legitimate_watermarked_coalition_copy,4.0192,0.9727,15.77,1,0.6554,1
voicemark,2,29,chinese:SSB0057,2,mean,first_legitimate_watermarked_coalition_copy,4.4556,0.9825,18.22,1,0.6563,1
voicemark,2,29,chinese:SSB0057,2,fwp,first_legitimate_watermarked_coalition_copy,4.4556,0.9825,18.22,1,0.6563,1
voicemark,2,30,chinese:SSB0073,0,mean,first_legitimate_watermarked_coalition_copy,3.8171,0.9790,13.29,1,0.5793,1
voicemark,2,30,chinese:SSB0073,0,fwp,first_legitimate_watermarked_coalition_copy,3.8171,0.9790,13.29,1,0.5793,1
voicemark,2,31,chinese:SSB0073,1,mean,first_legitimate_watermarked_coalition_copy,4.1415,0.9692,15.87,1,0.6105,1
voicemark,2,31,chinese:SSB0073,1,fwp,first_legitimate_watermarked_coalition_copy,4.1415,0.9692,15.87,1,0.6105,1
voicemark,2,32,chinese:SSB0073,2,mean,first_legitimate_watermarked_coalition_copy,4.0911,0.9757,14.81,1,0.6102,1
voicemark,2,32,chinese:SSB0073,2,fwp,first_legitimate_watermarked_coalition_copy,4.0911,0.9757,14.81,1,0.6102,1
voicemark,2,33,chinese:SSB0080,0,mean,first_legitimate_watermarked_coalition_copy,4.3605,0.9680,17.81,1,0.6137,1
voicemark,2,33,chinese:SSB0080,0,fwp,first_legitimate_watermarked_coalition_copy,4.3605,0.9680,17.81,1,0.6137,1
voicemark,2,34,chinese:SSB0080,1,mean,first_legitimate_watermarked_coalition_copy,4.4139,0.9701,18.48,1,0.5618,1
voicemark,2,34,chinese:SSB0080,1,fwp,first_legitimate_watermarked_coalition_copy,4.4139,0.9701,18.48,1,0.5618,1
voicemark,2,35,chinese:SSB0080,2,mean,first_legitimate_watermarked_coalition_copy,4.4822,0.9891,20.46,1,0.6003,1
voicemark,2,35,chinese:SSB0080,2,fwp,first_legitimate_watermarked_coalition_copy,4.4822,0.9891,20.46,1,0.6003,1
voicemark,2,36,chinese:SSB0112,0,mean,first_legitimate_watermarked_coalition_copy,4.4491,0.9886,19.50,1,0.3305,0
voicemark,2,36,chinese:SSB0112,0,fwp,first_legitimate_watermarked_coalition_copy,4.4491,0.9886,19.50,1,0.3305,0
voicemark,2,37,chinese:SSB0112,1,mean,first_legitimate_watermarked_coalition_copy,4.4097,0.9869,17.09,1,0.3706,0
voicemark,2,37,chinese:SSB0112,1,fwp,first_legitimate_watermarked_coalition_copy,4.4097,0.9869,17.09,1,0.3706,0
voicemark,2,38,chinese:SSB0112,2,mean,first_legitimate_watermarked_coalition_copy,4.4676,0.9856,17.16,1,0.3839,0
voicemark,2,38,chinese:SSB0112,2,fwp,first_legitimate_watermarked_coalition_copy,4.4676,0.9856,17.16,1,0.3839,0
voicemark,2,39,chinese:SSB0122,0,mean,first_legitimate_watermarked_coalition_copy,4.2004,0.9727,17.70,1,0.7537,1
voicemark,2,39,chinese:SSB0122,0,fwp,first_legitimate_watermarked_coalition_copy,4.2004,0.9727,17.70,1,0.7537,1
voicemark,2,40,chinese:SSB0122,1,mean,first_legitimate_watermarked_coalition_copy,4.4593,0.9906,17.03,1,0.7631,1
voicemark,2,40,chinese:SSB0122,1,fwp,first_legitimate_watermarked_coalition_copy,4.4593,0.9906,17.03,1,0.7631,1
voicemark,2,41,chinese:SSB0122,2,mean,first_legitimate_watermarked_coalition_copy,3.6526,0.9762,16.60,1,0.7118,1
voicemark,2,41,chinese:SSB0122,2,fwp,first_legitimate_watermarked_coalition_copy,3.6526,0.9762,16.60,1,0.7118,1
voicemark,2,42,chinese:SSB0133,0,mean,first_legitimate_watermarked_coalition_copy,4.2876,0.9773,17.28,1,0.4559,0
voicemark,2,42,chinese:SSB0133,0,fwp,first_legitimate_watermarked_coalition_copy,4.2876,0.9773,17.28,1,0.4559,0
voicemark,2,43,chinese:SSB0133,1,mean,first_legitimate_watermarked_coalition_copy,4.0508,0.9723,16.62,1,0.5370,1
voicemark,2,43,chinese:SSB0133,1,fwp,first_legitimate_watermarked_coalition_copy,4.0508,0.9723,16.62,1,0.5370,1
voicemark,2,44,chinese:SSB0133,2,mean,first_legitimate_watermarked_coalition_copy,3.7716,0.9711,16.93,1,0.5455,1
voicemark,2,44,chinese:SSB0133,2,fwp,first_legitimate_watermarked_coalition_copy,3.7716,0.9711,16.93,1,0.5455,1
voicemark,2,45,chinese:SSB0139,0,mean,first_legitimate_watermarked_coalition_copy,4.2732,0.9891,16.55,1,0.6359,1
voicemark,2,45,chinese:SSB0139,0,fwp,first_legitimate_watermarked_coalition_copy,4.2732,0.9891,16.55,1,0.6359,1
voicemark,2,46,chinese:SSB0139,1,mean,first_legitimate_watermarked_coalition_copy,4.3646,0.9812,16.75,1,0.6602,1
voicemark,2,46,chinese:SSB0139,1,fwp,first_legitimate_watermarked_coalition_copy,4.3646,0.9812,16.75,1,0.6602,1
voicemark,2,47,chinese:SSB0139,2,mean,first_legitimate_watermarked_coalition_copy,4.1832,0.9864,16.10,1,0.6064,1
voicemark,2,47,chinese:SSB0139,2,fwp,first_legitimate_watermarked_coalition_copy,4.1832,0.9864,16.10,1,0.6064,1
voicemark,2,48,chinese:SSB0145,0,mean,first_legitimate_watermarked_coalition_copy,4.2878,0.9744,17.12,1,0.7311,1
voicemark,2,48,chinese:SSB0145,0,fwp,first_legitimate_watermarked_coalition_copy,4.2878,0.9744,17.12,1,0.7311,1
voicemark,2,49,chinese:SSB0145,1,mean,first_legitimate_watermarked_coalition_copy,3.7199,0.9661,14.08,1,0.7491,1
voicemark,2,49,chinese:SSB0145,1,fwp,first_legitimate_watermarked_coalition_copy,3.7199,0.9661,14.08,1,0.7491,1
voicemark,2,50,chinese:SSB0145,2,mean,first_legitimate_watermarked_coalition_copy,4.2593,0.9835,17.79,1,0.7066,1
voicemark,2,50,chinese:SSB0145,2,fwp,first_legitimate_watermarked_coalition_copy,4.2593,0.9835,17.79,1,0.7066,1
voicemark,2,51,chinese:SSB0149,0,mean,first_legitimate_watermarked_coalition_copy,4.4156,0.9860,16.04,1,0.5226,1
voicemark,2,51,chinese:SSB0149,0,fwp,first_legitimate_watermarked_coalition_copy,4.4156,0.9860,16.04,1,0.5226,1
voicemark,2,52,chinese:SSB0149,1,mean,first_legitimate_watermarked_coalition_copy,4.1634,0.9798,13.22,1,0.4533,0
voicemark,2,52,chinese:SSB0149,1,fwp,first_legitimate_watermarked_coalition_copy,4.1634,0.9798,13.22,1,0.4533,0
voicemark,2,53,chinese:SSB0149,2,mean,first_legitimate_watermarked_coalition_copy,3.5459,0.9758,12.94,1,0.5356,1
voicemark,2,53,chinese:SSB0149,2,fwp,first_legitimate_watermarked_coalition_copy,3.5459,0.9758,12.94,1,0.5356,1
voicemark,2,54,chinese:SSB0193,0,mean,first_legitimate_watermarked_coalition_copy,4.2411,0.9859,15.50,1,0.4953,0
voicemark,2,54,chinese:SSB0193,0,fwp,first_legitimate_watermarked_coalition_copy,4.2411,0.9859,15.50,1,0.4953,0
voicemark,2,55,chinese:SSB0193,1,mean,first_legitimate_watermarked_coalition_copy,4.3758,0.9809,16.50,1,0.5399,1
voicemark,2,55,chinese:SSB0193,1,fwp,first_legitimate_watermarked_coalition_copy,4.3758,0.9809,16.50,1,0.5399,1
