model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
wavmark,5,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.5766,0.9982,44.25,1,1.0000,1
wavmark,5,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.5433,0.9973,42.74,1,1.0000,1
wavmark,5,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.5207,0.9967,43.11,1,1.0000,1
wavmark,5,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.5610,0.9982,44.24,1,1.0000,1
wavmark,5,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.5612,0.9979,43.55,1,1.0000,1
wavmark,5,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.5816,0.9985,45.05,1,1.0000,1
wavmark,5,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.5937,0.9999,42.35,1,1.0000,1
wavmark,5,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.6022,0.9999,43.53,1,1.0000,1
wavmark,5,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.5779,0.9999,42.21,1,1.0000,1
wavmark,5,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.5914,1.0000,44.48,1,1.0000,1
wavmark,5,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.5922,0.9999,42.95,1,1.0000,1
wavmark,5,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.6024,0.9999,44.64,1,1.0000,1
wavmark,5,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.3243,0.9993,41.26,1,1.0000,1
wavmark,5,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.4405,0.9995,43.29,1,1.0000,1
wavmark,5,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.4354,0.9992,41.81,1,1.0000,1
wavmark,5,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.4725,0.9995,43.08,1,1.0000,1
wavmark,5,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.4983,0.9995,42.99,1,1.0000,1
wavmark,5,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.4301,0.9993,40.74,1,1.0000,1
wavmark,5,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.5395,0.9998,43.55,1,1.0000,1
wavmark,5,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.4345,0.9996,40.58,1,1.0000,1
wavmark,5,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.5336,0.9998,42.41,1,1.0000,1
wavmark,5,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.5186,0.9998,42.85,1,1.0000,1
wavmark,5,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.5385,0.9998,42.58,1,1.0000,1
wavmark,5,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.5217,0.9998,44.02,1,1.0000,1
wavmark,5,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.3094,0.9978,38.07,1,1.0000,1
wavmark,5,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.2895,0.9984,38.83,1,1.0000,1
wavmark,5,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.1111,0.9973,37.01,1,1.0000,1
wavmark,5,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.0588,0.9979,38.33,1,1.0000,1
wavmark,5,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.3649,0.9977,37.82,1,1.0000,1
wavmark,5,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.3748,0.9981,38.67,1,1.0000,1
wavmark,5,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.5037,0.9994,44.26,1,1.0000,1
wavmark,5,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.5081,0.9996,44.83,1,1.0000,1
wavmark,5,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.5299,0.9995,43.25,1,1.0000,1
wavmark,5,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,4.5434,0.9996,43.87,1,1.0000,1
wavmark,5,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.4914,0.9995,44.44,1,1.0000,1
wavmark,5,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.3832,0.9990,41.21,1,1.0000,1
wavmark,5,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.3764,0.9996,43.51,1,1.0000,1
wavmark,5,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,4.2574,0.9994,41.34,1,1.0000,1
wavmark,5,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.5169,0.9997,44.70,1,1.0000,1
wavmark,5,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.5139,0.9997,44.86,1,1.0000,1
wavmark,5,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.4478,0.9996,43.50,1,1.0000,1
wavmark,5,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.4789,0.9996,44.27,1,1.0000,1
wavmark,5,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.5114,0.9998,43.28,1,1.0000,1
wavmark,5,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.4821,0.9997,41.71,1,1.0000,1
wavmark,5,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.5345,0.9998,43.03,1,1.0000,1
wavmark,5,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.4764,0.9997,40.56,1,1.0000,1
wavmark,5,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.5132,0.9998,42.21,1,1.0000,1
