model,K,trial_id,spk,local_t,method,quality_reference,PESQ,STOI,SI_SDR,presence_supported,presence_score,presence_decision
wmcodec,2,0,chinese:SSB0005,0,mean,first_legitimate_watermarked_coalition_copy,4.4075,0.9905,19.01,0,,
wmcodec,2,0,chinese:SSB0005,0,fwp,first_legitimate_watermarked_coalition_copy,4.4075,0.9905,19.01,0,,
wmcodec,2,1,chinese:SSB0005,1,mean,first_legitimate_watermarked_coalition_copy,4.4371,0.9906,19.55,0,,
wmcodec,2,1,chinese:SSB0005,1,fwp,first_legitimate_watermarked_coalition_copy,4.4371,0.9906,19.55,0,,
wmcodec,2,2,chinese:SSB0005,2,mean,first_legitimate_watermarked_coalition_copy,4.4896,0.9914,19.80,0,,
wmcodec,2,2,chinese:SSB0005,2,fwp,first_legitimate_watermarked_coalition_copy,4.4896,0.9914,19.80,0,,
wmcodec,2,3,chinese:SSB0009,0,mean,first_legitimate_watermarked_coalition_copy,4.3485,0.9899,16.10,0,,
wmcodec,2,3,chinese:SSB0009,0,fwp,first_legitimate_watermarked_coalition_copy,4.3485,0.9899,16.10,0,,
wmcodec,2,4,chinese:SSB0009,1,mean,first_legitimate_watermarked_coalition_copy,4.3657,0.9881,15.48,0,,
wmcodec,2,4,chinese:SSB0009,1,fwp,first_legitimate_watermarked_coalition_copy,4.3657,0.9881,15.48,0,,
wmcodec,2,5,chinese:SSB0009,2,mean,first_legitimate_watermarked_coalition_copy,4.3968,0.9901,15.87,0,,
wmcodec,2,5,chinese:SSB0009,2,fwp,first_legitimate_watermarked_coalition_copy,4.3968,0.9901,15.87,0,,
wmcodec,2,6,chinese:SSB0011,0,mean,first_legitimate_watermarked_coalition_copy,4.1514,0.9883,18.12,0,,
wmcodec,2,6,chinese:SSB0011,0,fwp,first_legitimate_watermarked_coalition_copy,4.1514,0.9883,18.12,0,,
wmcodec,2,7,chinese:SSB0011,1,mean,first_legitimate_watermarked_coalition_copy,4.2375,0.9886,18.56,0,,
wmcodec,2,7,chinese:SSB0011,1,fwp,first_legitimate_watermarked_coalition_copy,4.2375,0.9886,18.56,0,,
wmcodec,2,8,chinese:SSB0011,2,mean,first_legitimate_watermarked_coalition_copy,4.2816,0.9895,19.59,0,,
wmcodec,2,8,chinese:SSB0011,2,fwp,first_legitimate_watermarked_coalition_copy,4.2816,0.9895,19.59,0,,
wmcodec,2,9,chinese:SSB0012,0,mean,first_legitimate_watermarked_coalition_copy,4.3790,0.9898,14.40,0,,
wmcodec,2,9,chinese:SSB0012,0,fwp,first_legitimate_watermarked_coalition_copy,4.3790,0.9898,14.40,0,,
wmcodec,2,10,chinese:SSB0012,1,mean,first_legitimate_watermarked_coalition_copy,4.4866,0.9896,16.04,0,,
wmcodec,2,10,chinese:SSB0012,1,fwp,first_legitimate_watermarked_coalition_copy,4.4866,0.9896,16.04,0,,
wmcodec,2,11,chinese:SSB0012,2,mean,first_legitimate_watermarked_coalition_copy,4.4038,0.9895,15.37,0,,
wmcodec,2,11,chinese:SSB0012,2,fwp,first_legitimate_watermarked_coalition_copy,4.4038,0.9895,15.37,0,,
wmcodec,2,12,chinese:SSB0016,0,mean,first_legitimate_watermarked_coalition_copy,4.4400,0.9906,18.61,0,,
wmcodec,2,12,chinese:SSB0016,0,fwp,first_legitimate_watermarked_coalition_copy,4.4400,0.9906,18.61,0,,
wmcodec,2,13,chinese:SSB0016,1,mean,first_legitimate_watermarked_coalition_copy,4.3329,0.9885,17.43,0,,
wmcodec,2,13,chinese:SSB0016,1,fwp,first_legitimate_watermarked_coalition_copy,4.3329,0.9885,17.43,0,,
wmcodec,2,14,chinese:SSB0016,2,mean,first_legitimate_watermarked_coalition_copy,4.3806,0.9895,18.20,0,,
wmcodec,2,14,chinese:SSB0016,2,fwp,first_legitimate_watermarked_coalition_copy,4.3806,0.9895,18.20,0,,
wmcodec,2,15,chinese:SSB0018,0,mean,first_legitimate_watermarked_coalition_copy,4.4126,0.9905,17.07,0,,
wmcodec,2,15,chinese:SSB0018,0,fwp,first_legitimate_watermarked_coalition_copy,4.4126,0.9905,17.07,0,,
wmcodec,2,16,chinese:SSB0018,1,mean,first_legitimate_watermarked_coalition_copy,4.3848,0.9907,16.48,0,,
wmcodec,2,16,chinese:SSB0018,1,fwp,first_legitimate_watermarked_coalition_copy,4.3848,0.9907,16.48,0,,
wmcodec,2,17,chinese:SSB0018,2,mean,first_legitimate_watermarked_coalition_copy,4.4543,0.9917,18.31,0,,
wmcodec,2,17,chinese:SSB0018,2,fwp,first_legitimate_watermarked_coalition_copy,4.4543,0.9917,18.31,0,,
wmcodec,2,18,chinese:SSB0033,0,mean,first_legitimate_watermarked_coalition_copy,4.4842,0.9936,22.41,0,,
wmcodec,2,18,chinese:SSB0033,0,fwp,first_legitimate_watermarked_coalition_copy,4.4842,0.9936,22.41,0,,
wmcodec,2,19,chinese:SSB0033,1,mean,first_legitimate_watermarked_coalition_copy,4.4437,0.9941,22.55,0,,
wmcodec,2,19,chinese:SSB0033,1,fwp,first_legitimate_watermarked_coalition_copy,4.4437,0.9941,22.55,0,,
wmcodec,2,20,chinese:SSB0033,2,mean,first_legitimate_watermarked_coalition_copy,4.4281,0.9927,22.09,0,,
wmcodec,2,20,chinese:SSB0033,2,fwp,first_legitimate_watermarked_coalition_copy,4.4281,0.9927,22.09,0,,
wmcodec,2,21,chinese:SSB0038,0,mean,first_legitimate_watermarked_coalition_copy,4.4782,0.9921,18.85,0,,
wmcodec,2,21,chinese:SSB0038,0,fwp,first_legitimate_watermarked_coalition_copy,4.4782,0.9921,18.85,0,,
wmcodec,2,22,chinese:SSB0038,1,mean,first_legitimate_watermarked_coalition_copy,4.4630,0.9921,19.17,0,,
wmcodec,2,22,chinese:SSB0038,1,fwp,first_legitimate_watermarked_coalition_copy,4.4630,0.9921,19.17,0,,
wmcodec,2,23,chinese:SSB0038,2,mean,first_legitimate_watermarked_coalition_copy,4.4670,0.9928,19.45,0,,
wmcodec,2,23,chinese:SSB0038,2,fwp,first_legitimate_watermarked_coalition_copy,4.4670,0.9928,19.45,0,,
wmcodec,2,24,chinese:SSB0043,0,mean,first_legitimate_watermarked_coalition_copy,4.2255,0.9849,18.20,0,,
wmcodec,2,24,chinese:SSB0043,0,fwp,first_legitimate_watermarked_coalition_copy,4.2255,0.9849,18.20,0,,
wmcodec,2,25,chinese:SSB0043,1,mean,first_legitimate_watermarked_coalition_copy,4.2349,0.9834,17.68,0,,
