model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
audioseal,2,256,0,chinese:SSB0005,0,mean,"[22680, 44094]",22680,1,-7.845278739929199,-8.59654426574707,-0.7512655258178711,1,0,0,0
audioseal,2,1024,0,chinese:SSB0005,0,mean,"[22680, 44094]",22558,0,-7.845278739929199,-6.514177322387695,1.331101417541504,7,1,1,1
audioseal,2,4096,0,chinese:SSB0005,0,mean,"[22680, 44094]",63518,0,-7.845278739929199,-5.863288879394531,1.981989860534668,19,1,1,1
audioseal,2,16384,0,chinese:SSB0005,0,mean,"[22680, 44094]",30878,0,-7.845278739929199,-6.274087905883789,1.5711908340454102,59,1,1,1
audioseal,2,65536,0,chinese:SSB0005,0,mean,"[22680, 44094]",30750,0,-7.845278739929199,-5.782756805419922,2.0625219345092773,264,1,1,1
audioseal,2,256,0,chinese:SSB0005,0,fwp,"[22680, 44094]",22680,1,-7.845278739929199,-8.59654426574707,-0.7512655258178711,1,0,0,0
audioseal,2,1024,0,chinese:SSB0005,0,fwp,"[22680, 44094]",22558,0,-7.845278739929199,-6.514177322387695,1.331101417541504,7,1,1,1
audioseal,2,4096,0,chinese:SSB0005,0,fwp,"[22680, 44094]",63518,0,-7.845278739929199,-5.863288879394531,1.981989860534668,19,1,1,1
audioseal,2,16384,0,chinese:SSB0005,0,fwp,"[22680, 44094]",30878,0,-7.845278739929199,-6.274087905883789,1.5711908340454102,59,1,1,1
audioseal,2,65536,0,chinese:SSB0005,0,fwp,"[22680, 44094]",30750,0,-7.845278739929199,-5.782756805419922,2.0625219345092773,264,1,1,1
audioseal,2,256,1,chinese:SSB0005,1,mean,"[21159, 36034]",56007,0,-8.482163429260254,-7.034700870513916,1.447462558746338,5,1,1,0
audioseal,2,1024,1,chinese:SSB0005,1,mean,"[21159, 36034]",55511,0,-8.482163429260254,-8.180328369140625,0.3018350601196289,13,1,1,1
audioseal,2,4096,1,chinese:SSB0005,1,mean,"[21159, 36034]",36999,0,-8.482163429260254,-6.283862113952637,2.198301315307617,61,1,1,1
audioseal,2,16384,1,chinese:SSB0005,1,mean,"[21159, 36034]",55943,0,-8.482163429260254,-5.9997687339782715,2.4823946952819824,185,1,1,1
audioseal,2,65536,1,chinese:SSB0005,1,mean,"[21159, 36034]",53895,0,-8.482163429260254,-5.991645812988281,2.4905176162719727,773,1,1,1
audioseal,2,256,1,chinese:SSB0005,1,fwp,"[21159, 36034]",56007,0,-8.482163429260254,-7.034700870513916,1.447462558746338,5,1,1,0
audioseal,2,1024,1,chinese:SSB0005,1,fwp,"[21159, 36034]",55511,0,-8.482163429260254,-8.180328369140625,0.3018350601196289,13,1,1,1
audioseal,2,4096,1,chinese:SSB0005,1,fwp,"[21159, 36034]",36999,0,-8.482163429260254,-6.283862113952637,2.198301315307617,61,1,1,1
audioseal,2,16384,1,chinese:SSB0005,1,fwp,"[21159, 36034]",55943,0,-8.482163429260254,-5.9997687339782715,2.4823946952819824,185,1,1,1
audioseal,2,65536,1,chinese:SSB0005,1,fwp,"[21159, 36034]",53895,0,-8.482163429260254,-5.991645812988281,2.4905176162719727,773,1,1,1
audioseal,2,256,2,chinese:SSB0005,2,mean,"[7202, 38978]",38978,1,-5.449460983276367,-8.174213409423828,-2.724752426147461,1,0,0,0
audioseal,2,1024,2,chinese:SSB0005,2,mean,"[7202, 38978]",38978,1,-5.449460983276367,-5.74690580368042,-0.29744482040405273,1,0,0,0
audioseal,2,4096,2,chinese:SSB0005,2,mean,"[7202, 38978]",38978,1,-5.449460983276367,-5.7169389724731445,-0.26747798919677734,1,0,0,0
audioseal,2,16384,2,chinese:SSB0005,2,mean,"[7202, 38978]",6146,0,-5.449460983276367,-5.035459995269775,0.4140009880065918,2,1,0,0
audioseal,2,65536,2,chinese:SSB0005,2,mean,"[7202, 38978]",38914,0,-5.449460983276367,-4.520389556884766,0.9290714263916016,3,1,0,0
