model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
timbrewm,2,1024,0,chinese:SSB0005,0,mean,"[354, 688]",992,0,-5.359972953796387,-5.052401542663574,0.3075714111328125,30,1,1,1
timbrewm,2,1024,0,chinese:SSB0005,0,fwp,"[354, 688]",992,0,-5.359972953796387,-5.052401542663574,0.3075714111328125,30,1,1,1
timbrewm,2,1024,1,chinese:SSB0005,1,mean,"[330, 562]",810,0,-5.351875305175781,-5.264270305633545,0.08760499954223633,23,1,1,1
timbrewm,2,1024,1,chinese:SSB0005,1,fwp,"[330, 562]",810,0,-5.351875305175781,-5.264270305633545,0.08760499954223633,23,1,1,1
timbrewm,2,1024,2,chinese:SSB0005,2,mean,"[112, 609]",97,0,-4.230801105499268,-4.227365493774414,0.0034356117248535156,2,1,0,0
timbrewm,2,1024,2,chinese:SSB0005,2,fwp,"[112, 609]",97,0,-4.230801105499268,-4.227365493774414,0.0034356117248535156,2,1,0,0
timbrewm,2,1024,3,chinese:SSB0009,0,mean,"[642, 911]",907,0,-4.526916980743408,-4.426485061645508,0.10043191909790039,4,1,1,0
timbrewm,2,1024,3,chinese:SSB0009,0,fwp,"[642, 911]",907,0,-4.526916980743408,-4.426485061645508,0.10043191909790039,4,1,1,0
timbrewm,2,1024,4,chinese:SSB0009,1,mean,"[793, 991]",985,0,-4.472496032714844,-4.2812418937683105,0.1912541389465332,6,1,1,1
timbrewm,2,1024,4,chinese:SSB0009,1,fwp,"[793, 991]",985,0,-4.472496032714844,-4.2812418937683105,0.1912541389465332,6,1,1,1
timbrewm,2,1024,5,chinese:SSB0009,2,mean,"[580, 804]",772,0,-4.314115047454834,-4.29793643951416,0.016178607940673828,2,1,0,0
timbrewm,2,1024,5,chinese:SSB0009,2,fwp,"[580, 804]",772,0,-4.314115047454834,-4.29793643951416,0.016178607940673828,2,1,0,0
timbrewm,2,1024,6,chinese:SSB0011,0,mean,"[458, 720]",456,0,-4.8695969581604,-4.750650882720947,0.11894607543945312,9,1,1,1
timbrewm,2,1024,6,chinese:SSB0011,0,fwp,"[458, 720]",456,0,-4.8695969581604,-4.750650882720947,0.11894607543945312,9,1,1,1
timbrewm,2,1024,7,chinese:SSB0011,1,mean,"[470, 699]",475,0,-5.7703046798706055,-5.547595977783203,0.22270870208740234,59,1,1,1
timbrewm,2,1024,7,chinese:SSB0011,1,fwp,"[470, 699]",475,0,-5.7703046798706055,-5.547595977783203,0.22270870208740234,59,1,1,1
timbrewm,2,1024,8,chinese:SSB0011,2,mean,"[69, 906]",970,0,-5.7838616371154785,-5.748220443725586,0.03564119338989258,4,1,1,0
timbrewm,2,1024,8,chinese:SSB0011,2,fwp,"[69, 906]",970,0,-5.7838616371154785,-5.748220443725586,0.03564119338989258,4,1,1,0
timbrewm,2,1024,9,chinese:SSB0012,0,mean,"[137, 245]",237,0,-4.927509784698486,-4.756079196929932,0.1714305877685547,15,1,1,1
timbrewm,2,1024,9,chinese:SSB0012,0,fwp,"[137, 245]",237,0,-4.927509784698486,-4.756079196929932,0.1714305877685547,15,1,1,1
timbrewm,2,1024,10,chinese:SSB0012,1,mean,"[220, 793]",477,0,-5.210691928863525,-5.040598392486572,0.17009353637695312,18,1,1,1
timbrewm,2,1024,10,chinese:SSB0012,1,fwp,"[220, 793]",477,0,-5.210691928863525,-5.040598392486572,0.17009353637695312,18,1,1,1
timbrewm,2,1024,11,chinese:SSB0012,2,mean,"[307, 560]",304,0,-4.698193073272705,-4.506385803222656,0.19180727005004883,6,1,1,1
timbrewm,2,1024,11,chinese:SSB0012,2,fwp,"[307, 560]",304,0,-4.698193073272705,-4.506385803222656,0.19180727005004883,6,1,1,1
timbrewm,2,1024,12,chinese:SSB0016,0,mean,"[186, 481]",489,0,-5.028726577758789,-4.956747055053711,0.07197952270507812,3,1,0,0
timbrewm,2,1024,12,chinese:SSB0016,0,fwp,"[186, 481]",489,0,-5.028726577758789,-4.956747055053711,0.07197952270507812,3,1,0,0
timbrewm,2,1024,13,chinese:SSB0016,1,mean,"[10, 320]",264,0,-4.52775764465332,-4.386922359466553,0.14083528518676758,4,1,1,0
timbrewm,2,1024,13,chinese:SSB0016,1,fwp,"[10, 320]",264,0,-4.52775764465332,-4.386922359466553,0.14083528518676758,4,1,1,0
timbrewm,2,1024,14,chinese:SSB0016,2,mean,"[260, 278]",260,1,-3.9041125774383545,-4.031149864196777,-0.12703728675842285,1,0,0,0
timbrewm,2,1024,14,chinese:SSB0016,2,fwp,"[260, 278]",260,1,-3.9041125774383545,-4.031149864196777,-0.12703728675842285,1,0,0,0
timbrewm,2,1024,15,chinese:SSB0018,0,mean,"[244, 382]",508,0,-4.754404544830322,-4.540213108062744,0.21419143676757812,6,1,1,1
timbrewm,2,1024,15,chinese:SSB0018,0,fwp,"[244, 382]",508,0,-4.754404544830322,-4.540213108062744,0.21419143676757812,6,1,1,1
timbrewm,2,1024,16,chinese:SSB0018,1,mean,"[278, 757]",436,0,-5.795889854431152,-5.676935195922852,0.11895465850830078,26,1,1,1
timbrewm,2,1024,16,chinese:SSB0018,1,fwp,"[278, 757]",436,0,-5.795889854431152,-5.676935195922852,0.11895465850830078,26,1,1,1
timbrewm,2,1024,17,chinese:SSB0018,2,mean,"[240, 252]",248,0,-3.9461538791656494,-3.893282175064087,0.0528717041015625,2,1,0,0
timbrewm,2,1024,17,chinese:SSB0018,2,fwp,"[240, 252]",248,0,-3.9461538791656494,-3.893282175064087,0.0528717041015625,2,1,0,0
timbrewm,2,1024,18,chinese:SSB0033,0,mean,"[474, 905]",457,0,-4.807164192199707,-4.620757579803467,0.18640661239624023,9,1,1,1
timbrewm,2,1024,18,chinese:SSB0033,0,fwp,"[474, 905]",457,0,-4.807164192199707,-4.620757579803467,0.18640661239624023,9,1,1,1
timbrewm,2,1024,19,chinese:SSB0033,1,mean,"[555, 772]",809,0,-5.406698703765869,-5.025282382965088,0.38141632080078125,32,1,1,1
timbrewm,2,1024,19,chinese:SSB0033,1,fwp,"[555, 772]",809,0,-5.406698703765869,-5.025282382965088,0.38141632080078125,32,1,1,1
timbrewm,2,1024,20,chinese:SSB0033,2,mean,"[265, 943]",397,0,-4.821606636047363,-4.638120651245117,0.1834859848022461,13,1,1,1
