model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
voicemark,3,256,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",22380,1,-7.4443240612745285,-10.249793618917465,-2.8054695576429367,1,0,0,0
voicemark,3,1024,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",22380,1,-7.4443240612745285,-11.572774305939674,-4.128450244665146,1,0,0,0
voicemark,3,4096,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",22291,0,-7.4443240612745285,-3.8775592744350433,3.566764786839485,3,1,0,0
voicemark,3,16384,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",22428,0,-7.4443240612745285,-1.9278140515089035,5.516510009765625,15,1,1,1
voicemark,3,65536,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",22300,0,-7.4443240612745285,-1.6252455562353134,5.819078505039215,44,1,1,1
voicemark,3,256,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",22380,1,-17.606860214378685,-22.782262287037156,-5.175402072658471,1,0,0,0
voicemark,3,1024,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",23870,0,-17.606860214378685,-17.427269759587944,0.1795904547907412,2,1,0,0
voicemark,3,4096,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",22418,0,-17.606860214378685,-12.285840927557729,5.321019286820956,5,1,1,0
voicemark,3,16384,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",38814,0,-17.606860214378685,-2.2728541362375836,15.334006078141101,20,1,1,1
voicemark,3,65536,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",22430,0,-17.606860214378685,-0.12787654430576367,17.47898367007292,82,1,1,1
voicemark,3,256,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",29991,1,-14.728000238541199,-21.155450135472847,-6.427449896931648,1,0,0,0
voicemark,3,1024,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",29991,1,-14.728000238541199,-15.66011905670507,-0.9321188181638718,1,0,0,0
voicemark,3,4096,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",39975,0,-14.728000238541199,-10.864469040421454,3.8635311981197447,5,1,1,0
voicemark,3,16384,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",31799,0,-14.728000238541199,-0.234234903243987,14.493765335297212,13,1,1,1
voicemark,3,65536,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",31799,0,-14.728000238541199,-0.234234903243987,14.493765335297212,47,1,1,1
voicemark,3,256,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",29991,1,-12.190536685299776,-24.31603056937456,-12.125493884074785,1,0,0,0
voicemark,3,1024,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",29991,1,-12.190536685299776,-17.5250602119022,-5.334523526602425,1,0,0,0
voicemark,3,4096,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",38919,0,-12.190536685299776,-7.121327912097513,5.069208773202263,2,1,0,0
voicemark,3,16384,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",38151,0,-12.190536685299776,-2.5656579636388415,9.624878721660934,7,1,1,1
voicemark,3,65536,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",29959,0,-12.190536685299776,-0.09343848902517493,12.097098196274601,15,1,1,1
voicemark,3,256,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",4106,0,-26.79428680807905,-24.014017185276316,2.7802696228027344,3,1,0,0
voicemark,3,1024,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",5385,0,-26.79428680807905,-12.0812280114842,14.71305879659485,8,1,1,1
voicemark,3,4096,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",5377,0,-26.79428680807905,-4.974600070352608,21.819686737726443,35,1,1,1
voicemark,3,16384,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",5377,0,-26.79428680807905,-4.974600070352608,21.819686737726443,170,1,1,1
voicemark,3,65536,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",5383,0,-26.79428680807905,-0.017841142798715737,26.776445665280335,647,1,1,1
voicemark,3,256,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",59937,1,-11.696122425841168,-15.29238224029541,-3.5962598144542426,1,0,0,0
