model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
wavmark,2,256,0,chinese:SSB0005,0,mean,"[22680, 44094]",52414,0,-2.0,-1.0,1.0,2,1,1,0
wavmark,2,1024,0,chinese:SSB0005,0,mean,"[22680, 44094]",27838,0,-2.0,-1.0,1.0,2,1,0,0
wavmark,2,4096,0,chinese:SSB0005,0,mean,"[22680, 44094]",64702,0,-2.0,-1.0,1.0,3,1,1,1
wavmark,2,16384,0,chinese:SSB0005,0,mean,"[22680, 44094]",60670,0,-2.0,-1.0,1.0,4,1,1,1
wavmark,2,65536,0,chinese:SSB0005,0,mean,"[22680, 44094]",60606,0,-2.0,-0.0,2.0,18,1,1,1
wavmark,2,256,0,chinese:SSB0005,0,fwp,"[22680, 44094]",52414,0,-2.0,-1.0,1.0,2,1,1,0
wavmark,2,1024,0,chinese:SSB0005,0,fwp,"[22680, 44094]",27838,0,-2.0,-1.0,1.0,2,1,0,0
wavmark,2,4096,0,chinese:SSB0005,0,fwp,"[22680, 44094]",64702,0,-2.0,-1.0,1.0,3,1,1,1
wavmark,2,16384,0,chinese:SSB0005,0,fwp,"[22680, 44094]",60670,0,-2.0,-1.0,1.0,4,1,1,1
wavmark,2,65536,0,chinese:SSB0005,0,fwp,"[22680, 44094]",60606,0,-2.0,-0.0,2.0,18,1,1,1
wavmark,2,256,1,chinese:SSB0005,1,mean,"[21159, 36034]",60135,0,-4.0,-3.0,1.0,4,1,1,1
wavmark,2,1024,1,chinese:SSB0005,1,mean,"[21159, 36034]",40167,0,-4.0,-2.0,2.0,15,1,1,1
wavmark,2,4096,1,chinese:SSB0005,1,mean,"[21159, 36034]",34535,0,-4.0,-1.0,3.0,48,1,1,1
wavmark,2,16384,1,chinese:SSB0005,1,mean,"[21159, 36034]",44775,0,-4.0,-1.0,3.0,158,1,1,1
wavmark,2,65536,1,chinese:SSB0005,1,mean,"[21159, 36034]",36583,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,1,chinese:SSB0005,1,fwp,"[21159, 36034]",60135,0,-4.0,-3.0,1.0,4,1,1,1
wavmark,2,1024,1,chinese:SSB0005,1,fwp,"[21159, 36034]",40167,0,-4.0,-2.0,2.0,15,1,1,1
wavmark,2,4096,1,chinese:SSB0005,1,fwp,"[21159, 36034]",34535,0,-4.0,-1.0,3.0,48,1,1,1
wavmark,2,16384,1,chinese:SSB0005,1,fwp,"[21159, 36034]",44775,0,-4.0,-1.0,3.0,158,1,1,1
wavmark,2,65536,1,chinese:SSB0005,1,fwp,"[21159, 36034]",36583,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,2,chinese:SSB0005,2,mean,"[7202, 38978]",38978,1,-2.0,-3.0,-1.0,1,0,0,0
wavmark,2,1024,2,chinese:SSB0005,2,mean,"[7202, 38978]",40166,0,-2.0,-2.0,0.0,1,1,0,0
wavmark,2,4096,2,chinese:SSB0005,2,mean,"[7202, 38978]",56418,0,-2.0,-1.0,1.0,3,1,1,1
wavmark,2,16384,2,chinese:SSB0005,2,mean,"[7202, 38978]",48226,0,-2.0,-1.0,1.0,6,1,1,1
wavmark,2,65536,2,chinese:SSB0005,2,mean,"[7202, 38978]",40034,0,-2.0,-0.0,2.0,18,1,1,1
wavmark,2,256,2,chinese:SSB0005,2,fwp,"[7202, 38978]",38978,1,-2.0,-3.0,-1.0,1,0,0,0
wavmark,2,1024,2,chinese:SSB0005,2,fwp,"[7202, 38978]",40166,0,-2.0,-2.0,0.0,1,1,0,0
wavmark,2,4096,2,chinese:SSB0005,2,fwp,"[7202, 38978]",56418,0,-2.0,-1.0,1.0,3,1,1,1
wavmark,2,16384,2,chinese:SSB0005,2,fwp,"[7202, 38978]",48226,0,-2.0,-1.0,1.0,6,1,1,1
wavmark,2,65536,2,chinese:SSB0005,2,fwp,"[7202, 38978]",40034,0,-2.0,-0.0,2.0,18,1,1,1
wavmark,2,256,3,chinese:SSB0009,0,mean,"[41136, 58416]",58416,1,-1.0,-3.0,-2.0,1,0,0,0
wavmark,2,1024,3,chinese:SSB0009,0,mean,"[41136, 58416]",58416,1,-1.0,-2.0,-1.0,1,0,0,0
wavmark,2,4096,3,chinese:SSB0009,0,mean,"[41136, 58416]",59056,0,-1.0,-1.0,0.0,1,1,0,0
wavmark,2,16384,3,chinese:SSB0009,0,mean,"[41136, 58416]",60592,0,-1.0,-1.0,0.0,1,1,0,0
wavmark,2,65536,3,chinese:SSB0009,0,mean,"[41136, 58416]",58544,0,-1.0,-0.0,1.0,2,1,1,1
wavmark,2,256,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58416,1,-1.0,-3.0,-2.0,1,0,0,0
wavmark,2,1024,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58416,1,-1.0,-2.0,-1.0,1,0,0,0
wavmark,2,4096,3,chinese:SSB0009,0,fwp,"[41136, 58416]",59056,0,-1.0,-1.0,0.0,1,1,0,0
wavmark,2,16384,3,chinese:SSB0009,0,fwp,"[41136, 58416]",60592,0,-1.0,-1.0,0.0,1,1,0,0
wavmark,2,65536,3,chinese:SSB0009,0,fwp,"[41136, 58416]",58544,0,-1.0,-0.0,1.0,2,1,1,1
wavmark,2,256,4,chinese:SSB0009,1,mean,"[50792, 63537]",31353,0,-4.0,-2.0,2.0,4,1,1,0
wavmark,2,1024,4,chinese:SSB0009,1,mean,"[50792, 63537]",65129,0,-4.0,-1.0,3.0,12,1,1,1
wavmark,2,4096,4,chinese:SSB0009,1,mean,"[50792, 63537]",65148,0,-4.0,-2.0,2.0,48,1,1,1
wavmark,2,16384,4,chinese:SSB0009,1,mean,"[50792, 63537]",65129,0,-4.0,-1.0,3.0,175,1,1,1
wavmark,2,65536,4,chinese:SSB0009,1,mean,"[50792, 63537]",65145,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,4,chinese:SSB0009,1,fwp,"[50792, 63537]",31353,0,-4.0,-2.0,2.0,4,1,1,0
wavmark,2,1024,4,chinese:SSB0009,1,fwp,"[50792, 63537]",65129,0,-4.0,-1.0,3.0,12,1,1,1
wavmark,2,4096,4,chinese:SSB0009,1,fwp,"[50792, 63537]",65148,0,-4.0,-2.0,2.0,48,1,1,1
wavmark,2,16384,4,chinese:SSB0009,1,fwp,"[50792, 63537]",65129,0,-4.0,-1.0,3.0,175,1,1,1
wavmark,2,65536,4,chinese:SSB0009,1,fwp,"[50792, 63537]",65145,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,5,chinese:SSB0009,2,mean,"[37200, 51471]",53327,0,-3.0,-3.0,0.0,1,1,0,0
wavmark,2,1024,5,chinese:SSB0009,2,mean,"[37200, 51471]",55771,0,-3.0,-2.0,1.0,2,1,1,1
wavmark,2,4096,5,chinese:SSB0009,2,mean,"[37200, 51471]",55631,0,-3.0,-1.0,2.0,14,1,1,1
wavmark,2,16384,5,chinese:SSB0009,2,mean,"[37200, 51471]",63839,0,-3.0,-1.0,2.0,39,1,1,1
wavmark,2,65536,5,chinese:SSB0009,2,mean,"[37200, 51471]",55647,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,5,chinese:SSB0009,2,fwp,"[37200, 51471]",53327,0,-3.0,-3.0,0.0,1,1,0,0
wavmark,2,1024,5,chinese:SSB0009,2,fwp,"[37200, 51471]",55771,0,-3.0,-2.0,1.0,2,1,1,1
wavmark,2,4096,5,chinese:SSB0009,2,fwp,"[37200, 51471]",55631,0,-3.0,-1.0,2.0,14,1,1,1
wavmark,2,16384,5,chinese:SSB0009,2,fwp,"[37200, 51471]",63839,0,-3.0,-1.0,2.0,39,1,1,1
wavmark,2,65536,5,chinese:SSB0009,2,fwp,"[37200, 51471]",55647,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,6,chinese:SSB0011,0,mean,"[29367, 46138]",46138,1,-3.0,-4.0,-1.0,1,0,0,0
wavmark,2,1024,6,chinese:SSB0011,0,mean,"[29367, 46138]",49086,0,-3.0,-2.0,1.0,4,1,1,1
wavmark,2,4096,6,chinese:SSB0011,0,mean,"[29367, 46138]",46778,0,-3.0,-1.0,2.0,14,1,1,1
wavmark,2,16384,6,chinese:SSB0011,0,mean,"[29367, 46138]",63166,0,-3.0,-1.0,2.0,30,1,1,1
wavmark,2,65536,6,chinese:SSB0011,0,mean,"[29367, 46138]",46782,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,6,chinese:SSB0011,0,fwp,"[29367, 46138]",46138,1,-3.0,-4.0,-1.0,1,0,0,0
wavmark,2,1024,6,chinese:SSB0011,0,fwp,"[29367, 46138]",49086,0,-3.0,-2.0,1.0,4,1,1,1
wavmark,2,4096,6,chinese:SSB0011,0,fwp,"[29367, 46138]",46778,0,-3.0,-1.0,2.0,14,1,1,1
wavmark,2,16384,6,chinese:SSB0011,0,fwp,"[29367, 46138]",63166,0,-3.0,-1.0,2.0,30,1,1,1
wavmark,2,65536,6,chinese:SSB0011,0,fwp,"[29367, 46138]",46782,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,7,chinese:SSB0011,1,mean,"[30097, 44805]",44805,1,-3.0,-3.0,0.0,1,0,0,0
wavmark,2,1024,7,chinese:SSB0011,1,mean,"[30097, 44805]",48661,0,-3.0,-2.0,1.0,6,1,1,1
wavmark,2,4096,7,chinese:SSB0011,1,mean,"[30097, 44805]",49044,0,-3.0,-1.0,2.0,6,1,1,1
wavmark,2,16384,7,chinese:SSB0011,1,mean,"[30097, 44805]",65429,0,-3.0,-1.0,2.0,29,1,1,1
wavmark,2,65536,7,chinese:SSB0011,1,mean,"[30097, 44805]",49045,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,7,chinese:SSB0011,1,fwp,"[30097, 44805]",44805,1,-3.0,-3.0,0.0,1,0,0,0
wavmark,2,1024,7,chinese:SSB0011,1,fwp,"[30097, 44805]",48661,0,-3.0,-2.0,1.0,6,1,1,1
wavmark,2,4096,7,chinese:SSB0011,1,fwp,"[30097, 44805]",49044,0,-3.0,-1.0,2.0,6,1,1,1
wavmark,2,16384,7,chinese:SSB0011,1,fwp,"[30097, 44805]",65429,0,-3.0,-1.0,2.0,29,1,1,1
wavmark,2,65536,7,chinese:SSB0011,1,fwp,"[30097, 44805]",49045,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,8,chinese:SSB0011,2,mean,"[4419, 58056]",15306,0,-4.0,-2.0,2.0,5,1,1,1
wavmark,2,1024,8,chinese:SSB0011,2,mean,"[4419, 58056]",46031,0,-4.0,-2.0,2.0,11,1,1,1
wavmark,2,4096,8,chinese:SSB0011,2,mean,"[4419, 58056]",46027,0,-4.0,-1.0,3.0,54,1,1,1
wavmark,2,16384,8,chinese:SSB0011,2,mean,"[4419, 58056]",62410,0,-4.0,-1.0,3.0,182,1,1,1
wavmark,2,65536,8,chinese:SSB0011,2,mean,"[4419, 58056]",46026,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,8,chinese:SSB0011,2,fwp,"[4419, 58056]",15306,0,-4.0,-2.0,2.0,5,1,1,1
wavmark,2,1024,8,chinese:SSB0011,2,fwp,"[4419, 58056]",46031,0,-4.0,-2.0,2.0,11,1,1,1
wavmark,2,4096,8,chinese:SSB0011,2,fwp,"[4419, 58056]",46027,0,-4.0,-1.0,3.0,54,1,1,1
wavmark,2,16384,8,chinese:SSB0011,2,fwp,"[4419, 58056]",62410,0,-4.0,-1.0,3.0,182,1,1,1
wavmark,2,65536,8,chinese:SSB0011,2,fwp,"[4419, 58056]",46026,0,-4.0,-0.0,4.0,698,1,1,1
wavmark,2,256,9,chinese:SSB0012,0,mean,"[8824, 15713]",44923,0,-3.0,-3.0,0.0,1,1,0,0
wavmark,2,1024,9,chinese:SSB0012,0,mean,"[8824, 15713]",11642,0,-3.0,-2.0,1.0,6,1,1,1
wavmark,2,4096,9,chinese:SSB0012,0,mean,"[8824, 15713]",11577,0,-3.0,-1.0,2.0,9,1,1,1
wavmark,2,16384,9,chinese:SSB0012,0,mean,"[8824, 15713]",11633,0,-3.0,-1.0,2.0,46,1,1,1
wavmark,2,65536,9,chinese:SSB0012,0,mean,"[8824, 15713]",11641,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,9,chinese:SSB0012,0,fwp,"[8824, 15713]",44923,0,-3.0,-3.0,0.0,1,1,0,0
wavmark,2,1024,9,chinese:SSB0012,0,fwp,"[8824, 15713]",11642,0,-3.0,-2.0,1.0,6,1,1,1
wavmark,2,4096,9,chinese:SSB0012,0,fwp,"[8824, 15713]",11577,0,-3.0,-1.0,2.0,9,1,1,1
wavmark,2,16384,9,chinese:SSB0012,0,fwp,"[8824, 15713]",11633,0,-3.0,-1.0,2.0,46,1,1,1
wavmark,2,65536,9,chinese:SSB0012,0,fwp,"[8824, 15713]",11641,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,10,chinese:SSB0012,1,mean,"[14127, 50757]",44399,0,-3.0,-2.0,1.0,5,1,1,1
wavmark,2,1024,10,chinese:SSB0012,1,mean,"[14127, 50757]",42575,0,-3.0,-2.0,1.0,3,1,1,1
wavmark,2,4096,10,chinese:SSB0012,1,mean,"[14127, 50757]",42991,0,-3.0,-1.0,2.0,8,1,1,1
wavmark,2,16384,10,chinese:SSB0012,1,mean,"[14127, 50757]",42862,0,-3.0,-1.0,2.0,29,1,1,1
wavmark,2,65536,10,chinese:SSB0012,1,mean,"[14127, 50757]",42863,0,-3.0,-0.0,3.0,138,1,1,1
wavmark,2,256,10,chinese:SSB0012,1,fwp,"[14127, 50757]",44399,0,-3.0,-2.0,1.0,5,1,1,1
wavmark,2,1024,10,chinese:SSB0012,1,fwp,"[14127, 50757]",42575,0,-3.0,-2.0,1.0,3,1,1,1
wavmark,2,4096,10,chinese:SSB0012,1,fwp,"[14127, 50757]",42991,0,-3.0,-1.0,2.0,8,1,1,1
