model,K,N_registry,trial_id,spk,local_t,method,colluder_ids,top1_identity,top1_is_colluder,max_colluder_score,max_noncolluder_score,attribution_margin,best_colluder_rank,ASR,R3_escape,R5_escape
wmcodec,3,256,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",59192,0,-26.474830944323912,-23.431104734092514,3.043726210231398,3,1,0,0
wmcodec,3,1024,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",1899,0,-26.474830944323912,-13.827831614995375,12.646999329328537,25,1,1,1
wmcodec,3,4096,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",58213,0,-26.474830944323912,-8.539069420909073,17.93576152341484,80,1,1,1
wmcodec,3,16384,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",59291,0,-26.474830944323912,-6.5973759736116335,19.87745497071228,317,1,1,1
wmcodec,3,65536,0,chinese:SSB0005,0,mean,"[22380, 40286, 59923]",59243,0,-26.474830944323912,-0.1665652892734215,26.30826565505049,1173,1,1,1
wmcodec,3,256,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",27611,0,-25.59458699822426,-13.77823264664039,11.816354351583868,14,1,1,1
wmcodec,3,1024,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",59973,0,-25.59458699822426,-9.697013825178146,15.897573173046112,63,1,1,1
wmcodec,3,4096,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",25573,0,-25.59458699822426,-2.321515095885843,23.273071902338415,283,1,1,1
wmcodec,3,16384,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",27157,0,-25.59458699822426,-2.705839318688959,22.8887476795353,1096,1,1,1
wmcodec,3,65536,0,chinese:SSB0005,0,fwp,"[22380, 40286, 59923]",27349,0,-25.59458699822426,-1.4838664955459535,24.110720502678305,4438,1,1,1
wmcodec,3,256,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",29991,1,-14.174568486167118,-14.618798880692339,-0.4442303945252206,1,0,0,0
wmcodec,3,1024,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",32423,0,-14.174568486167118,-6.860050487186527,7.314517998980591,3,1,0,0
wmcodec,3,4096,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",28834,0,-14.174568486167118,-0.6262971450050827,13.548271341162035,5,1,1,0
wmcodec,3,16384,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",28834,0,-14.174568486167118,-0.6262971450050827,13.548271341162035,30,1,1,1
wmcodec,3,65536,1,chinese:SSB0005,1,mean,"[2112, 9383, 29991]",28834,0,-14.174568486167118,-0.6262971450050827,13.548271341162035,110,1,1,1
wmcodec,3,256,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",55716,0,-22.992841362953186,-9.066369522828609,13.926471840124577,6,1,1,1
wmcodec,3,1024,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",10561,0,-22.992841362953186,-6.7375811715610325,16.255260191392154,25,1,1,1
wmcodec,3,4096,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",55626,0,-22.992841362953186,-0.44687119172886014,22.545970171224326,72,1,1,1
wmcodec,3,16384,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",55618,0,-22.992841362953186,-4.292337336111814,18.700504026841372,306,1,1,1
wmcodec,3,65536,1,chinese:SSB0005,1,fwp,"[2112, 9383, 29991]",55626,0,-22.992841362953186,-0.44687119172886014,22.545970171224326,1185,1,1,1
wmcodec,3,256,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",9867,1,-1.4374876860529184,-17.83044198155403,-16.392954295501113,1,0,0,0
wmcodec,3,1024,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",9867,1,-1.4374876860529184,-12.864483788609505,-11.426996102556586,1,0,0,0
wmcodec,3,4096,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",9867,1,-1.4374876860529184,-7.249349907040596,-5.811862220987678,1,0,0,0
wmcodec,3,16384,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",9867,1,-1.4374876860529184,-6.945862093940377,-5.508374407887459,1,0,0,0
wmcodec,3,65536,2,chinese:SSB0005,2,mean,"[7177, 9867, 59937]",30347,0,-1.4374876860529184,-0.6245404426008463,0.8129472434520721,2,1,0,0
wmcodec,3,256,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",59937,1,-8.112076103687286,-14.599952958524227,-6.487876854836941,1,0,0,0
wmcodec,3,1024,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",60052,0,-8.112076103687286,-7.951427064836025,0.16064903885126114,2,1,0,0
wmcodec,3,4096,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",27684,0,-8.112076103687286,-4.777251813560724,3.334824290126562,6,1,1,1
wmcodec,3,16384,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",60564,0,-8.112076103687286,-4.88423028960824,3.2278458140790462,16,1,1,1
wmcodec,3,65536,2,chinese:SSB0005,2,fwp,"[7177, 9867, 59937]",60660,0,-8.112076103687286,-0.9122384823858738,7.199837621301413,77,1,1,1
wmcodec,3,256,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",38624,1,-4.167667127359891,-15.461727492511272,-11.294060365151381,1,0,0,0
wmcodec,3,1024,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",38624,1,-4.167667127359891,-12.70577322691679,-8.538106099556899,1,0,0,0
wmcodec,3,4096,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",38624,1,-4.167667127359891,-9.379283054877305,-5.211615927517414,1,0,0,0
wmcodec,3,16384,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",38613,0,-4.167667127359891,-0.6861585594306234,3.481508567929268,3,1,0,0
wmcodec,3,65536,3,chinese:SSB0009,0,mean,"[1248, 38624, 42608]",38613,0,-4.167667127359891,-0.6861585594306234,3.481508567929268,5,1,1,0
wmcodec,3,256,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",42608,1,-15.608415490712105,-27.746557831790597,-12.138142341078492,1,0,0,0
wmcodec,3,1024,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",42592,0,-15.608415490712105,-4.590496114219604,11.0179193764925,3,1,0,0
wmcodec,3,4096,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",26213,0,-15.608415490712105,-12.252184792448134,3.356230698263971,3,1,0,0
wmcodec,3,16384,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",42597,0,-15.608415490712105,-0.020641496169446327,15.587773994542658,8,1,1,1
wmcodec,3,65536,3,chinese:SSB0009,0,fwp,"[1248, 38624, 42608]",42597,0,-15.608415490712105,-0.020641496169446327,15.587773994542658,33,1,1,1
wmcodec,3,256,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",34715,1,-6.410126296187627,-13.922306530260357,-7.51218023407273,1,0,0,0
wmcodec,3,1024,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",34715,1,-6.410126296187627,-12.70348462214588,-6.293358325958252,1,0,0,0
wmcodec,3,4096,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",34155,0,-6.410126296187627,-6.249301885570276,0.16082441061735153,2,1,0,0
wmcodec,3,16384,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",34715,1,-6.410126296187627,-6.545693849529016,-0.1355675533413887,1,0,0,0
wmcodec,3,65536,4,chinese:SSB0009,1,mean,"[10612, 34715, 50101]",34667,0,-6.410126296187627,-0.18089607110141515,6.229230225086212,8,1,1,1
wmcodec,3,256,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",65019,0,-8.97598434239626,-6.516168192028999,2.45981615036726,2,1,0,0
wmcodec,3,1024,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",36340,0,-8.97598434239626,-5.327923618257046,3.6480607241392136,3,1,0,0
wmcodec,3,4096,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",36251,0,-8.97598434239626,-4.442877791821957,4.533106550574303,9,1,1,1
wmcodec,3,16384,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",36309,0,-8.97598434239626,-3.0463422760367393,5.92964206635952,33,1,1,1
wmcodec,3,65536,4,chinese:SSB0009,1,fwp,"[10612, 34715, 50101]",36347,0,-8.97598434239626,-1.155794583261013,7.820189759135246,153,1,1,1
wmcodec,3,256,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",29886,0,-15.286072475515539,-13.061131368391216,2.224941107124323,2,1,0,0
wmcodec,3,1024,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",38079,0,-15.286072475515539,-8.7304136636958,6.55565881181974,3,1,0,0
wmcodec,3,4096,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",38076,0,-15.286072475515539,-2.939221132110106,12.346851343405433,10,1,1,1
wmcodec,3,16384,5,chinese:SSB0009,2,mean,"[31053, 38586, 42068]",38069,0,-15.286072475515539,-0.8867939594492782,14.39927851606626,42,1,1,1
