model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0005,0,0,rp,1,1,1,14,0.8750,0.625000,4.5575,0.9987,32.83
audioseal,5,chinese:SSB0005,1,1,rp,1,1,1,13,0.8125,0.562500,4.5807,0.9991,32.81
audioseal,5,chinese:SSB0005,2,2,rp,1,1,1,12,0.7500,0.437500,4.6042,0.9996,36.95
audioseal,5,chinese:SSB0009,0,3,rp,1,1,1,12,0.7500,0.437500,4.5159,0.9990,29.44
audioseal,5,chinese:SSB0009,1,4,rp,1,1,1,12,0.7500,0.437500,4.5722,0.9995,32.29
audioseal,5,chinese:SSB0009,2,5,rp,1,1,0,15,0.9375,0.625000,4.5487,0.9993,30.10
audioseal,5,chinese:SSB0011,0,6,rp,1,1,1,13,0.8125,0.562500,4.4959,0.9975,29.82
audioseal,5,chinese:SSB0011,1,7,rp,1,1,1,13,0.8125,0.500000,4.4726,0.9977,30.52
audioseal,5,chinese:SSB0011,2,8,rp,1,1,1,14,0.8750,0.687500,4.4663,0.9971,29.43
audioseal,5,chinese:SSB0012,0,9,rp,1,1,1,14,0.8750,0.625000,4.6181,0.9998,38.04
audioseal,5,chinese:SSB0012,1,10,rp,1,1,1,13,0.8125,0.500000,4.5963,0.9994,35.00
audioseal,5,chinese:SSB0012,2,11,rp,1,1,1,13,0.8125,0.562500,4.5514,0.9987,30.48
audioseal,5,chinese:SSB0016,0,12,rp,1,1,1,13,0.8125,0.375000,4.5565,0.9987,32.70
audioseal,5,chinese:SSB0016,1,13,rp,1,1,1,13,0.8125,0.500000,4.4474,0.9967,28.04
audioseal,5,chinese:SSB0016,2,14,rp,1,1,1,13,0.8125,0.562500,4.5822,0.9990,34.74
audioseal,5,chinese:SSB0018,0,15,rp,1,1,1,12,0.7500,0.375000,4.5343,0.9992,31.66
audioseal,5,chinese:SSB0018,1,16,rp,1,1,1,12,0.7500,0.312500,4.5464,0.9992,32.57
audioseal,5,chinese:SSB0018,2,17,rp,1,1,1,11,0.6875,0.312500,4.5486,0.9992,32.47
audioseal,5,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.500000,4.5915,0.9997,41.09
audioseal,5,chinese:SSB0033,1,19,rp,1,1,1,13,0.8125,0.562500,4.5493,0.9991,37.31
audioseal,5,chinese:SSB0033,2,20,rp,1,1,1,15,0.9375,0.750000,4.6245,0.9999,47.23
audioseal,5,chinese:SSB0038,0,21,rp,1,1,1,11,0.6875,0.375000,4.5974,0.9991,35.41
audioseal,5,chinese:SSB0038,1,22,rp,1,1,1,12,0.7500,0.375000,4.5575,0.9982,30.84
audioseal,5,chinese:SSB0038,2,23,rp,1,1,1,13,0.8125,0.437500,4.5510,0.9981,31.14
audioseal,5,chinese:SSB0043,0,24,rp,1,1,1,11,0.6875,0.125000,4.4855,0.9980,30.21
audioseal,5,chinese:SSB0043,1,25,rp,1,1,1,14,0.8750,0.500000,4.5224,0.9987,33.17
audioseal,5,chinese:SSB0043,2,26,rp,1,1,1,11,0.6875,0.312500,4.5306,0.9985,33.28
audioseal,5,chinese:SSB0057,0,27,rp,0,0,0,16,1.0000,0.625000,4.5697,0.9976,33.20
audioseal,5,chinese:SSB0057,1,28,rp,0,0,0,16,1.0000,0.687500,4.6332,0.9998,43.22
audioseal,5,chinese:SSB0057,2,29,rp,1,1,1,12,0.7500,0.375000,4.5529,0.9983,35.15
audioseal,5,chinese:SSB0073,0,30,rp,1,1,1,13,0.8125,0.500000,4.5933,0.9997,29.86
audioseal,5,chinese:SSB0073,1,31,rp,1,1,1,12,0.7500,0.375000,4.6017,0.9998,33.71
audioseal,5,chinese:SSB0073,2,32,rp,1,0,0,15,0.9375,0.625000,4.6190,0.9999,37.28
audioseal,5,chinese:SSB0080,0,33,rp,1,1,1,14,0.8750,0.375000,4.5906,0.9991,34.57
audioseal,5,chinese:SSB0080,1,34,rp,1,1,1,11,0.6875,0.312500,4.5923,0.9985,30.43
audioseal,5,chinese:SSB0080,2,35,rp,1,1,1,13,0.8125,0.562500,4.5374,0.9978,28.72
audioseal,5,chinese:SSB0112,0,36,rp,1,1,1,13,0.8125,0.500000,4.5909,0.9994,31.57
audioseal,5,chinese:SSB0112,1,37,rp,1,1,1,13,0.8125,0.500000,4.5789,0.9994,30.42
audioseal,5,chinese:SSB0112,2,38,rp,1,1,1,14,0.8750,0.625000,4.5287,0.9977,26.05
audioseal,5,chinese:SSB0122,0,39,rp,1,1,1,14,0.8750,0.500000,4.5632,0.9990,33.54
audioseal,5,chinese:SSB0122,1,40,rp,1,1,1,13,0.8125,0.250000,4.5616,0.9991,30.40
audioseal,5,chinese:SSB0122,2,41,rp,1,1,1,13,0.8125,0.437500,4.6022,0.9996,35.59
audioseal,5,chinese:SSB0133,0,42,rp,1,1,1,12,0.7500,0.437500,4.5229,0.9977,33.83
audioseal,5,chinese:SSB0133,1,43,rp,1,1,1,13,0.8125,0.375000,4.5369,0.9984,33.38
audioseal,5,chinese:SSB0133,2,44,rp,1,1,1,11,0.6875,0.437500,4.4738,0.9975,33.91
audioseal,5,chinese:SSB0139,0,45,rp,1,1,1,13,0.8125,0.500000,4.5618,0.9996,31.36
audioseal,5,chinese:SSB0139,1,46,rp,1,1,1,13,0.8125,0.562500,4.5920,0.9999,36.18
audioseal,5,chinese:SSB0139,2,47,rp,1,1,1,13,0.8125,0.500000,4.5715,0.9997,32.09
audioseal,5,chinese:SSB0145,0,48,rp,1,1,1,13,0.8125,0.437500,4.5695,0.9990,31.76
audioseal,5,chinese:SSB0145,1,49,rp,1,1,1,12,0.7500,0.437500,4.5357,0.9984,29.06
audioseal,5,chinese:SSB0145,2,50,rp,1,1,1,10,0.6250,0.250000,4.5931,0.9995,34.85
audioseal,5,chinese:SSB0149,0,51,rp,1,1,1,13,0.8125,0.312500,4.5999,0.9997,37.21
audioseal,5,chinese:SSB0149,1,52,rp,1,1,1,13,0.8125,0.375000,4.5806,0.9996,30.60
audioseal,5,chinese:SSB0149,2,53,rp,1,1,1,10,0.6250,0.312500,4.6048,0.9997,34.78
audioseal,5,chinese:SSB0193,0,54,rp,1,1,1,13,0.8125,0.437500,4.5166,0.9990,27.85
audioseal,5,chinese:SSB0193,1,55,rp,1,1,1,13,0.8125,0.625000,4.5356,0.9989,28.40
audioseal,5,chinese:SSB0193,2,56,rp,1,1,1,13,0.8125,0.625000,4.4994,0.9982,24.80
audioseal,5,chinese:SSB0197,0,57,rp,1,0,0,15,0.9375,0.750000,4.4894,0.9853,26.41
audioseal,5,chinese:SSB0197,1,58,rp,1,1,0,14,0.8750,0.750000,4.4331,0.9857,25.26
audioseal,5,chinese:SSB0197,2,59,rp,1,1,1,14,0.8750,0.562500,4.5935,0.9960,32.48
audioseal,5,chinese:SSB0200,0,60,rp,0,0,0,16,1.0000,0.437500,4.5990,0.9997,32.06
