model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,5,chinese:SSB0005,0,0,rp,1,1,1,9,0.5625,0.625000,3.7191,0.9573,13.96
voicemark,5,chinese:SSB0005,1,1,rp,1,1,1,14,0.8750,0.562500,4.1946,0.9663,15.08
voicemark,5,chinese:SSB0005,2,2,rp,1,1,1,13,0.8125,0.437500,4.3496,0.9884,20.07
voicemark,5,chinese:SSB0009,0,3,rp,1,1,0,13,0.8125,0.437500,3.9090,0.9639,11.10
voicemark,5,chinese:SSB0009,1,4,rp,1,1,1,12,0.7500,0.437500,4.2029,0.9682,11.77
voicemark,5,chinese:SSB0009,2,5,rp,1,1,1,13,0.8125,0.625000,3.5084,0.9548,10.56
voicemark,5,chinese:SSB0011,0,6,rp,1,1,0,14,0.8750,0.562500,3.7006,0.9559,14.28
voicemark,5,chinese:SSB0011,1,7,rp,1,1,1,12,0.7500,0.500000,3.6043,0.9412,11.79
voicemark,5,chinese:SSB0011,2,8,rp,1,1,1,12,0.7500,0.687500,3.6502,0.9526,13.16
voicemark,5,chinese:SSB0012,0,9,rp,0,0,0,16,1.0000,0.625000,3.9105,0.9782,16.30
voicemark,5,chinese:SSB0012,1,10,rp,1,1,1,15,0.9375,0.500000,3.7725,0.9457,14.09
voicemark,5,chinese:SSB0012,2,11,rp,1,1,1,12,0.7500,0.562500,3.5528,0.9465,9.84
voicemark,5,chinese:SSB0016,0,12,rp,1,1,1,12,0.7500,0.375000,4.1647,0.9605,18.48
voicemark,5,chinese:SSB0016,1,13,rp,1,1,1,11,0.6875,0.500000,3.7684,0.9452,14.11
voicemark,5,chinese:SSB0016,2,14,rp,1,1,1,13,0.8125,0.562500,4.3288,0.9751,16.10
voicemark,5,chinese:SSB0018,0,15,rp,1,1,1,12,0.7500,0.375000,3.8062,0.9570,13.20
voicemark,5,chinese:SSB0018,1,16,rp,1,1,1,11,0.6875,0.312500,3.4726,0.9584,12.83
voicemark,5,chinese:SSB0018,2,17,rp,1,1,1,12,0.7500,0.312500,3.9977,0.9663,13.64
voicemark,5,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.500000,4.4384,0.9885,22.73
voicemark,5,chinese:SSB0033,1,19,rp,1,1,1,12,0.7500,0.562500,4.0571,0.9496,16.80
voicemark,5,chinese:SSB0033,2,20,rp,1,1,0,15,0.9375,0.750000,4.3514,0.9901,24.51
voicemark,5,chinese:SSB0038,0,21,rp,1,1,1,12,0.7500,0.375000,4.2289,0.9829,17.77
voicemark,5,chinese:SSB0038,1,22,rp,1,1,1,11,0.6875,0.375000,3.6349,0.9434,12.57
voicemark,5,chinese:SSB0038,2,23,rp,1,1,1,13,0.8125,0.437500,3.6886,0.9370,15.47
voicemark,5,chinese:SSB0043,0,24,rp,1,1,1,14,0.8750,0.125000,3.8948,0.9461,13.43
voicemark,5,chinese:SSB0043,1,25,rp,1,1,1,12,0.7500,0.500000,3.9014,0.9486,15.10
voicemark,5,chinese:SSB0043,2,26,rp,1,1,1,11,0.6875,0.312500,3.8845,0.9458,11.91
voicemark,5,chinese:SSB0057,0,27,rp,1,1,0,14,0.8750,0.625000,3.6695,0.9564,12.57
voicemark,5,chinese:SSB0057,1,28,rp,1,1,1,14,0.8750,0.687500,4.2800,0.9857,17.88
voicemark,5,chinese:SSB0057,2,29,rp,1,1,1,10,0.6250,0.375000,3.3862,0.9473,12.41
voicemark,5,chinese:SSB0073,0,30,rp,1,1,1,14,0.8750,0.500000,2.8526,0.9420,8.47
voicemark,5,chinese:SSB0073,1,31,rp,1,1,1,9,0.5625,0.375000,4.2966,0.9825,14.72
voicemark,5,chinese:SSB0073,2,32,rp,1,0,0,13,0.8125,0.625000,4.4712,0.9866,17.79
voicemark,5,chinese:SSB0080,0,33,rp,1,1,1,10,0.6250,0.375000,4.2031,0.9759,18.98
voicemark,5,chinese:SSB0080,1,34,rp,1,1,1,10,0.6250,0.312500,4.3444,0.9780,17.48
voicemark,5,chinese:SSB0080,2,35,rp,1,1,1,10,0.6250,0.562500,3.9330,0.9528,11.27
voicemark,5,chinese:SSB0112,0,36,rp,1,1,1,11,0.6875,0.500000,4.1437,0.9744,14.76
voicemark,5,chinese:SSB0112,1,37,rp,1,1,0,13,0.8125,0.500000,4.1345,0.9775,15.35
voicemark,5,chinese:SSB0112,2,38,rp,1,1,1,11,0.6875,0.625000,3.8769,0.9573,11.78
voicemark,5,chinese:SSB0122,0,39,rp,1,1,1,11,0.6875,0.500000,3.5967,0.9534,10.66
voicemark,5,chinese:SSB0122,1,40,rp,1,1,1,14,0.8750,0.250000,3.3790,0.9413,11.86
voicemark,5,chinese:SSB0122,2,41,rp,1,1,1,12,0.7500,0.437500,4.4492,0.9904,17.03
voicemark,5,chinese:SSB0133,0,42,rp,1,1,1,12,0.7500,0.437500,3.3309,0.9311,10.62
voicemark,5,chinese:SSB0133,1,43,rp,1,1,1,15,0.9375,0.375000,3.8206,0.9604,13.56
voicemark,5,chinese:SSB0133,2,44,rp,1,1,1,15,0.9375,0.437500,3.5326,0.9448,14.30
voicemark,5,chinese:SSB0139,0,45,rp,1,1,1,9,0.5625,0.500000,3.4672,0.9597,9.61
voicemark,5,chinese:SSB0139,1,46,rp,1,1,1,14,0.8750,0.562500,4.0979,0.9730,14.69
voicemark,5,chinese:SSB0139,2,47,rp,0,0,0,16,1.0000,0.500000,3.2551,0.9610,11.75
voicemark,5,chinese:SSB0145,0,48,rp,1,1,1,12,0.7500,0.437500,3.3990,0.9591,12.08
