model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,5,chinese:SSB0005,0,0,rp,1,1,1,13,0.8125,0.625000,4.5229,0.9966,40.86
wavmark,5,chinese:SSB0005,1,1,rp,1,1,1,13,0.8125,0.562500,4.4523,0.9949,41.21
wavmark,5,chinese:SSB0005,2,2,rp,1,1,1,13,0.8125,0.437500,4.5634,0.9984,45.58
wavmark,5,chinese:SSB0009,0,3,rp,1,1,1,12,0.7500,0.437500,4.5581,0.9998,39.57
wavmark,5,chinese:SSB0009,1,4,rp,1,1,1,13,0.8125,0.437500,4.5566,0.9999,40.60
wavmark,5,chinese:SSB0009,2,5,rp,1,1,1,14,0.8750,0.625000,4.5538,0.9998,40.43
wavmark,5,chinese:SSB0011,0,6,rp,1,1,1,14,0.8750,0.562500,4.1534,0.9986,38.48
wavmark,5,chinese:SSB0011,1,7,rp,1,1,1,12,0.7500,0.500000,4.3224,0.9989,39.78
wavmark,5,chinese:SSB0011,2,8,rp,1,1,1,15,0.9375,0.687500,4.3431,0.9989,38.93
wavmark,5,chinese:SSB0012,0,9,rp,1,1,1,13,0.8125,0.625000,4.5719,0.9999,46.21
wavmark,5,chinese:SSB0012,1,10,rp,1,1,1,13,0.8125,0.500000,4.5165,0.9997,41.92
wavmark,5,chinese:SSB0012,2,11,rp,1,1,1,13,0.8125,0.562500,4.4749,0.9996,39.94
wavmark,5,chinese:SSB0016,0,12,rp,1,1,1,13,0.8125,0.375000,4.3747,0.9984,39.52
wavmark,5,chinese:SSB0016,1,13,rp,1,1,1,13,0.8125,0.500000,3.8670,0.9951,33.93
wavmark,5,chinese:SSB0016,2,14,rp,1,1,1,13,0.8125,0.562500,4.5396,0.9987,41.15
wavmark,5,chinese:SSB0018,0,15,rp,1,1,1,12,0.7500,0.375000,4.3821,0.9990,40.89
wavmark,5,chinese:SSB0018,1,16,rp,1,1,1,12,0.7500,0.312500,4.4302,0.9990,40.12
wavmark,5,chinese:SSB0018,2,17,rp,1,1,1,12,0.7500,0.312500,4.3389,0.9990,41.06
wavmark,5,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.500000,4.4616,0.9997,45.04
wavmark,5,chinese:SSB0033,1,19,rp,1,1,1,13,0.8125,0.562500,4.3636,0.9993,40.72
wavmark,5,chinese:SSB0033,2,20,rp,1,1,1,15,0.9375,0.750000,4.5749,0.9999,48.21
wavmark,5,chinese:SSB0038,0,21,rp,1,1,1,14,0.8750,0.375000,4.5317,0.9998,44.29
wavmark,5,chinese:SSB0038,1,22,rp,1,1,1,12,0.7500,0.375000,4.4661,0.9997,40.11
wavmark,5,chinese:SSB0038,2,23,rp,1,1,1,14,0.8750,0.437500,4.4479,0.9996,39.55
wavmark,5,chinese:SSB0043,0,24,rp,1,1,1,11,0.6875,0.125000,4.2814,0.9972,38.88
wavmark,5,chinese:SSB0043,1,25,rp,1,1,1,13,0.8125,0.500000,4.4180,0.9976,39.77
wavmark,5,chinese:SSB0043,2,26,rp,1,1,1,11,0.6875,0.312500,4.4886,0.9979,40.21
wavmark,5,chinese:SSB0057,0,27,rp,1,1,1,13,0.8125,0.625000,4.3939,0.9892,39.26
wavmark,5,chinese:SSB0057,1,28,rp,1,1,1,14,0.8750,0.687500,4.5576,0.9955,46.57
wavmark,5,chinese:SSB0057,2,29,rp,1,1,1,13,0.8125,0.375000,4.4087,0.9890,40.13
wavmark,5,chinese:SSB0073,0,30,rp,1,1,1,13,0.8125,0.500000,4.4402,0.9998,42.97
wavmark,5,chinese:SSB0073,1,31,rp,1,1,1,12,0.7500,0.375000,4.4174,0.9998,44.20
wavmark,5,chinese:SSB0073,2,32,rp,1,1,1,13,0.8125,0.625000,4.5467,0.9999,46.98
wavmark,5,chinese:SSB0080,0,33,rp,1,1,1,13,0.8125,0.375000,4.5657,0.9976,44.38
wavmark,5,chinese:SSB0080,1,34,rp,1,1,1,11,0.6875,0.312500,4.5551,0.9974,43.85
wavmark,5,chinese:SSB0080,2,35,rp,1,1,1,13,0.8125,0.562500,4.4158,0.9939,40.63
wavmark,5,chinese:SSB0112,0,36,rp,1,1,1,13,0.8125,0.500000,4.5561,0.9991,40.62
wavmark,5,chinese:SSB0112,1,37,rp,1,1,1,14,0.8750,0.500000,4.5174,0.9992,40.15
wavmark,5,chinese:SSB0112,2,38,rp,1,1,1,14,0.8750,0.625000,4.0927,0.9971,34.57
wavmark,5,chinese:SSB0122,0,39,rp,1,1,1,12,0.7500,0.500000,4.3354,0.9997,39.23
wavmark,5,chinese:SSB0122,1,40,rp,1,1,1,11,0.6875,0.250000,4.3147,0.9996,38.99
wavmark,5,chinese:SSB0122,2,41,rp,1,1,1,12,0.7500,0.437500,4.5285,0.9999,44.06
wavmark,5,chinese:SSB0133,0,42,rp,1,1,1,12,0.7500,0.437500,4.0051,0.9987,37.19
wavmark,5,chinese:SSB0133,1,43,rp,1,1,1,14,0.8750,0.375000,4.3528,0.9992,39.10
wavmark,5,chinese:SSB0133,2,44,rp,1,1,1,14,0.8750,0.437500,4.3093,0.9990,38.19
wavmark,5,chinese:SSB0139,0,45,rp,1,1,1,14,0.8750,0.500000,4.3033,0.9998,40.16
wavmark,5,chinese:SSB0139,1,46,rp,1,1,1,13,0.8125,0.562500,4.4794,0.9999,42.59
wavmark,5,chinese:SSB0139,2,47,rp,1,1,1,14,0.8750,0.500000,4.3860,0.9998,39.92
wavmark,5,chinese:SSB0145,0,48,rp,1,1,1,12,0.7500,0.437500,4.4848,0.9999,39.41
wavmark,5,chinese:SSB0145,1,49,rp,1,1,1,13,0.8125,0.437500,4.3080,0.9998,37.42
wavmark,5,chinese:SSB0145,2,50,rp,1,1,1,14,0.8750,0.250000,4.5164,0.9999,42.18
wavmark,5,chinese:SSB0149,0,51,rp,1,1,1,11,0.6875,0.312500,4.3817,0.9997,44.29
wavmark,5,chinese:SSB0149,1,52,rp,1,1,1,12,0.7500,0.375000,4.1784,0.9995,41.82
wavmark,5,chinese:SSB0149,2,53,rp,1,1,1,12,0.7500,0.312500,4.3506,0.9997,43.97
wavmark,5,chinese:SSB0193,0,54,rp,1,1,1,12,0.7500,0.437500,4.3895,0.9981,37.47
wavmark,5,chinese:SSB0193,1,55,rp,1,1,1,13,0.8125,0.625000,4.3810,0.9975,37.22
wavmark,5,chinese:SSB0193,2,56,rp,1,1,1,15,0.9375,0.625000,4.3766,0.9980,37.14
wavmark,5,chinese:SSB0197,0,57,rp,1,1,1,15,0.9375,0.750000,4.3120,0.9763,32.05
wavmark,5,chinese:SSB0197,1,58,rp,1,1,1,15,0.9375,0.750000,4.1321,0.9732,31.71
wavmark,5,chinese:SSB0197,2,59,rp,1,1,1,14,0.8750,0.562500,4.5737,0.9947,38.04
wavmark,5,chinese:SSB0200,0,60,rp,1,1,1,12,0.7500,0.437500,4.5445,0.9998,41.65
wavmark,5,chinese:SSB0200,1,61,rp,1,1,1,13,0.8125,0.562500,4.4352,0.9993,37.70
wavmark,5,chinese:SSB0200,2,62,rp,1,1,1,12,0.7500,0.437500,4.4771,0.9997,41.35
wavmark,5,chinese:SSB0241,0,63,rp,1,1,1,12,0.7500,0.500000,4.2782,0.9997,39.12
wavmark,5,chinese:SSB0241,1,64,rp,1,1,1,14,0.8750,0.687500,4.5207,0.9999,46.06
wavmark,5,chinese:SSB0241,2,65,rp,0,0,0,16,1.0000,0.562500,4.5540,0.9999,44.75
wavmark,5,chinese:SSB0246,0,66,rp,1,1,1,15,0.9375,0.687500,4.4489,0.9984,38.90
wavmark,5,chinese:SSB0246,1,67,rp,1,1,1,12,0.7500,0.437500,4.5206,0.9988,39.76
wavmark,5,chinese:SSB0246,2,68,rp,1,1,1,12,0.7500,0.437500,4.4608,0.9989,39.41
wavmark,5,chinese:SSB0261,0,69,rp,1,1,1,13,0.8125,0.437500,4.4320,0.9996,38.78
wavmark,5,chinese:SSB0261,1,70,rp,1,1,1,12,0.7500,0.375000,4.2304,0.9996,38.40
wavmark,5,chinese:SSB0261,2,71,rp,1,1,1,12,0.7500,0.437500,4.5526,0.9999,43.93
wavmark,5,chinese:SSB0267,0,72,rp,1,1,1,13,0.8125,0.562500,4.4128,0.9992,38.95
wavmark,5,chinese:SSB0267,1,73,rp,0,0,0,16,1.0000,0.875000,4.2835,0.9987,36.63
wavmark,5,chinese:SSB0267,2,74,rp,1,1,1,14,0.8750,0.437500,4.2992,0.9989,37.72
wavmark,5,chinese:SSB0273,0,75,rp,1,1,1,14,0.8750,0.750000,4.4609,0.9991,41.38
wavmark,5,chinese:SSB0273,1,76,rp,1,1,1,15,0.9375,0.625000,4.2528,0.9988,40.57
wavmark,5,chinese:SSB0273,2,77,rp,1,1,1,12,0.7500,0.500000,4.2918,0.9991,41.49
wavmark,5,chinese:SSB0287,0,78,rp,1,1,1,12,0.7500,0.437500,4.4837,0.9996,41.73
wavmark,5,chinese:SSB0287,1,79,rp,1,1,1,14,0.8750,0.625000,4.3806,0.9995,40.34
wavmark,5,chinese:SSB0287,2,80,rp,1,1,1,12,0.7500,0.500000,4.3429,0.9994,40.62
wavmark,5,chinese:SSB0288,0,81,rp,1,1,1,12,0.7500,0.375000,4.5528,0.9975,44.09
wavmark,5,chinese:SSB0288,1,82,rp,1,1,1,13,0.8125,0.187500,4.4795,0.9955,43.05
wavmark,5,chinese:SSB0288,2,83,rp,1,1,1,13,0.8125,0.500000,4.4315,0.9915,39.87
wavmark,5,chinese:SSB0299,0,84,rp,1,1,1,13,0.8125,0.437500,4.5743,0.9999,42.96
wavmark,5,chinese:SSB0299,1,85,rp,1,1,1,13,0.8125,0.562500,4.3820,0.9998,38.97
wavmark,5,chinese:SSB0299,2,86,rp,1,1,1,13,0.8125,0.500000,4.5479,0.9999,43.06
wavmark,5,chinese:SSB0307,0,87,rp,1,1,1,14,0.8750,0.562500,4.2285,0.9916,33.19
wavmark,5,chinese:SSB0307,1,88,rp,1,1,1,14,0.8750,0.375000,4.2563,0.9923,34.22
wavmark,5,chinese:SSB0307,2,89,rp,1,1,1,13,0.8125,0.437500,4.4425,0.9968,38.07
wavmark,5,chinese:SSB0309,0,90,rp,0,0,0,16,1.0000,0.750000,4.4067,0.9912,38.80
wavmark,5,chinese:SSB0309,1,91,rp,1,1,1,14,0.8750,0.562500,4.4361,0.9950,40.72
wavmark,5,chinese:SSB0309,2,92,rp,1,1,1,13,0.8125,0.500000,4.4272,0.9930,39.55
wavmark,5,chinese:SSB0315,0,93,rp,1,1,1,13,0.8125,0.625000,4.5234,0.9999,45.83
wavmark,5,chinese:SSB0315,1,94,rp,1,1,1,13,0.8125,0.312500,4.3834,0.9995,40.12
wavmark,5,chinese:SSB0315,2,95,rp,1,1,1,14,0.8750,0.687500,4.3958,0.9996,41.87
wavmark,5,chinese:SSB0316,0,96,rp,1,0,0,15,0.9375,0.812500,4.5219,0.9997,40.44
wavmark,5,chinese:SSB0316,1,97,rp,1,1,1,14,0.8750,0.375000,4.5375,0.9998,42.25
wavmark,5,chinese:SSB0316,2,98,rp,1,1,1,12,0.7500,0.500000,4.6043,0.9999,46.39
wavmark,5,chinese:SSB0323,0,99,rp,1,1,1,13,0.8125,0.625000,4.5127,0.9998,39.81
wavmark,5,chinese:SSB0323,1,100,rp,1,1,1,15,0.9375,0.750000,4.5390,0.9997,39.98
wavmark,5,chinese:SSB0323,2,101,rp,1,1,1,13,0.8125,0.437500,4.5908,0.9999,42.66
wavmark,5,chinese:SSB0338,0,102,rp,1,1,1,14,0.8750,0.562500,4.2500,0.9990,35.27
wavmark,5,chinese:SSB0338,1,103,rp,1,1,1,13,0.8125,0.437500,4.5671,0.9997,41.03
wavmark,5,chinese:SSB0338,2,104,rp,1,1,1,13,0.8125,0.562500,4.5533,0.9998,42.01
wavmark,5,chinese:SSB0339,0,105,rp,1,1,1,15,0.9375,0.625000,4.0803,0.9976,35.64
wavmark,5,chinese:SSB0339,1,106,rp,1,1,1,14,0.8750,0.562500,4.5360,0.9992,41.62
wavmark,5,chinese:SSB0339,2,107,rp,1,1,1,12,0.7500,0.500000,4.2237,0.9986,36.98
wavmark,5,chinese:SSB0341,0,108,rp,1,1,1,13,0.8125,0.625000,4.5630,0.9997,46.70
wavmark,5,chinese:SSB0341,1,109,rp,1,1,1,14,0.8750,0.625000,4.1191,0.9977,39.71
wavmark,5,chinese:SSB0341,2,110,rp,1,1,1,12,0.7500,0.312500,4.3826,0.9990,41.51
wavmark,5,chinese:SSB0342,0,111,rp,1,1,0,15,0.9375,0.687500,4.5789,0.9995,46.38
wavmark,5,chinese:SSB0342,1,112,rp,1,1,1,14,0.8750,0.562500,4.5855,0.9995,45.25
wavmark,5,chinese:SSB0342,2,113,rp,1,1,1,12,0.7500,0.312500,4.4298,0.9973,39.56
wavmark,5,chinese:SSB0354,0,114,rp,1,1,1,14,0.8750,0.750000,4.1957,0.9949,39.16
wavmark,5,chinese:SSB0354,1,115,rp,1,1,1,13,0.8125,0.562500,3.9499,0.9920,37.80
wavmark,5,chinese:SSB0354,2,116,rp,1,1,0,15,0.9375,0.625000,4.5524,0.9981,45.06
wavmark,5,chinese:SSB0366,0,117,rp,1,1,1,13,0.8125,0.312500,4.4762,0.9977,41.64
wavmark,5,chinese:SSB0366,1,118,rp,1,1,1,12,0.7500,0.437500,4.2772,0.9955,37.38
wavmark,5,chinese:SSB0366,2,119,rp,1,1,1,14,0.8750,0.687500,4.1914,0.9945,36.67
wavmark,5,chinese:SSB0375,0,120,rp,1,1,1,12,0.7500,0.437500,4.5753,0.9999,44.13
wavmark,5,chinese:SSB0375,1,121,rp,1,1,1,13,0.8125,0.500000,4.4772,0.9996,38.50
