model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,8,chinese:SSB0005,0,0,rp,1,1,1,11,0.6875,0.312500,4.2477,0.9809,14.74
wmcodec,8,chinese:SSB0005,1,1,rp,1,1,1,12,0.7500,0.500000,4.1880,0.9792,13.40
wmcodec,8,chinese:SSB0005,2,2,rp,1,1,1,11,0.6875,0.437500,4.1349,0.9800,15.30
wmcodec,8,chinese:SSB0009,0,3,rp,1,1,1,12,0.7500,0.687500,3.9062,0.9768,10.91
wmcodec,8,chinese:SSB0009,1,4,rp,1,1,1,10,0.6250,0.500000,4.3739,0.9893,15.87
wmcodec,8,chinese:SSB0009,2,5,rp,1,1,1,13,0.8125,0.250000,3.8999,0.9775,10.75
wmcodec,8,chinese:SSB0011,0,6,rp,1,1,1,11,0.6875,0.437500,3.7809,0.9731,13.52
wmcodec,8,chinese:SSB0011,1,7,rp,1,1,1,12,0.7500,0.437500,3.9024,0.9730,14.36
wmcodec,8,chinese:SSB0011,2,8,rp,1,1,1,10,0.6250,0.437500,3.9583,0.9786,15.05
wmcodec,8,chinese:SSB0012,0,9,rp,1,1,1,11,0.6875,0.500000,4.1642,0.9755,10.91
wmcodec,8,chinese:SSB0012,1,10,rp,1,1,1,12,0.7500,0.437500,4.0087,0.9729,10.20
wmcodec,8,chinese:SSB0012,2,11,rp,1,1,1,9,0.5625,0.437500,4.1935,0.9777,11.02
wmcodec,8,chinese:SSB0016,0,12,rp,1,1,1,11,0.6875,0.625000,4.3008,0.9898,17.65
wmcodec,8,chinese:SSB0016,1,13,rp,1,1,0,13,0.8125,0.375000,3.7637,0.9716,12.43
wmcodec,8,chinese:SSB0016,2,14,rp,1,1,1,12,0.7500,0.500000,4.0635,0.9776,13.34
wmcodec,8,chinese:SSB0018,0,15,rp,1,1,1,11,0.6875,0.375000,4.2222,0.9803,13.50
wmcodec,8,chinese:SSB0018,1,16,rp,1,1,1,10,0.6250,0.625000,4.1329,0.9795,12.97
wmcodec,8,chinese:SSB0018,2,17,rp,1,1,1,12,0.7500,0.437500,4.1140,0.9807,10.27
wmcodec,8,chinese:SSB0033,0,18,rp,1,1,1,11,0.6875,0.625000,4.1151,0.9810,16.48
wmcodec,8,chinese:SSB0033,1,19,rp,1,1,1,11,0.6875,0.375000,4.0983,0.9822,17.39
wmcodec,8,chinese:SSB0033,2,20,rp,1,1,1,13,0.8125,0.375000,4.3595,0.9842,18.14
wmcodec,8,chinese:SSB0038,0,21,rp,1,1,1,14,0.8750,0.437500,4.4743,0.9926,19.52
wmcodec,8,chinese:SSB0038,1,22,rp,1,1,1,12,0.7500,0.437500,4.1182,0.9825,13.87
wmcodec,8,chinese:SSB0038,2,23,rp,1,1,1,14,0.8750,0.437500,4.4512,0.9908,18.54
wmcodec,8,chinese:SSB0043,0,24,rp,1,1,1,14,0.8750,0.687500,3.6725,0.9682,13.39
wmcodec,8,chinese:SSB0043,1,25,rp,1,1,1,12,0.7500,0.687500,3.8473,0.9688,12.17
wmcodec,8,chinese:SSB0043,2,26,rp,1,1,1,11,0.6875,0.562500,3.7333,0.9670,13.26
wmcodec,8,chinese:SSB0057,0,27,rp,1,1,1,10,0.6250,0.375000,4.4349,0.9908,18.54
wmcodec,8,chinese:SSB0057,1,28,rp,1,1,1,11,0.6875,0.250000,4.3234,0.9906,17.09
wmcodec,8,chinese:SSB0057,2,29,rp,1,1,1,13,0.8125,0.625000,4.1446,0.9791,13.42
wmcodec,8,chinese:SSB0073,0,30,rp,1,1,1,12,0.7500,0.687500,3.9747,0.9770,12.50
wmcodec,8,chinese:SSB0073,1,31,rp,1,1,1,9,0.5625,0.500000,4.3506,0.9882,16.39
wmcodec,8,chinese:SSB0073,2,32,rp,1,1,1,11,0.6875,0.562500,4.3850,0.9883,16.88
wmcodec,8,chinese:SSB0080,0,33,rp,1,1,1,13,0.8125,0.812500,4.0473,0.9762,13.16
wmcodec,8,chinese:SSB0080,1,34,rp,1,1,1,10,0.6250,0.625000,4.1942,0.9736,13.52
wmcodec,8,chinese:SSB0080,2,35,rp,1,1,1,12,0.7500,0.437500,4.1805,0.9753,13.73
wmcodec,8,chinese:SSB0112,0,36,rp,1,1,1,12,0.7500,0.625000,4.4309,0.9909,16.81
wmcodec,8,chinese:SSB0112,1,37,rp,1,1,1,11,0.6875,0.500000,4.1820,0.9808,11.97
wmcodec,8,chinese:SSB0112,2,38,rp,1,1,1,12,0.7500,0.625000,4.4710,0.9910,17.23
wmcodec,8,chinese:SSB0122,0,39,rp,1,1,1,9,0.5625,0.375000,4.0979,0.9858,13.86
wmcodec,8,chinese:SSB0122,1,40,rp,1,1,1,12,0.7500,0.562500,4.2655,0.9842,13.86
wmcodec,8,chinese:SSB0122,2,41,rp,1,1,1,12,0.7500,0.312500,4.2483,0.9858,14.25
wmcodec,8,chinese:SSB0133,0,42,rp,1,0,0,15,0.9375,0.500000,3.9751,0.9747,12.48
wmcodec,8,chinese:SSB0133,1,43,rp,1,1,1,14,0.8750,0.562500,3.9864,0.9748,13.17
wmcodec,8,chinese:SSB0133,2,44,rp,1,1,1,11,0.6875,0.625000,3.8507,0.9764,12.70
wmcodec,8,chinese:SSB0139,0,45,rp,1,1,1,12,0.7500,0.375000,4.4779,0.9952,19.63
wmcodec,8,chinese:SSB0139,1,46,rp,1,1,1,12,0.7500,0.375000,4.4576,0.9948,19.23
wmcodec,8,chinese:SSB0139,2,47,rp,1,1,1,12,0.7500,0.625000,4.1833,0.9881,13.98
wmcodec,8,chinese:SSB0145,0,48,rp,1,1,1,11,0.6875,0.562500,3.9576,0.9794,12.59
wmcodec,8,chinese:SSB0145,1,49,rp,1,1,1,13,0.8125,0.312500,4.2019,0.9814,12.81
wmcodec,8,chinese:SSB0145,2,50,rp,1,1,1,11,0.6875,0.562500,3.9461,0.9791,11.14
wmcodec,8,chinese:SSB0149,0,51,rp,1,1,1,12,0.7500,0.625000,4.1685,0.9823,10.84
wmcodec,8,chinese:SSB0149,1,52,rp,1,1,1,12,0.7500,0.375000,4.1276,0.9815,11.25
wmcodec,8,chinese:SSB0149,2,53,rp,1,1,1,10,0.6250,0.437500,4.0801,0.9819,10.22
wmcodec,8,chinese:SSB0193,0,54,rp,1,1,1,12,0.7500,0.562500,4.4800,0.9921,17.18
wmcodec,8,chinese:SSB0193,1,55,rp,1,1,1,12,0.7500,0.500000,4.4549,0.9912,16.95
wmcodec,8,chinese:SSB0193,2,56,rp,1,1,1,11,0.6875,0.250000,4.4218,0.9902,15.98
wmcodec,8,chinese:SSB0197,0,57,rp,1,1,1,11,0.6875,0.312500,4.1635,0.9723,12.03
wmcodec,8,chinese:SSB0197,1,58,rp,1,1,1,11,0.6875,0.562500,3.9865,0.9751,11.59
wmcodec,8,chinese:SSB0197,2,59,rp,1,1,1,11,0.6875,0.437500,4.0962,0.9719,13.23
wmcodec,8,chinese:SSB0200,0,60,rp,1,1,1,10,0.6250,0.437500,3.8828,0.9689,11.38
wmcodec,8,chinese:SSB0200,1,61,rp,1,1,1,12,0.7500,0.500000,3.8263,0.9723,11.63
wmcodec,8,chinese:SSB0200,2,62,rp,1,1,1,11,0.6875,0.500000,3.7404,0.9685,11.45
wmcodec,8,chinese:SSB0241,0,63,rp,1,1,1,10,0.6250,0.437500,4.1894,0.9854,13.06
wmcodec,8,chinese:SSB0241,1,64,rp,1,1,1,12,0.7500,0.687500,4.2155,0.9853,13.43
wmcodec,8,chinese:SSB0241,2,65,rp,1,1,1,10,0.6250,0.437500,4.1370,0.9815,13.37
wmcodec,8,chinese:SSB0246,0,66,rp,1,1,1,12,0.7500,0.500000,4.0642,0.9804,14.44
wmcodec,8,chinese:SSB0246,1,67,rp,1,1,1,14,0.8750,0.750000,4.0552,0.9800,13.77
wmcodec,8,chinese:SSB0246,2,68,rp,1,1,1,12,0.7500,0.437500,4.3492,0.9918,18.99
wmcodec,8,chinese:SSB0261,0,69,rp,1,1,1,13,0.8125,0.750000,3.9782,0.9709,11.32
wmcodec,8,chinese:SSB0261,1,70,rp,1,1,1,9,0.5625,0.500000,4.4334,0.9872,16.24
wmcodec,8,chinese:SSB0261,2,71,rp,1,1,1,10,0.6250,0.562500,4.0035,0.9722,11.17
wmcodec,8,chinese:SSB0267,0,72,rp,1,1,1,11,0.6875,0.500000,3.7699,0.9714,14.54
wmcodec,8,chinese:SSB0267,1,73,rp,1,1,1,10,0.6250,0.312500,3.8704,0.9673,14.36
wmcodec,8,chinese:SSB0267,2,74,rp,1,1,1,11,0.6875,0.562500,4.2990,0.9886,19.39
wmcodec,8,chinese:SSB0273,0,75,rp,1,1,1,13,0.8125,0.812500,4.1168,0.9840,14.34
wmcodec,8,chinese:SSB0273,1,76,rp,1,1,1,10,0.6250,0.375000,4.0253,0.9823,14.29
wmcodec,8,chinese:SSB0273,2,77,rp,1,1,1,12,0.7500,0.500000,4.0570,0.9804,14.18
wmcodec,8,chinese:SSB0287,0,78,rp,1,1,1,12,0.7500,0.500000,4.1934,0.9778,11.31
wmcodec,8,chinese:SSB0287,1,79,rp,1,1,1,11,0.6875,0.250000,4.0838,0.9781,11.01
wmcodec,8,chinese:SSB0287,2,80,rp,1,1,1,12,0.7500,0.500000,4.1229,0.9779,12.29
wmcodec,8,chinese:SSB0288,0,81,rp,1,1,1,14,0.8750,0.437500,4.1713,0.9821,14.05
