model,K,spk,local_t,gi,target,method,target_top1
voicemark,5,chinese:SSB0005,0,0,63605,mean,0
voicemark,5,chinese:SSB0005,0,0,63605,tct,0
voicemark,5,chinese:SSB0005,0,0,38789,mean,0
voicemark,5,chinese:SSB0005,0,0,38789,tct,0
voicemark,5,chinese:SSB0005,0,0,47819,mean,0
voicemark,5,chinese:SSB0005,0,0,47819,tct,0
voicemark,5,chinese:SSB0005,0,0,38885,mean,0
voicemark,5,chinese:SSB0005,0,0,38885,tct,0
voicemark,5,chinese:SSB0005,0,0,38727,mean,0
voicemark,5,chinese:SSB0005,0,0,38727,tct,0
voicemark,5,chinese:SSB0005,0,0,62325,mean,0
voicemark,5,chinese:SSB0005,0,0,62325,tct,0
voicemark,5,chinese:SSB0005,0,0,38629,mean,0
voicemark,5,chinese:SSB0005,0,0,38629,tct,0
voicemark,5,chinese:SSB0005,0,0,33735,mean,0
voicemark,5,chinese:SSB0005,0,0,33735,tct,0
voicemark,5,chinese:SSB0005,0,0,63607,mean,0
voicemark,5,chinese:SSB0005,0,0,63607,tct,0
voicemark,5,chinese:SSB0005,0,0,38599,mean,0
voicemark,5,chinese:SSB0005,0,0,38599,tct,0
voicemark,5,chinese:SSB0005,1,1,27987,mean,0
voicemark,5,chinese:SSB0005,1,1,27987,tct,0
voicemark,5,chinese:SSB0005,1,1,14993,mean,0
voicemark,5,chinese:SSB0005,1,1,14993,tct,0
voicemark,5,chinese:SSB0005,1,1,47760,mean,0
voicemark,5,chinese:SSB0005,1,1,47760,tct,0
voicemark,5,chinese:SSB0005,1,1,32114,mean,0
voicemark,5,chinese:SSB0005,1,1,32114,tct,0
voicemark,5,chinese:SSB0005,1,1,23930,mean,0
voicemark,5,chinese:SSB0005,1,1,23930,tct,0
voicemark,5,chinese:SSB0005,1,1,17746,mean,0
voicemark,5,chinese:SSB0005,1,1,17746,tct,0
voicemark,5,chinese:SSB0005,1,1,15672,mean,0
voicemark,5,chinese:SSB0005,1,1,15672,tct,0
voicemark,5,chinese:SSB0005,1,1,60713,mean,0
voicemark,5,chinese:SSB0005,1,1,60713,tct,0
voicemark,5,chinese:SSB0005,1,1,23931,mean,0
voicemark,5,chinese:SSB0005,1,1,23931,tct,0
voicemark,5,chinese:SSB0005,1,1,16017,mean,0
voicemark,5,chinese:SSB0005,1,1,16017,tct,0
voicemark,5,chinese:SSB0005,2,2,60561,mean,0
voicemark,5,chinese:SSB0005,2,2,60561,tct,0
voicemark,5,chinese:SSB0005,2,2,44163,mean,0
voicemark,5,chinese:SSB0005,2,2,44163,tct,0
voicemark,5,chinese:SSB0005,2,2,64664,mean,0
voicemark,5,chinese:SSB0005,2,2,64664,tct,0
voicemark,5,chinese:SSB0005,2,2,42881,mean,0
voicemark,5,chinese:SSB0005,2,2,42881,tct,0
voicemark,5,chinese:SSB0005,2,2,41379,mean,0
voicemark,5,chinese:SSB0005,2,2,41379,tct,0
voicemark,5,chinese:SSB0005,2,2,36753,mean,0
voicemark,5,chinese:SSB0005,2,2,36753,tct,0
voicemark,5,chinese:SSB0005,2,2,64665,mean,0
voicemark,5,chinese:SSB0005,2,2,64665,tct,0
voicemark,5,chinese:SSB0005,2,2,58547,mean,0
voicemark,5,chinese:SSB0005,2,2,58547,tct,0
voicemark,5,chinese:SSB0005,2,2,41675,mean,0
voicemark,5,chinese:SSB0005,2,2,41675,tct,0
voicemark,5,chinese:SSB0005,2,2,55472,mean,0
voicemark,5,chinese:SSB0005,2,2,55472,tct,0
voicemark,5,chinese:SSB0009,0,3,28035,mean,0
voicemark,5,chinese:SSB0009,0,3,28035,tct,0
voicemark,5,chinese:SSB0009,0,3,11902,mean,0
voicemark,5,chinese:SSB0009,0,3,11902,tct,0
voicemark,5,chinese:SSB0009,0,3,9852,mean,0
voicemark,5,chinese:SSB0009,0,3,9852,tct,0
voicemark,5,chinese:SSB0009,0,3,39417,mean,0
voicemark,5,chinese:SSB0009,0,3,39417,tct,0
voicemark,5,chinese:SSB0009,0,3,10872,mean,0
voicemark,5,chinese:SSB0009,0,3,10872,tct,0
voicemark,5,chinese:SSB0009,0,3,51816,mean,0
voicemark,5,chinese:SSB0009,0,3,51816,tct,0
voicemark,5,chinese:SSB0009,0,3,39321,mean,0
voicemark,5,chinese:SSB0009,0,3,39321,tct,0
voicemark,5,chinese:SSB0009,0,3,40217,mean,0
voicemark,5,chinese:SSB0009,0,3,40217,tct,0
voicemark,5,chinese:SSB0009,0,3,43449,mean,0
voicemark,5,chinese:SSB0009,0,3,43449,tct,0
voicemark,5,chinese:SSB0009,0,3,43289,mean,0
voicemark,5,chinese:SSB0009,0,3,43289,tct,0
voicemark,5,chinese:SSB0009,1,4,29226,mean,0
voicemark,5,chinese:SSB0009,1,4,29226,tct,0
voicemark,5,chinese:SSB0009,1,4,1677,mean,0
voicemark,5,chinese:SSB0009,1,4,1677,tct,0
voicemark,5,chinese:SSB0009,1,4,50639,mean,0
voicemark,5,chinese:SSB0009,1,4,50639,tct,0
voicemark,5,chinese:SSB0009,1,4,21050,mean,0
voicemark,5,chinese:SSB0009,1,4,21050,tct,0
voicemark,5,chinese:SSB0009,1,4,21160,mean,0
voicemark,5,chinese:SSB0009,1,4,21160,tct,0
voicemark,5,chinese:SSB0009,1,4,49486,mean,0
voicemark,5,chinese:SSB0009,1,4,49486,tct,0
voicemark,5,chinese:SSB0009,1,4,63112,mean,0
voicemark,5,chinese:SSB0009,1,4,63112,tct,0
voicemark,5,chinese:SSB0009,1,4,54952,mean,0
voicemark,5,chinese:SSB0009,1,4,54952,tct,0
voicemark,5,chinese:SSB0009,1,4,29290,mean,0
voicemark,5,chinese:SSB0009,1,4,29290,tct,0
voicemark,5,chinese:SSB0009,1,4,13993,mean,0
voicemark,5,chinese:SSB0009,1,4,13993,tct,0
voicemark,5,chinese:SSB0009,2,5,34879,mean,0
voicemark,5,chinese:SSB0009,2,5,34879,tct,0
voicemark,5,chinese:SSB0009,2,5,38023,mean,0
voicemark,5,chinese:SSB0009,2,5,38023,tct,0
voicemark,5,chinese:SSB0009,2,5,40079,mean,0
voicemark,5,chinese:SSB0009,2,5,40079,tct,0
voicemark,5,chinese:SSB0009,2,5,58401,mean,0
voicemark,5,chinese:SSB0009,2,5,58401,tct,0
voicemark,5,chinese:SSB0009,2,5,33839,mean,0
voicemark,5,chinese:SSB0009,2,5,33839,tct,0
voicemark,5,chinese:SSB0009,2,5,34863,mean,0
voicemark,5,chinese:SSB0009,2,5,34863,tct,0
voicemark,5,chinese:SSB0009,2,5,33953,mean,0
voicemark,5,chinese:SSB0009,2,5,33953,tct,0
voicemark,5,chinese:SSB0009,2,5,46511,mean,0
voicemark,5,chinese:SSB0009,2,5,46511,tct,0
voicemark,5,chinese:SSB0009,2,5,51251,mean,0
voicemark,5,chinese:SSB0009,2,5,51251,tct,0
voicemark,5,chinese:SSB0009,2,5,14767,mean,0
voicemark,5,chinese:SSB0009,2,5,14767,tct,0
voicemark,5,chinese:SSB0011,0,6,20591,mean,0
voicemark,5,chinese:SSB0011,0,6,20591,tct,0
voicemark,5,chinese:SSB0011,0,6,28126,mean,0
voicemark,5,chinese:SSB0011,0,6,28126,tct,0
voicemark,5,chinese:SSB0011,0,6,53615,mean,0
voicemark,5,chinese:SSB0011,0,6,53615,tct,0
voicemark,5,chinese:SSB0011,0,6,45295,mean,0
voicemark,5,chinese:SSB0011,0,6,45295,tct,0
voicemark,5,chinese:SSB0011,0,6,25951,mean,0
voicemark,5,chinese:SSB0011,0,6,25951,tct,0
voicemark,5,chinese:SSB0011,0,6,32878,mean,0
voicemark,5,chinese:SSB0011,0,6,32878,tct,0
voicemark,5,chinese:SSB0011,0,6,2676,mean,0
voicemark,5,chinese:SSB0011,0,6,2676,tct,0
voicemark,5,chinese:SSB0011,0,6,17887,mean,0
voicemark,5,chinese:SSB0011,0,6,17887,tct,0
voicemark,5,chinese:SSB0011,0,6,53743,mean,0
voicemark,5,chinese:SSB0011,0,6,53743,tct,0
voicemark,5,chinese:SSB0011,0,6,28124,mean,0
voicemark,5,chinese:SSB0011,0,6,28124,tct,0
voicemark,5,chinese:SSB0011,1,7,26862,mean,0
voicemark,5,chinese:SSB0011,1,7,26862,tct,0
voicemark,5,chinese:SSB0011,1,7,32977,mean,0
voicemark,5,chinese:SSB0011,1,7,32977,tct,0
voicemark,5,chinese:SSB0011,1,7,51269,mean,0
voicemark,5,chinese:SSB0011,1,7,51269,tct,0
voicemark,5,chinese:SSB0011,1,7,62212,mean,0
voicemark,5,chinese:SSB0011,1,7,62212,tct,0
voicemark,5,chinese:SSB0011,1,7,41041,mean,0
voicemark,5,chinese:SSB0011,1,7,41041,tct,0
voicemark,5,chinese:SSB0011,1,7,45265,mean,0
voicemark,5,chinese:SSB0011,1,7,45265,tct,0
voicemark,5,chinese:SSB0011,1,7,37973,mean,0
voicemark,5,chinese:SSB0011,1,7,37973,tct,0
voicemark,5,chinese:SSB0011,1,7,36885,mean,0
voicemark,5,chinese:SSB0011,1,7,36885,tct,0
voicemark,5,chinese:SSB0011,1,7,43525,mean,0
voicemark,5,chinese:SSB0011,1,7,43525,tct,0
voicemark,5,chinese:SSB0011,1,7,45649,mean,0
voicemark,5,chinese:SSB0011,1,7,45649,tct,0
voicemark,5,chinese:SSB0011,2,8,38936,mean,0
voicemark,5,chinese:SSB0011,2,8,38936,tct,0
voicemark,5,chinese:SSB0011,2,8,16530,mean,0
