model,K,spk,local_t,gi,target,method,target_top1
timbrewm,2,chinese:SSB0005,0,0,157,mean,0
timbrewm,2,chinese:SSB0005,0,0,157,tct,0
timbrewm,2,chinese:SSB0005,0,0,772,mean,0
timbrewm,2,chinese:SSB0005,0,0,772,tct,0
timbrewm,2,chinese:SSB0005,0,0,604,mean,0
timbrewm,2,chinese:SSB0005,0,0,604,tct,0
timbrewm,2,chinese:SSB0005,0,0,763,mean,0
timbrewm,2,chinese:SSB0005,0,0,763,tct,0
timbrewm,2,chinese:SSB0005,0,0,357,mean,0
timbrewm,2,chinese:SSB0005,0,0,357,tct,0
timbrewm,2,chinese:SSB0005,0,0,819,mean,0
timbrewm,2,chinese:SSB0005,0,0,819,tct,0
timbrewm,2,chinese:SSB0005,0,0,838,mean,0
timbrewm,2,chinese:SSB0005,0,0,838,tct,0
timbrewm,2,chinese:SSB0005,0,0,109,mean,0
timbrewm,2,chinese:SSB0005,0,0,109,tct,0
timbrewm,2,chinese:SSB0005,0,0,37,mean,0
timbrewm,2,chinese:SSB0005,0,0,37,tct,0
timbrewm,2,chinese:SSB0005,0,0,555,mean,0
timbrewm,2,chinese:SSB0005,0,0,555,tct,0
timbrewm,2,chinese:SSB0005,1,1,1020,mean,0
timbrewm,2,chinese:SSB0005,1,1,1020,tct,0
timbrewm,2,chinese:SSB0005,1,1,39,mean,0
timbrewm,2,chinese:SSB0005,1,1,39,tct,0
timbrewm,2,chinese:SSB0005,1,1,591,mean,0
timbrewm,2,chinese:SSB0005,1,1,591,tct,0
timbrewm,2,chinese:SSB0005,1,1,624,mean,0
timbrewm,2,chinese:SSB0005,1,1,624,tct,0
timbrewm,2,chinese:SSB0005,1,1,983,mean,0
timbrewm,2,chinese:SSB0005,1,1,983,tct,0
timbrewm,2,chinese:SSB0005,1,1,214,mean,0
timbrewm,2,chinese:SSB0005,1,1,214,tct,0
timbrewm,2,chinese:SSB0005,1,1,930,mean,0
timbrewm,2,chinese:SSB0005,1,1,930,tct,0
timbrewm,2,chinese:SSB0005,1,1,347,mean,0
timbrewm,2,chinese:SSB0005,1,1,347,tct,0
timbrewm,2,chinese:SSB0005,1,1,361,mean,0
timbrewm,2,chinese:SSB0005,1,1,361,tct,0
timbrewm,2,chinese:SSB0005,1,1,262,mean,0
timbrewm,2,chinese:SSB0005,1,1,262,tct,0
timbrewm,2,chinese:SSB0005,2,2,146,mean,0
timbrewm,2,chinese:SSB0005,2,2,146,tct,0
timbrewm,2,chinese:SSB0005,2,2,560,mean,0
timbrewm,2,chinese:SSB0005,2,2,560,tct,0
timbrewm,2,chinese:SSB0005,2,2,985,mean,0
