model,trial_id,spk,local_t,K,target_id,target_hit,target_margin,d_hull
wavmark,0,chinese:SSB0005,0,8,25,0,-4.00000000,1.56669890
wavmark,0,chinese:SSB0005,0,8,5823,0,-5.00000000,1.83979091
wavmark,0,chinese:SSB0005,0,8,7545,0,-5.00000000,2.07233388
wavmark,0,chinese:SSB0005,0,8,20674,0,-8.00000000,1.69732109
wavmark,0,chinese:SSB0005,0,8,36853,0,-2.00000000,1.63058993
wavmark,0,chinese:SSB0005,0,8,45060,0,-11.00000000,1.94575757
wavmark,0,chinese:SSB0005,0,8,46804,0,-7.00000000,1.82701994
wavmark,0,chinese:SSB0005,0,8,55066,0,-3.00000000,1.22474487
wavmark,0,chinese:SSB0005,0,8,58489,0,-5.00000000,1.82097064
wavmark,0,chinese:SSB0005,0,8,63192,0,-5.00000000,1.70046060
wavmark,1,chinese:SSB0005,1,8,6605,0,-6.00000000,1.92328602
wavmark,1,chinese:SSB0005,1,8,9706,0,-6.00000000,1.72401341
wavmark,1,chinese:SSB0005,1,8,10055,0,-2.00000000,1.37419768
wavmark,1,chinese:SSB0005,1,8,11247,0,-4.00000000,1.88062445
wavmark,1,chinese:SSB0005,1,8,21540,0,-3.00000000,1.13759292
wavmark,1,chinese:SSB0005,1,8,29954,0,-5.00000000,1.59777490
wavmark,1,chinese:SSB0005,1,8,39176,0,-7.00000000,1.77980941
wavmark,1,chinese:SSB0005,1,8,42419,0,-4.00000000,1.64412481
wavmark,1,chinese:SSB0005,1,8,50141,0,-5.00000000,1.90251550
wavmark,1,chinese:SSB0005,1,8,63116,0,-3.00000000,1.55301831
wavmark,2,chinese:SSB0005,2,8,9350,0,-4.00000000,1.68934668
wavmark,2,chinese:SSB0005,2,8,13741,0,-5.00000000,1.87941709
wavmark,2,chinese:SSB0005,2,8,18328,0,-6.00000000,1.65144565
wavmark,2,chinese:SSB0005,2,8,20565,0,-5.00000000,1.62018517
wavmark,2,chinese:SSB0005,2,8,22880,0,-4.00000000,1.87177485
wavmark,2,chinese:SSB0005,2,8,33058,0,-7.00000000,1.82574186
wavmark,2,chinese:SSB0005,2,8,36056,0,-4.00000000,1.75460494
wavmark,2,chinese:SSB0005,2,8,39260,0,-9.00000000,1.97350876
wavmark,2,chinese:SSB0005,2,8,57814,0,-2.00000000,1.15470054
wavmark,2,chinese:SSB0005,2,8,61625,0,-7.00000000,1.80475562
wavmark,3,chinese:SSB0009,0,8,2474,0,-7.00000000,1.94540880
wavmark,3,chinese:SSB0009,0,8,19614,0,-6.00000000,1.68230363
wavmark,3,chinese:SSB0009,0,8,25545,0,-4.00000000,1.38633801
wavmark,3,chinese:SSB0009,0,8,26865,0,-3.00000000,1.54870793
wavmark,3,chinese:SSB0009,0,8,41506,0,-6.00000000,1.93313296
wavmark,3,chinese:SSB0009,0,8,42196,0,-3.00000000,1.63609670
wavmark,3,chinese:SSB0009,0,8,54795,0,-4.00000000,1.68418116
wavmark,3,chinese:SSB0009,0,8,56232,0,-7.00000000,1.99719156
wavmark,3,chinese:SSB0009,0,8,57178,0,-5.00000000,1.97597574
wavmark,3,chinese:SSB0009,0,8,63252,0,-4.00000000,1.51135713
wavmark,4,chinese:SSB0009,1,8,946,0,-4.00000000,1.74255172
wavmark,4,chinese:SSB0009,1,8,12227,0,-5.00000000,1.89745547
wavmark,4,chinese:SSB0009,1,8,14933,0,-8.00000000,2.19415954
wavmark,4,chinese:SSB0009,1,8,17342,0,-8.00000000,2.13180697
wavmark,4,chinese:SSB0009,1,8,26015,0,-6.00000000,2.12895179
wavmark,4,chinese:SSB0009,1,8,28446,0,-5.00000000,2.26458434
wavmark,4,chinese:SSB0009,1,8,31737,0,-6.00000000,2.07621358
