model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
audioseal,3,chinese:SSB0005,0,0,5939,mean,0,1024,-8.21268368
audioseal,3,chinese:SSB0005,0,0,5939,tct,0,1024,-7.82548714
audioseal,3,chinese:SSB0005,0,0,40294,mean,0,1024,-2.39851475
audioseal,3,chinese:SSB0005,0,0,40294,tct,0,1024,-2.47099018
audioseal,3,chinese:SSB0005,0,0,16625,mean,0,1024,-10.78442097
audioseal,3,chinese:SSB0005,0,0,16625,tct,0,1024,-11.65355492
audioseal,3,chinese:SSB0005,0,0,57508,mean,0,1024,-9.40321541
audioseal,3,chinese:SSB0005,0,0,57508,tct,0,1024,-8.81265450
audioseal,3,chinese:SSB0005,0,0,34246,mean,0,1024,-4.72966862
audioseal,3,chinese:SSB0005,0,0,34246,tct,0,1024,-4.52731228
audioseal,3,chinese:SSB0005,0,0,64513,mean,0,1024,-7.21813107
audioseal,3,chinese:SSB0005,0,0,64513,tct,0,1024,-7.31770229
audioseal,3,chinese:SSB0005,0,0,18295,mean,0,1024,-5.65038204
audioseal,3,chinese:SSB0005,0,0,18295,tct,0,1024,-5.20927858
audioseal,3,chinese:SSB0005,0,0,60,mean,0,1024,-8.45126247
audioseal,3,chinese:SSB0005,0,0,60,tct,0,1024,-8.08688354
audioseal,3,chinese:SSB0005,0,0,2986,mean,0,1024,-7.79127312
audioseal,3,chinese:SSB0005,0,0,2986,tct,0,1024,-9.80232239
audioseal,3,chinese:SSB0005,0,0,8823,mean,0,1024,-10.33413982
audioseal,3,chinese:SSB0005,0,0,8823,tct,0,1024,-8.44598579
audioseal,3,chinese:SSB0005,1,1,39405,mean,0,1024,-7.54276466
audioseal,3,chinese:SSB0005,1,1,39405,tct,0,1024,-5.88269377
audioseal,3,chinese:SSB0005,1,1,58121,mean,0,1024,-4.92379951
audioseal,3,chinese:SSB0005,1,1,58121,tct,0,1024,-4.34094143
audioseal,3,chinese:SSB0005,1,1,6256,mean,0,1024,-8.51813602
audioseal,3,chinese:SSB0005,1,1,6256,tct,0,1024,-7.11626482
audioseal,3,chinese:SSB0005,1,1,49773,mean,0,1024,-7.86418724
audioseal,3,chinese:SSB0005,1,1,49773,tct,0,1024,-7.53294897
audioseal,3,chinese:SSB0005,1,1,56645,mean,0,1024,-6.03830051
audioseal,3,chinese:SSB0005,1,1,56645,tct,0,1024,-3.26782131
audioseal,3,chinese:SSB0005,1,1,17671,mean,0,1024,-2.13347912
audioseal,3,chinese:SSB0005,1,1,17671,tct,0,1024,-2.01027489
audioseal,3,chinese:SSB0005,1,1,24604,mean,0,1024,-4.44226933
audioseal,3,chinese:SSB0005,1,1,24604,tct,0,1024,-4.18841410
audioseal,3,chinese:SSB0005,1,1,49670,mean,0,1024,-4.66435814
audioseal,3,chinese:SSB0005,1,1,49670,tct,0,1024,-5.09458399
audioseal,3,chinese:SSB0005,1,1,57059,mean,0,1024,-10.16281605
audioseal,3,chinese:SSB0005,1,1,57059,tct,0,1024,-10.58975029
audioseal,3,chinese:SSB0005,1,1,4086,mean,0,1024,-9.33832645
audioseal,3,chinese:SSB0005,1,1,4086,tct,0,1024,-8.13165951
audioseal,3,chinese:SSB0005,2,2,20877,mean,0,1024,-5.23251915
audioseal,3,chinese:SSB0005,2,2,20877,tct,0,1024,-5.92485428
