model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
timbrewm,2,chinese:SSB0005,0,0,157,mean,0,1024,-4.57364368
timbrewm,2,chinese:SSB0005,0,0,157,tct,0,1024,-4.57364368
timbrewm,2,chinese:SSB0005,0,0,772,mean,0,1024,-2.39165068
timbrewm,2,chinese:SSB0005,0,0,772,tct,0,1024,-2.39165068
timbrewm,2,chinese:SSB0005,0,0,604,mean,0,1024,-3.39944744
timbrewm,2,chinese:SSB0005,0,0,604,tct,0,1024,-3.39944744
timbrewm,2,chinese:SSB0005,0,0,763,mean,0,1024,-2.38831949
timbrewm,2,chinese:SSB0005,0,0,763,tct,0,1024,-2.38831949
timbrewm,2,chinese:SSB0005,0,0,357,mean,0,1024,-2.25650120
timbrewm,2,chinese:SSB0005,0,0,357,tct,0,1024,-2.25650120
timbrewm,2,chinese:SSB0005,0,0,819,mean,0,1024,-1.49175549
timbrewm,2,chinese:SSB0005,0,0,819,tct,0,1024,-1.49175549
timbrewm,2,chinese:SSB0005,0,0,838,mean,0,1024,-2.51445484
timbrewm,2,chinese:SSB0005,0,0,838,tct,0,1024,-2.51445484
timbrewm,2,chinese:SSB0005,0,0,109,mean,0,1024,-3.28720856
timbrewm,2,chinese:SSB0005,0,0,109,tct,0,1024,-3.28720856
timbrewm,2,chinese:SSB0005,0,0,37,mean,0,1024,-2.51966190
timbrewm,2,chinese:SSB0005,0,0,37,tct,0,1024,-2.51966190
timbrewm,2,chinese:SSB0005,0,0,555,mean,0,1024,-2.42580080
timbrewm,2,chinese:SSB0005,0,0,555,tct,0,1024,-2.42580080
timbrewm,2,chinese:SSB0005,1,1,1020,mean,0,1024,-2.97005415
timbrewm,2,chinese:SSB0005,1,1,1020,tct,0,1024,-2.97005415
timbrewm,2,chinese:SSB0005,1,1,39,mean,0,1024,-2.47648144
timbrewm,2,chinese:SSB0005,1,1,39,tct,0,1024,-2.47648144
timbrewm,2,chinese:SSB0005,1,1,591,mean,0,1024,-2.34509373
timbrewm,2,chinese:SSB0005,1,1,591,tct,0,1024,-2.34509373
timbrewm,2,chinese:SSB0005,1,1,624,mean,0,1024,-0.99652672
timbrewm,2,chinese:SSB0005,1,1,624,tct,0,1024,-0.99652672
