model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
voicemark,8,chinese:SSB0005,0,0,46835,mean,0,1024,-51.80524711
voicemark,8,chinese:SSB0005,0,0,46835,tct,0,1024,-51.02884902
voicemark,8,chinese:SSB0005,0,0,20558,mean,0,1024,-33.08559684
voicemark,8,chinese:SSB0005,0,0,20558,tct,0,1024,-30.84769209
voicemark,8,chinese:SSB0005,0,0,45305,mean,0,1024,-42.24495200
voicemark,8,chinese:SSB0005,0,0,45305,tct,0,1024,-32.65036287
voicemark,8,chinese:SSB0005,0,0,7939,mean,0,1024,-29.28110489
voicemark,8,chinese:SSB0005,0,0,7939,tct,0,1024,-35.10419598
voicemark,8,chinese:SSB0005,0,0,37353,mean,0,1024,-39.54318122
voicemark,8,chinese:SSB0005,0,0,37353,tct,0,1024,-37.52838099
voicemark,8,chinese:SSB0005,0,0,6221,mean,0,1024,-34.35860428
voicemark,8,chinese:SSB0005,0,0,6221,tct,0,1024,-39.68442545
voicemark,8,chinese:SSB0005,0,0,62748,mean,0,1024,-48.36502055
voicemark,8,chinese:SSB0005,0,0,62748,tct,0,1024,-44.68976528
voicemark,8,chinese:SSB0005,0,0,64,mean,0,1024,-46.12087325
voicemark,8,chinese:SSB0005,0,0,64,tct,0,1024,-50.17354250
voicemark,8,chinese:SSB0005,0,0,58681,mean,0,1024,-28.70115840
voicemark,8,chinese:SSB0005,0,0,58681,tct,0,1024,-33.61789513
voicemark,8,chinese:SSB0005,0,0,55814,mean,0,1024,-45.48617820
voicemark,8,chinese:SSB0005,0,0,55814,tct,0,1024,-58.68958187
voicemark,8,chinese:SSB0005,1,1,6673,mean,0,1024,-27.19507550
voicemark,8,chinese:SSB0005,1,1,6673,tct,0,1024,-32.79859410
voicemark,8,chinese:SSB0005,1,1,21770,mean,0,1024,-27.61960397
voicemark,8,chinese:SSB0005,1,1,21770,tct,0,1024,-46.06698573
voicemark,8,chinese:SSB0005,1,1,39562,mean,0,1024,-32.23193820
voicemark,8,chinese:SSB0005,1,1,39562,tct,0,1024,-46.46294948
voicemark,8,chinese:SSB0005,1,1,9727,mean,0,1024,-43.92018731
voicemark,8,chinese:SSB0005,1,1,9727,tct,0,1024,-48.36786243
voicemark,8,chinese:SSB0005,1,1,49907,mean,0,1024,-44.75520642
voicemark,8,chinese:SSB0005,1,1,49907,tct,0,1024,-44.16126775
voicemark,8,chinese:SSB0005,1,1,63114,mean,0,1024,-25.95995410
voicemark,8,chinese:SSB0005,1,1,63114,tct,0,1024,-35.04472528
