model,K,spk,local_t,gi,target,method,target_top1,N_registry,target_margin
wmcodec,3,chinese:SSB0005,0,0,5939,mean,0,1024,-26.16039153
wmcodec,3,chinese:SSB0005,0,0,5939,tct,0,1024,-24.95334527
wmcodec,3,chinese:SSB0005,0,0,40294,mean,0,1024,-39.43686570
wmcodec,3,chinese:SSB0005,0,0,40294,tct,0,1024,-28.59022150
wmcodec,3,chinese:SSB0005,0,0,16625,mean,0,1024,-34.58863248
wmcodec,3,chinese:SSB0005,0,0,16625,tct,0,1024,-42.81448376
wmcodec,3,chinese:SSB0005,0,0,57508,mean,0,1024,-26.01317371
wmcodec,3,chinese:SSB0005,0,0,57508,tct,0,1024,-29.68125211
wmcodec,3,chinese:SSB0005,0,0,34246,mean,0,1024,-59.10004295
wmcodec,3,chinese:SSB0005,0,0,34246,tct,0,1024,-56.85449779
wmcodec,3,chinese:SSB0005,0,0,64513,mean,0,1024,-57.80707992
wmcodec,3,chinese:SSB0005,0,0,64513,tct,0,1024,-57.14554148
wmcodec,3,chinese:SSB0005,0,0,18295,mean,0,1024,-16.47501727
wmcodec,3,chinese:SSB0005,0,0,18295,tct,0,1024,-16.79764770
wmcodec,3,chinese:SSB0005,0,0,60,mean,0,1024,-42.39650978
wmcodec,3,chinese:SSB0005,0,0,60,tct,0,1024,-39.11677729
wmcodec,3,chinese:SSB0005,0,0,2986,mean,0,1024,-42.48787178
wmcodec,3,chinese:SSB0005,0,0,2986,tct,0,1024,-41.87638891
wmcodec,3,chinese:SSB0005,0,0,8823,mean,0,1024,-34.18489708
wmcodec,3,chinese:SSB0005,0,0,8823,tct,0,1024,-23.40151614
wmcodec,3,chinese:SSB0005,1,1,39405,mean,0,1024,-55.87941761
wmcodec,3,chinese:SSB0005,1,1,39405,tct,0,1024,-49.50138775
wmcodec,3,chinese:SSB0005,1,1,58121,mean,0,1024,-51.31002684
wmcodec,3,chinese:SSB0005,1,1,58121,tct,0,1024,-37.90717256
