model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,5,chinese:SSB0005,0,0,mean,1,1,1,13,0.8125,0.240000,4.6016,0.9993,35.93
audioseal,5,chinese:SSB0005,0,0,fwp,1,1,1,13,0.8125,0.500000,4.6101,0.9994,38.13
audioseal,5,chinese:SSB0005,1,1,mean,1,1,1,11,0.6875,0.140000,4.6010,0.9993,35.22
audioseal,5,chinese:SSB0005,1,1,fwp,1,1,1,12,0.7500,0.500000,4.6091,0.9994,37.28
audioseal,5,chinese:SSB0005,2,2,mean,1,1,1,12,0.7500,0.200000,4.6015,0.9994,34.70
audioseal,5,chinese:SSB0005,2,2,fwp,1,1,1,13,0.8125,0.500000,4.6160,0.9996,35.11
audioseal,5,chinese:SSB0009,0,3,mean,1,1,1,14,0.8750,0.140000,4.5714,0.9995,32.93
audioseal,5,chinese:SSB0009,0,3,fwp,1,1,1,11,0.6875,0.250000,4.5897,0.9996,34.36
audioseal,5,chinese:SSB0009,1,4,mean,1,1,1,13,0.8125,0.280000,4.5906,0.9996,33.86
audioseal,5,chinese:SSB0009,1,4,fwp,1,1,1,14,0.8750,0.375000,4.6036,0.9998,36.09
audioseal,5,chinese:SSB0009,2,5,mean,1,1,1,14,0.8750,0.280000,4.5939,0.9997,33.48
audioseal,5,chinese:SSB0009,2,5,fwp,1,1,1,11,0.6875,0.375000,4.6098,0.9997,34.71
audioseal,5,chinese:SSB0011,0,6,mean,1,1,1,13,0.8125,0.180000,4.5479,0.9987,32.85
audioseal,5,chinese:SSB0011,0,6,fwp,1,1,1,11,0.6875,0.375000,4.5628,0.9990,33.56
audioseal,5,chinese:SSB0011,1,7,mean,1,1,1,14,0.8750,0.140000,4.5260,0.9985,32.09
audioseal,5,chinese:SSB0011,1,7,fwp,1,1,1,11,0.6875,0.312500,4.5666,0.9990,33.30
audioseal,5,chinese:SSB0011,2,8,mean,1,1,1,11,0.6875,0.260000,4.5559,0.9989,33.40
audioseal,5,chinese:SSB0011,2,8,fwp,1,1,1,12,0.7500,0.437500,4.5755,0.9991,34.46
audioseal,5,chinese:SSB0012,0,9,mean,1,1,1,13,0.8125,0.320000,4.6052,0.9995,35.68
audioseal,5,chinese:SSB0012,0,9,fwp,1,1,1,12,0.7500,0.500000,4.6075,0.9997,34.70
audioseal,5,chinese:SSB0012,1,10,mean,1,1,1,12,0.7500,0.220000,4.5900,0.9995,34.98
audioseal,5,chinese:SSB0012,1,10,fwp,1,1,1,10,0.6250,0.187500,4.5963,0.9995,34.40
audioseal,5,chinese:SSB0012,2,11,mean,1,1,1,12,0.7500,0.200000,4.5804,0.9993,32.81
audioseal,5,chinese:SSB0012,2,11,fwp,1,1,1,11,0.6875,0.500000,4.6002,0.9996,35.04
audioseal,5,chinese:SSB0016,0,12,mean,1,1,1,12,0.7500,0.200000,4.5392,0.9984,31.77
audioseal,5,chinese:SSB0016,0,12,fwp,1,1,1,13,0.8125,0.375000,4.5565,0.9987,32.70
audioseal,5,chinese:SSB0016,1,13,mean,1,1,1,12,0.7500,0.080000,4.5081,0.9984,31.50
audioseal,5,chinese:SSB0016,1,13,fwp,1,1,1,11,0.6875,0.250000,4.5322,0.9987,31.90
audioseal,5,chinese:SSB0016,2,14,mean,1,1,1,14,0.8750,0.200000,4.5358,0.9978,32.32
audioseal,5,chinese:SSB0016,2,14,fwp,1,1,1,12,0.7500,0.250000,4.4886,0.9966,29.87
audioseal,5,chinese:SSB0018,0,15,mean,1,1,1,13,0.8125,0.180000,4.5608,0.9996,33.78
audioseal,5,chinese:SSB0018,0,15,fwp,1,1,1,14,0.8750,0.500000,4.6089,0.9997,35.56
audioseal,5,chinese:SSB0018,1,16,mean,1,1,1,12,0.7500,0.100000,4.5789,0.9996,35.00
audioseal,5,chinese:SSB0018,1,16,fwp,1,1,1,12,0.7500,0.312500,4.5464,0.9992,32.57
audioseal,5,chinese:SSB0018,2,17,mean,1,1,1,12,0.7500,0.140000,4.5737,0.9996,35.40
audioseal,5,chinese:SSB0018,2,17,fwp,1,1,1,11,0.6875,0.312500,4.5486,0.9992,32.47
audioseal,5,chinese:SSB0033,0,18,mean,1,1,1,12,0.7500,0.200000,4.5876,0.9996,41.12
audioseal,5,chinese:SSB0033,0,18,fwp,1,1,1,13,0.8125,0.500000,4.5518,0.9992,37.46
audioseal,5,chinese:SSB0033,1,19,mean,1,1,1,14,0.8750,0.280000,4.5947,0.9997,42.31
audioseal,5,chinese:SSB0033,1,19,fwp,1,1,1,14,0.8750,0.375000,4.5813,0.9995,39.90
audioseal,5,chinese:SSB0033,2,20,mean,1,1,1,13,0.8125,0.120000,4.5920,0.9997,41.49
audioseal,5,chinese:SSB0033,2,20,fwp,1,1,1,14,0.8750,0.500000,4.5449,0.9992,37.72
audioseal,5,chinese:SSB0038,0,21,mean,1,1,1,12,0.7500,0.100000,4.5870,0.9990,34.90
audioseal,5,chinese:SSB0038,0,21,fwp,1,1,1,12,0.7500,0.250000,4.5607,0.9988,32.66
audioseal,5,chinese:SSB0038,1,22,mean,1,1,1,11,0.6875,0.120000,4.5708,0.9991,32.46
audioseal,5,chinese:SSB0038,1,22,fwp,1,1,1,12,0.7500,0.437500,4.5756,0.9993,34.43
audioseal,5,chinese:SSB0038,2,23,mean,1,1,1,13,0.8125,0.240000,4.5850,0.9989,33.35
audioseal,5,chinese:SSB0038,2,23,fwp,1,1,1,12,0.7500,0.312500,4.5986,0.9993,35.25
audioseal,5,chinese:SSB0043,0,24,mean,1,1,1,14,0.8750,0.120000,4.5346,0.9988,32.73
audioseal,5,chinese:SSB0043,0,24,fwp,1,1,1,11,0.6875,0.125000,4.4855,0.9980,30.21
audioseal,5,chinese:SSB0043,1,25,mean,1,1,1,14,0.8750,0.240000,4.5748,0.9994,36.10
audioseal,5,chinese:SSB0043,1,25,fwp,1,1,1,12,0.7500,0.375000,4.5595,0.9987,33.39
audioseal,5,chinese:SSB0043,2,26,mean,1,1,1,13,0.8125,0.200000,4.5537,0.9986,33.75
audioseal,5,chinese:SSB0043,2,26,fwp,1,1,1,12,0.7500,0.500000,4.5688,0.9987,34.53
audioseal,5,chinese:SSB0057,0,27,mean,1,1,1,13,0.8125,0.280000,4.5816,0.9989,36.92
audioseal,5,chinese:SSB0057,0,27,fwp,1,1,1,10,0.6250,0.375000,4.6150,0.9994,38.61
audioseal,5,chinese:SSB0057,1,28,mean,1,1,1,15,0.9375,0.200000,4.6185,0.9995,40.85
audioseal,5,chinese:SSB0057,1,28,fwp,1,1,1,11,0.6875,0.250000,4.5752,0.9987,36.18
audioseal,5,chinese:SSB0057,2,29,mean,1,1,1,12,0.7500,0.180000,4.5989,0.9991,39.31
audioseal,5,chinese:SSB0057,2,29,fwp,1,1,1,12,0.7500,0.375000,4.5529,0.9983,35.15
audioseal,5,chinese:SSB0073,0,30,mean,1,1,1,13,0.8125,0.300000,4.6004,0.9998,31.75
audioseal,5,chinese:SSB0073,0,30,fwp,1,1,1,12,0.7500,0.500000,4.6032,0.9998,33.57
audioseal,5,chinese:SSB0073,1,31,mean,1,1,1,13,0.8125,0.200000,4.5863,0.9996,31.81
audioseal,5,chinese:SSB0073,1,31,fwp,1,1,1,14,0.8750,0.562500,4.5570,0.9993,29.23
audioseal,5,chinese:SSB0073,2,32,mean,1,1,1,13,0.8125,0.160000,4.6037,0.9998,33.45
