model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,0,8,0.7273,4.5989,0.9993,35.66
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,7,0.6364,4.6090,0.9995,36.01
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,8,0.7273,4.5996,0.9994,36.12
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,8,0.7273,4.5972,0.9993,35.74
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,9,0.8182,4.5831,0.9994,34.68
audioseal,5,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,8,0.7273,4.6045,0.9995,36.99
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,8,0.7273,4.6119,0.9997,35.65
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,9,0.8182,4.5901,0.9995,33.14
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,0,8,0.7273,4.5825,0.9997,35.14
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,7,0.6364,4.5992,0.9997,35.06
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.5887,0.9997,35.09
audioseal,5,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,9,0.8182,4.5639,0.9994,32.50
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,0,0,8,0.7273,4.5743,0.9992,35.00
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,7,0.6364,4.5481,0.9987,32.13
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,0,0,8,0.7273,4.5492,0.9989,34.21
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,0,0,0,9,0.8182,4.5225,0.9985,32.85
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,8,0.7273,4.5659,0.9991,33.11
audioseal,5,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,8,0.7273,4.5604,0.9992,33.46
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,8,0.7273,4.5897,0.9994,33.16
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.5888,0.9993,32.89
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,1,1,8,0.7273,4.5887,0.9994,32.97
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,6,0.5455,4.6098,0.9995,32.97
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,9,0.8182,4.5742,0.9993,32.17
audioseal,5,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,8,0.7273,4.5930,0.9996,33.40
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,9,0.8182,4.5615,0.9983,33.24
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,8,0.7273,4.5705,0.9983,33.10
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,8,0.7273,4.5400,0.9987,33.46
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,1,8,0.7273,4.4568,0.9972,30.23
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,9,0.8182,4.5459,0.9985,31.77
audioseal,5,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,8,0.7273,4.4749,0.9979,29.83
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,8,0.7273,4.5879,0.9997,33.60
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,1,1,7,0.6364,4.6091,0.9997,34.66
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,1,1,0,9,0.8182,4.5831,0.9996,35.04
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,9,0.8182,4.5749,0.9994,32.61
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,1,1,1,8,0.7273,4.5710,0.9997,34.71
audioseal,5,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,1,1,8,0.7273,4.6035,0.9997,35.24
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,1,0,0,10,0.9091,4.6006,0.9998,42.84
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,1,1,1,8,0.7273,4.5751,0.9996,40.13
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,1,1,1,10,0.9091,4.6016,0.9996,41.02
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,1,1,10,0.9091,4.5983,0.9997,41.38
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,1,1,1,9,0.8182,4.5737,0.9995,39.49
audioseal,5,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,8,0.7273,4.5663,0.9993,38.58
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,8,0.7273,4.5806,0.9988,35.20
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,9,0.8182,4.6072,0.9993,35.42
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,1,1,1,7,0.6364,4.5749,0.9991,32.54
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,1,22,fwp,1,1,1,6,0.5455,4.5824,0.9991,34.41
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,2,23,mean,1,1,1,8,0.7273,4.5983,0.9992,37.95
audioseal,5,ecc1,16,11,2048,chinese:SSB0038,2,23,fwp,1,1,1,8,0.7273,4.5705,0.9985,34.58
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,0,24,mean,1,1,1,8,0.7273,4.5744,0.9991,35.18
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,0,24,fwp,1,1,1,9,0.8182,4.5060,0.9983,32.12
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,1,25,mean,1,1,1,8,0.7273,4.5725,0.9993,34.75
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,1,25,fwp,1,0,0,9,0.8182,4.5709,0.9993,35.24
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,2,26,mean,1,1,1,10,0.9091,4.5599,0.9992,34.04
audioseal,5,ecc1,16,11,2048,chinese:SSB0043,2,26,fwp,1,1,1,7,0.6364,4.5318,0.9989,32.42
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,0,27,mean,1,1,1,10,0.9091,4.5893,0.9987,33.22
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,0,27,fwp,1,1,1,7,0.6364,4.6098,0.9990,36.04
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,1,28,mean,1,1,1,9,0.8182,4.6032,0.9992,39.05
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,1,28,fwp,1,0,0,11,1.0000,4.5696,0.9982,36.45
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,2,29,mean,1,1,1,9,0.8182,4.6062,0.9993,39.59
audioseal,5,ecc1,16,11,2048,chinese:SSB0057,2,29,fwp,1,1,1,6,0.5455,4.5854,0.9987,36.00
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,0,30,mean,1,0,0,8,0.7273,4.6224,0.9999,33.62
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,0,30,fwp,1,1,1,7,0.6364,4.5908,0.9997,30.49
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,1,31,mean,1,0,0,8,0.7273,4.5849,0.9997,31.55
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,1,31,fwp,1,1,1,9,0.8182,4.5925,0.9998,33.32
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,2,32,mean,1,1,1,10,0.9091,4.5904,0.9997,32.64
audioseal,5,ecc1,16,11,2048,chinese:SSB0073,2,32,fwp,0,0,0,11,1.0000,4.5826,0.9995,31.32
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,0,33,mean,1,1,1,9,0.8182,4.5814,0.9988,30.61
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,0,33,fwp,1,1,1,8,0.7273,4.5878,0.9991,30.89
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,1,34,mean,1,1,1,8,0.7273,4.5421,0.9985,27.45
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,1,34,fwp,1,1,1,7,0.6364,4.5719,0.9989,29.89
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,2,35,mean,1,1,1,8,0.7273,4.5997,0.9993,34.07
audioseal,5,ecc1,16,11,2048,chinese:SSB0080,2,35,fwp,1,1,1,8,0.7273,4.5664,0.9984,31.52
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,0,36,mean,1,1,1,8,0.7273,4.5814,0.9994,32.62
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,0,36,fwp,1,1,1,8,0.7273,4.5811,0.9992,30.64
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,1,37,mean,1,0,0,9,0.8182,4.5424,0.9988,28.57
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,1,37,fwp,1,1,1,8,0.7273,4.4916,0.9981,24.47
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,2,38,mean,1,1,1,8,0.7273,4.5657,0.9993,32.26
audioseal,5,ecc1,16,11,2048,chinese:SSB0112,2,38,fwp,1,1,0,9,0.8182,4.5328,0.9986,29.52
audioseal,5,ecc1,16,11,2048,chinese:SSB0122,0,39,mean,1,1,1,8,0.7273,4.5948,0.9997,37.82
audioseal,5,ecc1,16,11,2048,chinese:SSB0122,0,39,fwp,1,1,0,9,0.8182,4.6123,0.9997,37.73
audioseal,5,ecc1,16,11,2048,chinese:SSB0122,1,40,mean,1,1,1,9,0.8182,4.5814,0.9995,35.89
audioseal,5,ecc1,16,11,2048,chinese:SSB0122,1,40,fwp,1,1,1,8,0.7273,4.5645,0.9994,33.16
audioseal,5,ecc1,16,11,2048,chinese:SSB0122,2,41,mean,1,1,1,8,0.7273,4.5818,0.9993,34.43
