model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,0,0,mean,0,0,0,4,0.6667,4.5823,0.9983,36.50
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,0,0,fwp,0,0,0,4,0.6667,4.5823,0.9983,36.50
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,1,1,mean,0,0,0,4,0.6667,4.5877,0.9979,36.97
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,1,1,fwp,0,0,0,4,0.6667,4.5877,0.9979,36.97
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,2,2,mean,0,0,0,6,1.0000,4.5772,0.9985,37.63
timbrewm,2,ecc1,10,6,64,chinese:SSB0005,2,2,fwp,0,0,0,6,1.0000,4.5772,0.9985,37.63
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,0,3,mean,0,0,0,6,1.0000,4.5425,0.9991,32.92
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,0,3,fwp,0,0,0,6,1.0000,4.5425,0.9991,32.92
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,1,4,mean,0,0,0,6,1.0000,4.6219,0.9991,34.02
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,1,4,fwp,0,0,0,6,1.0000,4.6219,0.9991,34.02
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,2,5,mean,0,0,0,5,0.8333,4.5938,0.9991,33.39
timbrewm,2,ecc1,10,6,64,chinese:SSB0009,2,5,fwp,0,0,0,5,0.8333,4.5938,0.9991,33.39
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,0,6,mean,0,0,0,6,1.0000,4.5940,0.9983,34.96
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,0,6,fwp,0,0,0,6,1.0000,4.5940,0.9983,34.96
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,1,7,mean,0,0,0,6,1.0000,4.4645,0.9968,33.03
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,1,7,fwp,0,0,0,6,1.0000,4.4645,0.9968,33.03
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,2,8,mean,0,0,0,5,0.8333,4.5697,0.9961,31.39
timbrewm,2,ecc1,10,6,64,chinese:SSB0011,2,8,fwp,0,0,0,5,0.8333,4.5697,0.9961,31.39
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,0,9,mean,0,0,0,6,1.0000,4.6203,0.9990,37.20
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,0,9,fwp,0,0,0,6,1.0000,4.6203,0.9990,37.20
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,1,10,mean,0,0,0,5,0.8333,4.5347,0.9970,33.66
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,1,10,fwp,0,0,0,5,0.8333,4.5347,0.9970,33.66
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,2,11,mean,0,0,0,6,1.0000,4.5895,0.9988,36.62
timbrewm,2,ecc1,10,6,64,chinese:SSB0012,2,11,fwp,0,0,0,6,1.0000,4.5895,0.9988,36.62
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,0,12,mean,0,0,0,5,0.8333,4.5504,0.9963,28.45
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,0,12,fwp,0,0,0,5,0.8333,4.5504,0.9963,28.45
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,1,13,mean,0,0,0,5,0.8333,4.4774,0.9953,29.08
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,1,13,fwp,0,0,0,5,0.8333,4.4774,0.9953,29.08
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,2,14,mean,0,0,0,6,1.0000,4.5967,0.9983,32.99
timbrewm,2,ecc1,10,6,64,chinese:SSB0016,2,14,fwp,0,0,0,6,1.0000,4.5967,0.9983,32.99
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,0,15,mean,0,0,0,5,0.8333,4.5274,0.9982,35.38
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,0,15,fwp,0,0,0,5,0.8333,4.5274,0.9982,35.38
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,1,16,mean,1,0,0,5,0.8333,4.4468,0.9982,34.76
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,1,16,fwp,1,0,0,5,0.8333,4.4468,0.9982,34.76
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,2,17,mean,0,0,0,6,1.0000,4.5811,0.9983,36.88
timbrewm,2,ecc1,10,6,64,chinese:SSB0018,2,17,fwp,0,0,0,6,1.0000,4.5811,0.9983,36.88
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,0,18,mean,1,0,0,5,0.8333,4.5138,0.9980,36.90
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,0,18,fwp,1,0,0,5,0.8333,4.5138,0.9980,36.90
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,1,19,mean,0,0,0,6,1.0000,4.6090,0.9986,39.00
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,1,19,fwp,0,0,0,6,1.0000,4.6090,0.9986,39.00
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,2,20,mean,0,0,0,6,1.0000,4.5623,0.9985,38.89
timbrewm,2,ecc1,10,6,64,chinese:SSB0033,2,20,fwp,0,0,0,6,1.0000,4.5623,0.9985,38.89
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,0,21,mean,1,0,0,4,0.6667,4.5867,0.9980,33.75
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,0,21,fwp,1,0,0,4,0.6667,4.5867,0.9980,33.75
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,1,22,mean,1,1,0,4,0.6667,4.4933,0.9973,32.77
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,1,22,fwp,1,1,0,4,0.6667,4.4933,0.9973,32.77
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,2,23,mean,1,0,0,5,0.8333,4.4261,0.9961,32.97
timbrewm,2,ecc1,10,6,64,chinese:SSB0038,2,23,fwp,1,0,0,5,0.8333,4.4261,0.9961,32.97
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,0,24,mean,0,0,0,6,1.0000,4.5335,0.9978,33.62
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,0,24,fwp,0,0,0,6,1.0000,4.5335,0.9978,33.62
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,1,25,mean,1,0,0,5,0.8333,4.5384,0.9966,33.18
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,1,25,fwp,1,0,0,5,0.8333,4.5384,0.9966,33.18
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,2,26,mean,1,0,0,5,0.8333,4.5716,0.9962,32.73
timbrewm,2,ecc1,10,6,64,chinese:SSB0043,2,26,fwp,1,0,0,5,0.8333,4.5716,0.9962,32.73
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,0,27,mean,0,0,0,6,1.0000,4.5880,0.9983,35.10
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,0,27,fwp,0,0,0,6,1.0000,4.5880,0.9983,35.10
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,1,28,mean,0,0,0,6,1.0000,4.5453,0.9976,36.56
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,1,28,fwp,0,0,0,6,1.0000,4.5453,0.9976,36.56
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,2,29,mean,0,0,0,6,1.0000,4.6186,0.9988,36.85
timbrewm,2,ecc1,10,6,64,chinese:SSB0057,2,29,fwp,0,0,0,6,1.0000,4.6186,0.9988,36.85
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,0,30,mean,0,0,0,6,1.0000,4.6104,0.9989,36.34
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,0,30,fwp,0,0,0,6,1.0000,4.6104,0.9989,36.34
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,1,31,mean,0,0,0,5,0.8333,4.5917,0.9988,35.30
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,1,31,fwp,0,0,0,5,0.8333,4.5917,0.9988,35.30
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,2,32,mean,0,0,0,6,1.0000,4.6116,0.9992,35.21
timbrewm,2,ecc1,10,6,64,chinese:SSB0073,2,32,fwp,0,0,0,6,1.0000,4.6116,0.9992,35.21
timbrewm,2,ecc1,10,6,64,chinese:SSB0080,0,33,mean,0,0,0,6,1.0000,4.5881,0.9979,34.98
timbrewm,2,ecc1,10,6,64,chinese:SSB0080,0,33,fwp,0,0,0,6,1.0000,4.5881,0.9979,34.98
timbrewm,2,ecc1,10,6,64,chinese:SSB0080,1,34,mean,0,0,0,6,1.0000,4.5647,0.9972,32.13
timbrewm,2,ecc1,10,6,64,chinese:SSB0080,1,34,fwp,0,0,0,6,1.0000,4.5647,0.9972,32.13
