model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,8,0.7273,4.2775,0.9739,16.52
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,0,0,0,11,1.0000,4.2458,0.9731,15.96
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,9,0.8182,4.2073,0.9683,19.34
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,9,0.8182,3.6831,0.9440,15.98
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,3.8939,0.9608,16.29
voicemark,8,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,8,0.7273,3.5550,0.9420,14.45
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,9,0.8182,3.9017,0.9663,13.28
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,7,0.6364,3.4296,0.9586,10.37
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,9,0.8182,4.3039,0.9828,15.43
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,6,0.5455,3.9746,0.9682,12.57
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,9,0.8182,4.0965,0.9619,11.33
voicemark,8,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,8,0.7273,3.8081,0.9468,10.03
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,8,0.7273,4.1891,0.9651,16.62
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,0,0,0,7,0.6364,3.8812,0.9528,13.90
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,9,0.8182,4.0561,0.9616,16.78
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,0,0,0,9,0.8182,3.7884,0.9456,15.45
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,10,0.9091,4.2176,0.9654,16.73
voicemark,8,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,0,0,0,7,0.6364,4.0190,0.9537,15.31
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,7,0.6364,3.9522,0.9617,12.90
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,0,0,8,0.7273,3.7306,0.9364,11.28
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,0,0,8,0.7273,3.7071,0.9504,13.18
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,9,0.8182,3.1697,0.9492,10.46
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,5,0.4545,4.2723,0.9611,12.79
voicemark,8,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,8,0.7273,3.9584,0.9428,11.30
voicemark,8,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,8,0.7273,4.1866,0.9627,16.06
