model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,8,0.7273,4.5539,0.9975,44.44
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,8,0.7273,4.5731,0.9981,45.24
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,8,0.7273,4.5497,0.9975,44.48
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,8,0.7273,4.5725,0.9984,45.83
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,9,0.8182,4.5575,0.9979,45.62
wavmark,3,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,9,0.8182,4.4983,0.9961,42.10
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,0,0,10,0.9091,4.5846,0.9999,43.74
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,1,1,1,9,0.8182,4.6046,0.9999,45.04
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,10,0.9091,4.5888,0.9999,41.69
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,9,0.8182,4.6124,0.9999,43.67
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,6,0.5455,4.5822,0.9999,42.25
wavmark,3,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,1,1,8,0.7273,4.6028,0.9999,43.89
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,1,1,1,9,0.8182,4.4888,0.9996,44.24
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,0,10,0.9091,4.3570,0.9992,40.72
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,0,0,0,11,1.0000,4.5046,0.9995,42.68
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,1,9,0.8182,4.5223,0.9996,43.52
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,0,0,0,11,1.0000,4.5152,0.9995,43.01
wavmark,3,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,9,0.8182,4.5397,0.9995,43.38
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,0,0,0,11,1.0000,4.5387,0.9999,46.19
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,8,0.7273,4.4677,0.9998,42.66
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,0,0,0,11,1.0000,4.5484,0.9998,43.61
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,1,1,10,0.9091,4.5349,0.9998,43.61
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,1,9,0.8182,4.5461,0.9998,44.53
wavmark,3,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,7,0.6364,4.4885,0.9997,41.01
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,0,0,0,11,1.0000,4.3836,0.9984,39.54
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,9,0.8182,4.4034,0.9988,40.79
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,0,0,10,0.9091,4.3893,0.9982,39.37
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,1,8,0.7273,4.4803,0.9987,41.14
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,0,0,9,0.8182,4.4692,0.9986,39.80
wavmark,3,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,9,0.8182,4.2355,0.9971,36.28
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,9,0.8182,4.5355,0.9996,44.37
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,1,1,7,0.6364,4.5499,0.9996,45.18
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,0,0,0,11,1.0000,4.5541,0.9997,45.97
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,9,0.8182,4.5349,0.9997,45.85
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,0,0,0,11,1.0000,4.5247,0.9995,43.70
wavmark,3,ecc1,16,11,2048,chinese:SSB0018,2,17,fwp,1,1,1,7,0.6364,4.5279,0.9996,44.31
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,0,18,mean,0,0,0,11,1.0000,4.3908,0.9995,43.12
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,0,18,fwp,1,1,1,9,0.8182,4.4764,0.9997,44.62
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,1,19,mean,0,0,0,11,1.0000,4.5138,0.9997,44.43
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,1,19,fwp,1,1,1,9,0.8182,4.5579,0.9998,45.52
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,2,20,mean,1,1,1,9,0.8182,4.5225,0.9997,44.91
wavmark,3,ecc1,16,11,2048,chinese:SSB0033,2,20,fwp,1,1,1,8,0.7273,4.5437,0.9998,46.15
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,mean,1,1,1,10,0.9091,4.5585,0.9999,43.51
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,0,21,fwp,1,1,1,9,0.8182,4.5860,0.9999,44.94
wavmark,3,ecc1,16,11,2048,chinese:SSB0038,1,22,mean,1,1,1,8,0.7273,4.5405,0.9999,44.85
