model,K,scheme,code_bits,info_bits,codebook_size,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,0,0,mean,1,1,1,8,0.7273,4.1615,0.9834,17.36
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,0,0,fwp,1,1,1,9,0.8182,3.9771,0.9773,14.63
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,1,1,mean,1,1,1,9,0.8182,4.4467,0.9853,17.40
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,1,1,fwp,1,1,1,9,0.8182,4.2807,0.9783,15.01
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,2,2,mean,1,1,1,8,0.7273,4.1945,0.9844,17.35
wmcodec,5,ecc1,16,11,2048,chinese:SSB0005,2,2,fwp,1,1,1,7,0.6364,4.1834,0.9769,14.75
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,0,3,mean,1,1,1,9,0.8182,4.1940,0.9855,14.22
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,0,3,fwp,0,0,0,8,0.7273,4.4135,0.9901,15.95
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,1,4,mean,1,1,1,10,0.9091,4.3073,0.9864,14.37
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,1,4,fwp,1,1,1,8,0.7273,4.0262,0.9790,11.59
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,2,5,mean,1,1,1,8,0.7273,4.3032,0.9854,13.64
wmcodec,5,ecc1,16,11,2048,chinese:SSB0009,2,5,fwp,1,0,0,10,0.9091,4.0121,0.9772,10.77
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,0,6,mean,0,0,0,10,0.9091,4.1514,0.9833,17.01
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,0,6,fwp,1,1,1,8,0.7273,3.8272,0.9751,13.89
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,1,7,mean,1,1,1,8,0.7273,4.1045,0.9813,16.24
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,1,7,fwp,1,1,0,8,0.7273,4.1711,0.9852,17.68
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,2,8,mean,1,1,1,8,0.7273,4.1678,0.9822,17.23
wmcodec,5,ecc1,16,11,2048,chinese:SSB0011,2,8,fwp,1,1,1,8,0.7273,3.8705,0.9737,14.29
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,0,9,mean,1,1,1,9,0.8182,4.2324,0.9827,12.06
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,0,9,fwp,1,1,1,9,0.8182,4.3873,0.9858,14.13
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,1,10,mean,1,0,0,9,0.8182,4.2686,0.9835,12.98
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,1,10,fwp,1,0,0,9,0.8182,4.4201,0.9898,14.37
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,2,11,mean,1,1,0,10,0.9091,4.2268,0.9810,13.00
wmcodec,5,ecc1,16,11,2048,chinese:SSB0012,2,11,fwp,1,1,1,7,0.6364,4.4017,0.9861,14.20
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,0,12,mean,1,1,1,6,0.5455,4.2245,0.9838,15.65
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,0,12,fwp,1,1,1,7,0.6364,3.9888,0.9750,13.08
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,1,13,mean,1,1,1,8,0.7273,4.2529,0.9856,15.89
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,1,13,fwp,1,1,1,7,0.6364,4.0099,0.9771,13.10
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,2,14,mean,1,1,1,10,0.9091,4.2469,0.9820,15.29
wmcodec,5,ecc1,16,11,2048,chinese:SSB0016,2,14,fwp,1,1,1,8,0.7273,4.3858,0.9878,17.05
wmcodec,5,ecc1,16,11,2048,chinese:SSB0018,0,15,mean,1,1,1,9,0.8182,4.3098,0.9840,14.28
wmcodec,5,ecc1,16,11,2048,chinese:SSB0018,0,15,fwp,1,1,1,6,0.5455,4.4384,0.9886,16.52
wmcodec,5,ecc1,16,11,2048,chinese:SSB0018,1,16,mean,1,1,1,9,0.8182,4.2637,0.9870,14.81
wmcodec,5,ecc1,16,11,2048,chinese:SSB0018,1,16,fwp,1,1,1,7,0.6364,4.3586,0.9890,16.61
wmcodec,5,ecc1,16,11,2048,chinese:SSB0018,2,17,mean,1,0,0,8,0.7273,4.3974,0.9882,15.96
