model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,5,chinese:SSB0005,0,0,mean,1,1,1,13,0.8125,0.240000,4.5766,0.9982,44.25
wavmark,5,chinese:SSB0005,0,0,fwp,1,1,1,12,0.7500,0.250000,4.5433,0.9973,42.74
wavmark,5,chinese:SSB0005,1,1,mean,1,1,1,14,0.8750,0.140000,4.5207,0.9967,43.11
wavmark,5,chinese:SSB0005,1,1,fwp,1,1,1,9,0.5625,0.125000,4.5610,0.9982,44.24
wavmark,5,chinese:SSB0005,2,2,mean,1,1,1,12,0.7500,0.200000,4.5612,0.9979,43.55
wavmark,5,chinese:SSB0005,2,2,fwp,1,1,1,12,0.7500,0.312500,4.5816,0.9985,45.05
wavmark,5,chinese:SSB0009,0,3,mean,1,1,1,15,0.9375,0.140000,4.5937,0.9999,42.35
wavmark,5,chinese:SSB0009,0,3,fwp,1,1,1,11,0.6875,0.250000,4.6022,0.9999,43.53
wavmark,5,chinese:SSB0009,1,4,mean,1,1,1,14,0.8750,0.280000,4.5779,0.9999,42.21
wavmark,5,chinese:SSB0009,1,4,fwp,1,1,1,12,0.7500,0.375000,4.5914,1.0000,44.48
wavmark,5,chinese:SSB0009,2,5,mean,1,1,1,13,0.8125,0.280000,4.5922,0.9999,42.95
wavmark,5,chinese:SSB0009,2,5,fwp,1,1,1,11,0.6875,0.375000,4.6024,0.9999,44.64
wavmark,5,chinese:SSB0011,0,6,mean,1,1,1,13,0.8125,0.180000,4.3243,0.9993,41.26
wavmark,5,chinese:SSB0011,0,6,fwp,1,1,1,13,0.8125,0.375000,4.4405,0.9995,43.29
wavmark,5,chinese:SSB0011,1,7,mean,1,1,1,13,0.8125,0.140000,4.4354,0.9992,41.81
wavmark,5,chinese:SSB0011,1,7,fwp,1,1,1,11,0.6875,0.312500,4.4725,0.9995,43.08
wavmark,5,chinese:SSB0011,2,8,mean,1,1,1,12,0.7500,0.260000,4.4983,0.9995,42.99
wavmark,5,chinese:SSB0011,2,8,fwp,1,1,1,12,0.7500,0.375000,4.4301,0.9993,40.74
wavmark,5,chinese:SSB0012,0,9,mean,1,1,1,13,0.8125,0.320000,4.5395,0.9998,43.55
wavmark,5,chinese:SSB0012,0,9,fwp,1,0,0,15,0.9375,0.500000,4.4345,0.9996,40.58
wavmark,5,chinese:SSB0012,1,10,mean,1,1,1,14,0.8750,0.220000,4.5336,0.9998,42.41
wavmark,5,chinese:SSB0012,1,10,fwp,1,1,1,13,0.8125,0.187500,4.5186,0.9998,42.85
wavmark,5,chinese:SSB0012,2,11,mean,1,1,1,14,0.8750,0.200000,4.5385,0.9998,42.58
wavmark,5,chinese:SSB0012,2,11,fwp,1,1,1,12,0.7500,0.375000,4.5217,0.9998,44.02
wavmark,5,chinese:SSB0016,0,12,mean,1,1,1,11,0.6875,0.200000,4.3094,0.9978,38.07
wavmark,5,chinese:SSB0016,0,12,fwp,1,1,1,13,0.8125,0.375000,4.2895,0.9984,38.83
wavmark,5,chinese:SSB0016,1,13,mean,1,1,1,13,0.8125,0.080000,4.1111,0.9973,37.01
wavmark,5,chinese:SSB0016,1,13,fwp,1,1,1,15,0.9375,0.437500,4.0588,0.9979,38.33
wavmark,5,chinese:SSB0016,2,14,mean,1,1,1,14,0.8750,0.200000,4.3649,0.9977,37.82
wavmark,5,chinese:SSB0016,2,14,fwp,1,1,1,13,0.8125,0.187500,4.3748,0.9981,38.67
wavmark,5,chinese:SSB0018,0,15,mean,1,1,1,12,0.7500,0.180000,4.5037,0.9994,44.26
wavmark,5,chinese:SSB0018,0,15,fwp,1,1,1,11,0.6875,0.312500,4.5081,0.9996,44.83
wavmark,5,chinese:SSB0018,1,16,mean,1,1,1,14,0.8750,0.100000,4.5299,0.9995,43.25
wavmark,5,chinese:SSB0018,1,16,fwp,1,1,1,11,0.6875,0.125000,4.5434,0.9996,43.87
wavmark,5,chinese:SSB0018,2,17,mean,1,1,1,13,0.8125,0.140000,4.4914,0.9995,44.44
wavmark,5,chinese:SSB0018,2,17,fwp,1,1,1,13,0.8125,0.437500,4.3832,0.9990,41.21
wavmark,5,chinese:SSB0033,0,18,mean,1,1,1,13,0.8125,0.200000,4.3764,0.9996,43.51
wavmark,5,chinese:SSB0033,0,18,fwp,1,1,1,13,0.8125,0.375000,4.2574,0.9994,41.34
wavmark,5,chinese:SSB0033,1,19,mean,1,1,1,12,0.7500,0.280000,4.5169,0.9997,44.70
wavmark,5,chinese:SSB0033,1,19,fwp,1,1,1,13,0.8125,0.375000,4.5139,0.9997,44.86
wavmark,5,chinese:SSB0033,2,20,mean,1,1,1,11,0.6875,0.120000,4.4478,0.9996,43.50
wavmark,5,chinese:SSB0033,2,20,fwp,1,1,1,13,0.8125,0.312500,4.4789,0.9996,44.27
wavmark,5,chinese:SSB0038,0,21,mean,1,1,1,12,0.7500,0.100000,4.5114,0.9998,43.28
wavmark,5,chinese:SSB0038,0,21,fwp,1,1,1,11,0.6875,0.250000,4.4821,0.9997,41.71
wavmark,5,chinese:SSB0038,1,22,mean,1,1,1,13,0.8125,0.120000,4.5345,0.9998,43.03
wavmark,5,chinese:SSB0038,1,22,fwp,1,1,1,12,0.7500,0.312500,4.4764,0.9997,40.56
wavmark,5,chinese:SSB0038,2,23,mean,1,1,1,15,0.9375,0.240000,4.5132,0.9998,42.21
wavmark,5,chinese:SSB0038,2,23,fwp,1,1,1,14,0.8750,0.312500,4.5424,0.9999,44.07
