model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,8,chinese:SSB0005,0,0,mean,1,1,1,12,0.7500,0.117188,4.3862,0.9852,17.71
wmcodec,8,chinese:SSB0005,0,0,fwp,1,1,1,11,0.6875,0.625000,4.1722,0.9789,14.77
wmcodec,8,chinese:SSB0005,1,1,mean,1,1,1,12,0.7500,0.109375,4.3716,0.9847,16.55
wmcodec,8,chinese:SSB0005,1,1,fwp,1,1,1,11,0.6875,0.500000,4.3996,0.9895,18.32
wmcodec,8,chinese:SSB0005,2,2,mean,1,1,1,13,0.8125,0.121094,4.4453,0.9863,17.48
wmcodec,8,chinese:SSB0005,2,2,fwp,1,1,1,12,0.7500,0.562500,4.0969,0.9794,14.89
wmcodec,8,chinese:SSB0009,0,3,mean,1,1,1,9,0.5625,0.085938,4.2447,0.9846,13.98
wmcodec,8,chinese:SSB0009,0,3,fwp,1,1,1,10,0.6250,0.437500,3.9610,0.9772,11.43
wmcodec,8,chinese:SSB0009,1,4,mean,1,1,1,13,0.8125,0.171875,4.3477,0.9858,13.17
wmcodec,8,chinese:SSB0009,1,4,fwp,1,1,1,11,0.6875,0.375000,4.4439,0.9898,14.96
wmcodec,8,chinese:SSB0009,2,5,mean,1,1,1,11,0.6875,0.085938,4.1231,0.9831,13.15
wmcodec,8,chinese:SSB0009,2,5,fwp,1,1,1,12,0.7500,0.312500,3.7229,0.9751,10.78
wmcodec,8,chinese:SSB0011,0,6,mean,1,1,1,12,0.7500,0.140625,3.9813,0.9804,15.30
wmcodec,8,chinese:SSB0011,0,6,fwp,1,1,1,12,0.7500,0.562500,4.1701,0.9849,16.97
wmcodec,8,chinese:SSB0011,1,7,mean,1,1,1,12,0.7500,0.078125,4.1077,0.9795,16.66
wmcodec,8,chinese:SSB0011,1,7,fwp,1,1,1,14,0.8750,0.500000,3.8492,0.9706,14.03
wmcodec,8,chinese:SSB0011,2,8,mean,1,1,1,13,0.8125,0.062500,4.0981,0.9836,16.83
wmcodec,8,chinese:SSB0011,2,8,fwp,1,1,1,11,0.6875,0.312500,3.5314,0.9744,14.32
wmcodec,8,chinese:SSB0012,0,9,mean,1,1,1,11,0.6875,0.101562,4.2925,0.9810,13.43
wmcodec,8,chinese:SSB0012,0,9,fwp,1,1,1,11,0.6875,0.375000,4.1386,0.9746,11.27
wmcodec,8,chinese:SSB0012,1,10,mean,1,1,1,10,0.6250,0.082031,4.2537,0.9808,12.44
wmcodec,8,chinese:SSB0012,1,10,fwp,1,1,1,10,0.6250,0.687500,4.0544,0.9741,10.24
wmcodec,8,chinese:SSB0012,2,11,mean,1,1,1,12,0.7500,0.152344,4.3451,0.9833,13.35
wmcodec,8,chinese:SSB0012,2,11,fwp,1,1,1,11,0.6875,0.500000,4.1212,0.9772,11.09
wmcodec,8,chinese:SSB0016,0,12,mean,1,1,1,12,0.7500,0.121094,4.0923,0.9805,15.18
wmcodec,8,chinese:SSB0016,0,12,fwp,1,1,1,12,0.7500,0.375000,3.8698,0.9719,12.92
wmcodec,8,chinese:SSB0016,1,13,mean,1,1,1,11,0.6875,0.144531,4.1015,0.9811,15.30
wmcodec,8,chinese:SSB0016,1,13,fwp,1,1,1,11,0.6875,0.562500,3.9124,0.9751,13.22
wmcodec,8,chinese:SSB0016,2,14,mean,1,1,1,11,0.6875,0.156250,4.2929,0.9844,15.46
wmcodec,8,chinese:SSB0016,2,14,fwp,1,1,1,12,0.7500,0.500000,4.0635,0.9776,13.34
wmcodec,8,chinese:SSB0018,0,15,mean,1,1,1,15,0.9375,0.046875,4.3964,0.9877,15.59
wmcodec,8,chinese:SSB0018,0,15,fwp,1,1,1,12,0.7500,0.375000,4.1713,0.9804,13.43
wmcodec,8,chinese:SSB0018,1,16,mean,1,1,1,12,0.7500,0.148438,4.3242,0.9843,15.08
wmcodec,8,chinese:SSB0018,1,16,fwp,1,1,1,11,0.6875,0.562500,4.0774,0.9742,12.67
wmcodec,8,chinese:SSB0018,2,17,mean,1,1,1,10,0.6250,0.062500,4.3521,0.9844,12.63
wmcodec,8,chinese:SSB0018,2,17,fwp,1,1,1,11,0.6875,0.375000,4.3978,0.9852,14.53
wmcodec,8,chinese:SSB0033,0,18,mean,1,1,1,12,0.7500,0.210938,4.3343,0.9881,19.57
