model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,2,chinese:SSB0005,0,0,median,1,1,1,12,0.7500,4.6116,0.9996,41.45
audioseal,2,chinese:SSB0005,0,0,minimum,1,1,1,13,0.8125,4.5668,0.9989,39.43
audioseal,2,chinese:SSB0005,0,0,maximum,1,1,1,12,0.7500,4.5646,0.9987,39.39
audioseal,2,chinese:SSB0005,0,0,rand_minmax,1,1,1,12,0.7500,4.0858,0.9979,38.43
audioseal,2,chinese:SSB0005,0,0,copy_paste,1,1,1,12,0.7500,4.5839,0.9993,38.41
audioseal,2,chinese:SSB0005,1,1,median,1,1,1,14,0.8750,4.6083,0.9995,36.17
audioseal,2,chinese:SSB0005,1,1,minimum,1,1,1,12,0.7500,4.3916,0.9969,33.84
audioseal,2,chinese:SSB0005,1,1,maximum,1,1,1,14,0.8750,4.3667,0.9968,33.94
audioseal,2,chinese:SSB0005,1,1,rand_minmax,1,1,1,13,0.8125,3.7088,0.9961,33.15
audioseal,2,chinese:SSB0005,1,1,copy_paste,1,1,1,13,0.8125,4.5687,0.9990,33.02
audioseal,2,chinese:SSB0005,2,2,median,1,0,0,15,0.9375,4.6248,0.9998,41.02
audioseal,2,chinese:SSB0005,2,2,minimum,1,1,1,15,0.9375,4.4544,0.9988,38.62
audioseal,2,chinese:SSB0005,2,2,maximum,1,1,1,15,0.9375,4.4362,0.9986,38.63
audioseal,2,chinese:SSB0005,2,2,rand_minmax,1,0,0,15,0.9375,4.0906,0.9982,38.08
audioseal,2,chinese:SSB0005,2,2,copy_paste,0,0,0,16,1.0000,4.6102,0.9996,37.65
audioseal,2,chinese:SSB0009,0,3,median,1,1,0,15,0.9375,4.6310,0.9999,41.99
audioseal,2,chinese:SSB0009,0,3,minimum,1,1,1,15,0.9375,4.6015,0.9998,40.00
audioseal,2,chinese:SSB0009,0,3,maximum,1,0,0,15,0.9375,4.5957,0.9998,39.92
audioseal,2,chinese:SSB0009,0,3,rand_minmax,1,1,0,15,0.9375,4.4926,0.9998,38.87
audioseal,2,chinese:SSB0009,0,3,copy_paste,0,0,0,16,1.0000,4.6159,0.9998,38.88
audioseal,2,chinese:SSB0009,1,4,median,1,0,0,15,0.9375,4.6129,0.9998,37.29
audioseal,2,chinese:SSB0009,1,4,minimum,1,0,0,15,0.9375,4.5300,0.9993,35.30
audioseal,2,chinese:SSB0009,1,4,maximum,1,1,1,14,0.8750,4.5253,0.9993,35.22
audioseal,2,chinese:SSB0009,1,4,rand_minmax,1,0,0,15,0.9375,4.3154,0.9995,34.32
audioseal,2,chinese:SSB0009,1,4,copy_paste,1,1,1,14,0.8750,4.5740,0.9996,34.10
audioseal,2,chinese:SSB0009,2,5,median,1,1,1,14,0.8750,4.5932,0.9998,36.43
audioseal,2,chinese:SSB0009,2,5,minimum,1,1,1,12,0.7500,4.4634,0.9990,34.30
audioseal,2,chinese:SSB0009,2,5,maximum,1,1,1,14,0.8750,4.4671,0.9990,34.27
audioseal,2,chinese:SSB0009,2,5,rand_minmax,1,1,1,13,0.8125,4.1759,0.9994,33.34
audioseal,2,chinese:SSB0009,2,5,copy_paste,1,1,1,13,0.8125,4.5623,0.9996,33.62
audioseal,2,chinese:SSB0011,0,6,median,1,1,1,12,0.7500,4.5913,0.9993,33.83
audioseal,2,chinese:SSB0011,0,6,minimum,1,1,1,13,0.8125,4.2698,0.9977,31.43
audioseal,2,chinese:SSB0011,0,6,maximum,1,1,1,12,0.7500,4.2802,0.9979,31.54
audioseal,2,chinese:SSB0011,0,6,rand_minmax,1,1,1,12,0.7500,3.0996,0.9944,30.90
audioseal,2,chinese:SSB0011,0,6,copy_paste,1,1,1,13,0.8125,4.4844,0.9984,29.54
audioseal,2,chinese:SSB0011,1,7,median,1,1,1,12,0.7500,4.5788,0.9993,36.71
audioseal,2,chinese:SSB0011,1,7,minimum,1,1,1,12,0.7500,4.3984,0.9984,34.47
audioseal,2,chinese:SSB0011,1,7,maximum,1,1,1,13,0.8125,4.4001,0.9985,34.57
audioseal,2,chinese:SSB0011,1,7,rand_minmax,1,1,1,12,0.7500,3.3262,0.9968,33.69
audioseal,2,chinese:SSB0011,1,7,copy_paste,1,1,1,13,0.8125,4.5172,0.9985,33.60
audioseal,2,chinese:SSB0011,2,8,median,1,1,1,10,0.6250,4.5763,0.9991,34.99
audioseal,2,chinese:SSB0011,2,8,minimum,1,1,1,11,0.6875,4.2940,0.9982,32.85
audioseal,2,chinese:SSB0011,2,8,maximum,1,1,1,10,0.6250,4.2777,0.9980,32.85
audioseal,2,chinese:SSB0011,2,8,rand_minmax,1,1,1,10,0.6250,3.1256,0.9957,32.01
audioseal,2,chinese:SSB0011,2,8,copy_paste,1,1,1,11,0.6875,4.5023,0.9981,31.89
audioseal,2,chinese:SSB0012,0,9,median,1,1,1,12,0.7500,4.5841,0.9995,34.27
audioseal,2,chinese:SSB0012,0,9,minimum,1,1,1,13,0.8125,4.2648,0.9961,31.87
audioseal,2,chinese:SSB0012,0,9,maximum,1,1,1,12,0.7500,4.2661,0.9959,31.84
audioseal,2,chinese:SSB0012,0,9,rand_minmax,1,1,1,13,0.8125,3.8332,0.9967,31.45
audioseal,2,chinese:SSB0012,0,9,copy_paste,1,0,0,15,0.9375,4.5217,0.9993,31.05
audioseal,2,chinese:SSB0012,1,10,median,1,1,1,12,0.7500,4.6200,0.9997,38.99
audioseal,2,chinese:SSB0012,1,10,minimum,1,1,1,12,0.7500,4.5479,0.9985,36.96
audioseal,2,chinese:SSB0012,1,10,maximum,1,1,1,13,0.8125,4.5579,0.9984,36.82
audioseal,2,chinese:SSB0012,1,10,rand_minmax,1,1,1,13,0.8125,4.1830,0.9991,35.98
audioseal,2,chinese:SSB0012,1,10,copy_paste,1,1,1,14,0.8750,4.5933,0.9994,35.88
audioseal,2,chinese:SSB0012,2,11,median,1,1,0,15,0.9375,4.6222,0.9999,39.55
audioseal,2,chinese:SSB0012,2,11,minimum,1,0,0,15,0.9375,4.3921,0.9991,36.82
audioseal,2,chinese:SSB0012,2,11,maximum,0,0,0,16,1.0000,4.4261,0.9988,36.88
audioseal,2,chinese:SSB0012,2,11,rand_minmax,1,1,0,15,0.9375,4.1757,0.9989,36.57
audioseal,2,chinese:SSB0012,2,11,copy_paste,0,0,0,16,1.0000,4.6105,0.9997,34.27
audioseal,2,chinese:SSB0016,0,12,median,1,1,1,14,0.8750,4.6000,0.9991,35.20
audioseal,2,chinese:SSB0016,0,12,minimum,1,1,1,14,0.8750,4.3025,0.9983,32.82
audioseal,2,chinese:SSB0016,0,12,maximum,1,1,1,14,0.8750,4.2849,0.9985,33.07
audioseal,2,chinese:SSB0016,0,12,rand_minmax,1,1,1,14,0.8750,3.3782,0.9945,32.18
audioseal,2,chinese:SSB0016,0,12,copy_paste,0,0,0,16,1.0000,4.5160,0.9985,32.04
audioseal,2,chinese:SSB0016,1,13,median,1,1,1,13,0.8125,4.5743,0.9990,34.13
audioseal,2,chinese:SSB0016,1,13,minimum,1,1,1,12,0.7500,4.1256,0.9982,31.96
audioseal,2,chinese:SSB0016,1,13,maximum,1,1,1,13,0.8125,4.1164,0.9981,31.95
