model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,8,chinese:SSB0005,0,0,median,1,1,1,9,0.9000,4.5277,0.9952,33.60
timbrewm,8,chinese:SSB0005,0,0,minimum,1,1,0,9,0.9000,4.3670,0.9936,30.80
timbrewm,8,chinese:SSB0005,0,0,maximum,1,1,1,9,0.9000,4.3627,0.9938,30.84
timbrewm,8,chinese:SSB0005,0,0,rand_minmax,1,0,0,9,0.9000,3.1392,0.9866,28.53
timbrewm,8,chinese:SSB0005,0,0,copy_paste,1,1,1,9,0.9000,4.4087,0.9911,30.92
timbrewm,8,chinese:SSB0005,1,1,median,1,1,1,9,0.9000,4.4959,0.9973,35.08
timbrewm,8,chinese:SSB0005,1,1,minimum,1,1,1,8,0.8000,4.3239,0.9951,31.11
timbrewm,8,chinese:SSB0005,1,1,maximum,1,1,1,8,0.8000,4.3243,0.9951,31.11
timbrewm,8,chinese:SSB0005,1,1,rand_minmax,1,1,1,8,0.8000,2.8859,0.9868,28.55
timbrewm,8,chinese:SSB0005,1,1,copy_paste,1,1,1,8,0.8000,4.3533,0.9909,31.22
timbrewm,8,chinese:SSB0005,2,2,median,1,1,1,9,0.9000,4.4423,0.9976,34.29
timbrewm,8,chinese:SSB0005,2,2,minimum,1,1,1,8,0.8000,4.3132,0.9961,31.26
timbrewm,8,chinese:SSB0005,2,2,maximum,1,1,1,9,0.9000,4.3055,0.9961,31.27
timbrewm,8,chinese:SSB0005,2,2,rand_minmax,1,1,1,8,0.8000,2.9948,0.9892,28.95
timbrewm,8,chinese:SSB0005,2,2,copy_paste,1,1,1,9,0.9000,4.2712,0.9942,31.18
timbrewm,8,chinese:SSB0009,0,3,median,1,1,1,8,0.8000,4.4695,0.9971,27.49
timbrewm,8,chinese:SSB0009,0,3,minimum,1,1,1,8,0.8000,4.3877,0.9968,25.95
timbrewm,8,chinese:SSB0009,0,3,maximum,1,1,1,8,0.8000,4.3846,0.9968,25.91
timbrewm,8,chinese:SSB0009,0,3,rand_minmax,1,1,1,8,0.8000,3.0209,0.9933,23.95
timbrewm,8,chinese:SSB0009,0,3,copy_paste,1,1,1,8,0.8000,4.2585,0.9951,25.89
timbrewm,8,chinese:SSB0009,1,4,median,1,1,1,8,0.8000,4.5643,0.9984,31.53
timbrewm,8,chinese:SSB0009,1,4,minimum,1,1,1,8,0.8000,4.4134,0.9972,27.20
timbrewm,8,chinese:SSB0009,1,4,maximum,1,1,1,7,0.7000,4.4318,0.9973,27.19
timbrewm,8,chinese:SSB0009,1,4,rand_minmax,1,1,1,7,0.7000,3.2054,0.9937,24.87
timbrewm,8,chinese:SSB0009,1,4,copy_paste,1,1,1,8,0.8000,4.3468,0.9958,27.97
timbrewm,8,chinese:SSB0009,2,5,median,1,1,0,9,0.9000,4.5257,0.9974,29.76
timbrewm,8,chinese:SSB0009,2,5,minimum,1,1,1,8,0.8000,4.3794,0.9963,26.55
